seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,sw_rewire_probability,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,run_index,spending_label,topology_label,topology_family,target_mean_degree_requested
2026061295,True,120,894,24,235,7,60,894,235,444,2,2,19,15,0.016666666666666666,False,2400,2400,444,0.0,0.2754444444444444,0,72,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026069295,120,720,12.0,0.10084033613445378,0.161483504374137,7.0898989179442236,0.5908249098286853,44,1,120,1.0,2.157142857142857,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0,baseline,ba_k12,ba,12
2026061296,True,120,897,8,128,8,60,897,128,485,2,2,18,16,0.016666666666666666,False,2400,2400,485,0.0,0.2865069444444446,0,71,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026069296,120,720,12.0,0.10084033613445378,0.19840897761238135,7.741662181555931,0.6451385151296609,55,1,120,1.0,2.138935574229692,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,1,baseline,ba_k12,ba,12
2026061297,True,120,908,16,182,8,60,908,182,589,3,3,16,12,0.025,False,2400,2400,589,0.0,0.29428472222222224,0,77,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026069297,120,720,12.0,0.10084033613445378,0.1626787482151754,7.014271166700073,0.5845225972250061,40,1,120,1.0,2.1662464985994396,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,2,baseline,ba_k12,ba,12
2026061298,True,120,903,12,161,7,60,903,161,505,2,2,18,17,0.016666666666666666,False,2400,2400,505,0.0,0.2931597222222222,0,64,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026069298,120,1440,24.0,0.20168067226890757,0.2858009910986739,10.990147102442867,0.4579227959351195,63,1,120,1.0,1.8091036414565826,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0,baseline,ba_k24,ba,24
2026061299,True,120,905,11,151,7,60,905,151,645,2,2,11,10,0.016666666666666666,False,2400,2400,645,0.0,0.3039236111111112,0,67,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026069299,120,1440,24.0,0.20168067226890757,0.2840421777344521,10.66380169858136,0.4443250707742233,66,1,120,1.0,1.8124649859943978,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,1,baseline,ba_k24,ba,24
2026061300,True,120,888,46,392,6,60,888,392,540,2,2,14,12,0.016666666666666666,False,2400,2400,540,0.0,0.3046249999999999,0,72,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026069300,120,1440,24.0,0.20168067226890757,0.2763073957791071,10.660675400742676,0.44419480836427816,64,1,120,1.0,1.8105042016806723,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,2,baseline,ba_k24,ba,24
2026061292,True,120,898,19,204,7,60,898,204,487,3,3,19,16,0.025,False,2400,2400,487,0.0,0.29899305555555555,0,63,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026069292,120,360,6.0,0.05042016806722689,0.11640154351445765,4.759201613716317,0.7932002689527194,29,1,120,1.0,2.6672268907563024,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,0,baseline,ba_k6,ba,6
2026061293,True,120,888,13,163,6,60,888,163,448,2,2,20,19,0.016666666666666666,False,2400,2400,448,0.0,0.297451388888889,0,66,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026069293,120,360,6.0,0.05042016806722689,0.09692718495337171,4.636809247747852,0.7728015412913086,28,1,120,1.0,2.6633053221288514,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,1,baseline,ba_k6,ba,6
2026061294,True,120,913,27,267,6,60,913,267,401,2,2,23,20,0.016666666666666666,False,2400,2400,401,0.0,0.26450694444444456,0,68,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026069294,120,360,6.0,0.05042016806722689,0.14810915530213772,5.06951674225463,0.8449194570424384,36,1,120,1.0,2.6586834733893556,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,2,baseline,ba_k6,ba,6
2026061280,True,120,889,40,343,7,60,889,343,680,2,2,9,8,0.016666666666666666,False,2400,2400,680,0.0,0.289076388888889,0,54,120,20.0,equal,biased,preferential_debt,0.02,0.2,0.1,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,complete,119,,2026069280,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-complete,0,baseline,complete,complete,0
