scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.1,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,899.6666666666666,14.333333333333334,43,14.333333333333334,0.11944444444444445,0.0,1.2325581395348837,0.010271317829457366,1.0,2.0,2.5799999999999983,3,1.1395348837209303,0.09302325581395349,0.07547169811320754,0.9245283018867925,181.66666666666666,506.0,0.0,0.28541203703703705,12.0,0.17419041006723124,0.6068286740611174
c-0p20__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.2,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,2091.3333333333335,47.333333333333336,142,47.333333333333336,0.39444444444444443,0.0,1.2887323943661972,0.01073943661971831,1.0,2.0,3.0,4,1.176056338028169,0.11267605633802817,0.08743169398907104,0.912568306010929,199.0,625.0,0.0,0.33809722222222227,12.0,0.17692816524358926,0.6285403645556463
c-0p30__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.3,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,3768.6666666666665,75.0,225,75.0,0.625,0.0,1.7866666666666666,0.014888888888888887,2.0,3.0,4.759999999999991,5,1.6444444444444444,0.14222222222222222,0.07960199004975124,0.9203980099502488,214.66666666666666,540.6666666666666,0.0,0.403837962962963,12.0,0.19839376184697247,0.648580666395226
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.4,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,6245.666666666667,103.66666666666667,311,103.66666666666667,0.8638888888888889,0.0,2.4790996784565915,0.02065916398713826,2.0,4.0,7.0,8,2.32475884244373,0.15434083601286175,0.0622568093385214,0.9377431906614786,240.0,695.3333333333334,0.0,0.466275462962963,12.0,0.18245592126561141,0.6272651219455194
c-0p50__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.5,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,10219.666666666666,118.66666666666667,356,118.66666666666667,0.9888888888888889,0.0,4.573033707865169,0.03810861423220974,4.0,7.0,10.0,11,4.300561797752809,0.27247191011235955,0.05958230958230958,0.9404176904176904,300.0,469.0,0.0,0.5179583333333334,12.0,0.19324782192541412,0.6502912382550186
c-0p60__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.6,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,18221.0,120.0,360,120.0,1.0,0.6361111111111111,15.177777777777777,0.12648148148148147,15.0,25.0,29.82000000000005,33,14.544444444444444,0.6333333333333333,0.04172767203513909,0.958272327964861,360.0,162.33333333333334,0.0,0.7150995370370371,12.0,0.18163379189136972,0.6267137825834143
c-0p70__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.7,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,35439.666666666664,120.0,360,120.0,1.0,0.9694444444444444,35.644444444444446,0.29703703703703704,38.0,46.0,49.0,50,34.00833333333333,1.636111111111111,0.045900872817955116,0.9540991271820449,420.0,25.666666666666668,0.0,0.763724537037037,12.0,0.19026169600387952,0.6509287672658833
c-0p80__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.8,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,68921.33333333333,120.0,360,120.0,1.0,0.9861111111111112,46.669444444444444,0.3889120370370371,48.0,55.0,59.410000000000025,63,43.81666666666667,2.852777777777778,0.06112731385036605,0.9388726861496339,480.0,12.333333333333334,0.0,0.7789351851851851,12.0,0.18200646324999403,0.6269594614957222
c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.1,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,898.6666666666666,13.0,39,13.0,0.10833333333333334,0.0,1.1025641025641026,0.009188034188034192,1.0,1.2000000000000028,2.0,2,1.0512820512820513,0.05128205128205128,0.046511627906976744,0.9534883720930233,234.66666666666666,563.3333333333334,0.0,0.30056944444444444,24.0,0.28205018820407773,0.4488142250245403
c-0p20__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.2,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,2080.3333333333335,43.0,129,43.0,0.35833333333333334,0.0,1.2868217054263567,0.010723514211886305,1.0,2.0,3.0,4,1.1705426356589148,0.11627906976744186,0.09036144578313253,0.9096385542168675,231.33333333333334,655.0,0.0,0.3308611111111111,24.0,0.27919520714516216,0.4468638583474645
c-0p30__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.3,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,3775.3333333333335,76.66666666666667,230,76.66666666666667,0.6388888888888888,0.0,1.5695652173913044,0.013079710144927535,1.0,3.0,4.710000000000008,6,1.3956521739130434,0.17391304347826086,0.11080332409972299,0.889196675900277,305.6666666666667,632.3333333333334,0.0,0.382863425925926,24.0,0.2776356313394512,0.44911795719073294
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.4,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,6209.0,100.0,300,100.0,0.8333333333333334,0.0,2.1733333333333333,0.01811111111111111,2.0,4.0,6.0,6,1.98,0.19333333333333333,0.08895705521472393,0.911042944785276,351.0,570.0,0.0,0.4312129629629629,24.0,0.28291187197404466,0.4595443005246698
c-0p50__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.5,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,10264.0,116.66666666666667,350,116.66666666666667,0.9722222222222222,0.0,3.6485714285714286,0.030404761904761903,4.0,6.0,8.0,8,3.337142857142857,0.31142857142857144,0.08535630383711824,0.9146436961628818,300.0,613.6666666666666,0.0,0.518201388888889,24.0,0.2926822571888866,0.46766814896042863
c-0p60__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.6,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,1.0,120.0,18234.333333333332,120.0,360,120.0,1.0,0.3138888888888889,9.447222222222223,0.07872685185185185,9.0,15.100000000000023,19.410000000000025,21,8.747222222222222,0.7,0.07409585416054101,0.925904145839459,360.0,375.3333333333333,0.0,0.6920046296296296,24.0,0.2799989612506417,0.4467744453070806
c-0p70__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.7,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,1.0,120.0,36986.0,120.0,360,120.0,1.0,0.9472222222222222,35.53888888888889,0.29615740740740737,40.0,49.0,54.410000000000025,59,33.94722222222222,1.5916666666666666,0.04478661872752853,0.9552133812724715,420.0,43.666666666666664,0.0,0.864763888888889,24.0,0.28081864958392105,0.4472976400963798
c-0p80__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.8,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,1.0,120.0,71924.0,120.0,360,120.0,1.0,0.9861111111111112,52.327777777777776,0.43606481481481485,55.0,61.10000000000002,66.0,67,48.516666666666666,3.811111111111111,0.07283151077609087,0.9271684892239092,480.0,29.333333333333332,0.0,0.8673078703703704,24.0,0.28946194676536174,0.4690130446271761
