scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.1,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,899.6666666666666,14.333333333333334,43,14.333333333333334,0.1194444444444444,0.0,1.2325581395348837,0.0102713178294573,1.0,2.0,2.5799999999999983,3,1.1395348837209305,0.0930232558139534,0.0754716981132075,0.9245283018867924,181.66666666666663,506.0,0.0,0.285412037037037,12.0,0.1741904100672312,0.6068286740611174
c-0p20__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.2,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,2091.333333333333,47.333333333333336,142,47.333333333333336,0.3944444444444444,0.0,1.2887323943661972,0.0107394366197183,1.0,2.0,3.0,4,1.176056338028169,0.1126760563380281,0.087431693989071,0.912568306010929,199.0,625.0,0.0,0.3380972222222222,12.0,0.1769281652435892,0.6285403645556463
c-0p30__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.3,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,3768.6666666666665,75.0,225,75.0,0.625,0.0,1.7866666666666666,0.0148888888888888,2.0,3.0,4.759999999999991,5,1.6444444444444444,0.1422222222222222,0.0796019900497512,0.9203980099502488,214.66666666666663,540.6666666666666,0.0,0.403837962962963,12.0,0.1983937618469724,0.648580666395226
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.4,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,6245.666666666667,103.66666666666669,311,103.66666666666669,0.8638888888888889,0.0,2.4790996784565915,0.0206591639871382,2.0,4.0,7.0,8,2.32475884244373,0.1543408360128617,0.0622568093385214,0.9377431906614786,240.0,695.3333333333334,0.0,0.466275462962963,12.0,0.1824559212656114,0.6272651219455194
c-0p50__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.5,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,0.0,120.0,10219.666666666666,118.66666666666669,356,118.66666666666669,0.9888888888888888,0.0,4.573033707865169,0.0381086142322097,4.0,7.0,10.0,11,4.300561797752809,0.2724719101123595,0.0595823095823095,0.9404176904176904,300.0,469.0,0.0,0.5179583333333334,12.0,0.1932478219254141,0.6502912382550186
c-0p60__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.6,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,18221.0,120.0,360,120.0,1.0,0.6361111111111111,15.177777777777775,0.1264814814814814,15.0,25.0,29.82000000000005,33,14.544444444444444,0.6333333333333333,0.041727672035139,0.958272327964861,360.0,162.33333333333334,0.0,0.7150995370370371,12.0,0.1816337918913697,0.6267137825834143
c-0p70__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.7,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,35439.666666666664,120.0,360,120.0,1.0,0.9694444444444444,35.644444444444446,0.297037037037037,38.0,46.0,49.0,50,34.00833333333333,1.636111111111111,0.0459008728179551,0.9540991271820448,420.0,25.666666666666668,0.0,0.763724537037037,12.0,0.1902616960038795,0.6509287672658833
c-0p80__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k12,0.8,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k12,ba,12,3,1.0,1.0,120.0,68921.33333333333,120.0,360,120.0,1.0,0.9861111111111112,46.66944444444445,0.3889120370370371,48.0,55.0,59.410000000000025,63,43.81666666666667,2.852777777777778,0.061127313850366,0.938872686149634,480.0,12.333333333333334,0.0,0.7789351851851851,12.0,0.182006463249994,0.6269594614957222
c-0p10__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.1,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,898.6666666666666,13.0,39,13.0,0.1083333333333333,0.0,1.1025641025641026,0.0091880341880341,1.0,1.2000000000000028,2.0,2,1.051282051282051,0.0512820512820512,0.0465116279069767,0.9534883720930232,234.66666666666663,563.3333333333334,0.0,0.3005694444444444,24.0,0.2820501882040777,0.4488142250245403
c-0p20__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k24,0.2,120,equal,biased,preferential_debt,baseline,0.02,0.2,ba_k24,ba,24,3,1.0,0.0,120.0,2080.333333333333,43.0,129,43.0,0.3583333333333333,0.0,1.2868217054263569,0.0107235142118863,1.0,2.0,3.0,4,1.1705426356589148,0.1162790697674418,0.0903614457831325,0.9096385542168676,231.33333333333331,655.0,0.0,0.3308611111111111,24.0,0.2791952071451621,0.4468638583474645
