scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
c-0p60__money-normal__income-biased__growth-random__spend-high_both__topo-er_k24,money-normal__income-biased__growth-random__spend-high_both__topo-er_k24,0.6,normal,biased,random,high_both,er_k24,360,50,3,74,80,ok,63,22.026578605313446,0.05561431487596097,91,41,-194.9303247035515,12,12,0.23076923076923078,0.03964497555152789,0.06320612801882022,ok,0.7242424242424242,0.3226291025290153,-0.5927527362423386,-2.3367527188407027,0.019452045590956448,4.068281083469291,0.08392935991839859,True,False,24,-1.7096910768021742,-1.1753123357669801,0.23986978107003853,ok,120,63,22.02628332323746,0.05561001336473803,91,41,-194.93023227136857,12,12,0.3076923076923077,0.04726055409653112,0.06495944108202197,9.243218292454003e-05
c-0p60__money-normal__income-biased__growth-random__spend-high_both__topo-sw_k12,money-normal__income-biased__growth-random__spend-high_both__topo-sw_k12,0.6,normal,biased,random,high_both,sw_k12,360,53,1,72,80,ok,57,16.643665815770618,0.08410967211344011,136,43,-319.83149809995246,12,12,0.15384615384615385,0.04226424264678977,0.06825296087895183,ok,0.769100169779287,0.26253405816855263,-1.5586732330853772,-3.876689919648834,0.00010588716359090859,4.0155765480343435,0.08829164289611376,True,False,24,-5.038042147345703,-1.8693983947996526,0.06156740774706312,ok,120,57,16.64233029040598,0.0840829071533582,136,43,-319.83052287761546,12,12,0.07692307692307693,0.042853183899042115,0.05938297079198897,0.0009752223369901003
c-0p50__money-normal__income-biased__growth-random__spend-high_both__topo-complete,money-normal__income-biased__growth-random__spend-high_both__topo-complete,0.5,normal,biased,random,high_both,complete,360,53,1,69,80,ok,54,14.291915995010958,0.07182317473767386,130,42,-321.1941937804894,12,12,0.07692307692307693,0.04035913771872287,0.06274231103104784,ok,0.7916666666666666,0.2336148511815052,-1.8683879680259166,-4.25960465696051,2.0478879539370446e-05,3.9737901911322098,0.09712998303773812,True,False,24,-5.761903110930509,-2.0921767786094048,0.03642270495134973,ok,120,54,14.288940977324948,0.07175647250615613,130,42,-321.19151298912175,12,12,0.15384615384615385,0.04298670745683315,0.07454527419706097,0.002680791367652091
c-0p60__money-normal__income-biased__growth-random__spend-high_income__topo-complete,money-normal__income-biased__growth-random__spend-high_income__topo-complete,0.6,normal,biased,random,high_income,complete,360,46,3,59,80,ok,49,18.239849578203557,0.07026490738404575,84,36,-176.24953846475438,12,12,0.23076923076923078,0.05371728512477639,0.07574519355339716,ok,0.7133105802047781,0.33783835705225634,-0.6954337862374897,-2.524247979580212,0.011594610719583412,3.8181733672314704,0.09676430067223081,True,False,24,-1.8463496964121031,-1.2601618348707342,0.20761098750694063,ok,120,49,18.239809776608613,0.07026438230116713,84,36,-176.24952551267288,12,12,0.3076923076923077,0.05612008096517579,0.09487389095030986,1.2952081505090973e-05
c-0p60__money-normal__income-biased__growth-random__spend-high_wealth__topo-ba_k24,money-normal__income-biased__growth-random__spend-high_wealth__topo-ba_k24,0.6,normal,biased,random,high_wealth,ba_k24,360,50,2,59,80,ok,49,18.187755325896056,0.07346251540901116,94,40,-197.52950077101116,12,12,0.15384615384615385,0.04686192626367044,0.06800109842844543,ok,0.7134146341463414,0.33769249302644233,-1.0358877480945694,-3.5349187760151493,0.0004079005204525499,3.874528514269198,0.07633932410789154,True,False,24,-3.9420357796897645,-1.7229235219820807,0.08490235604995301,ok,120,49,18.187711682000753,0.07346175009980882,94,40,-197.52948557368921,12,12,0.07692307692307693,0.05179376833749114,0.06493104029347949,1.5197321943105635e-05
c-0p30__money-lognormal__income-biased__growth-random__spend-high_both__topo-complete,money-lognormal__income-biased__growth-random__spend-high_both__topo-complete,0.3,lognormal,biased,random,high_both,complete,360,39,7,49,80,ok,36,11.186401372869799,0.07166303214581665,118,28,-277.39074844163827,12,12,0.07692307692307693,0.04517031967694185,0.0625258035947624,ok,0.7677165354330708,0.26433470845478985,-2.0441870169579124,-3.6744035470140135,0.00023840568141807536,3.547116514455058,0.13309880556860085,True,False,24,-4.5889124358911335,-1.9102493527509141,0.056101115468609686,ok,120,36,11.185899222263204,0.07164898283903465,118,28,-277.39028394122636,12,12,0.07692307692307693,0.04318624410402668,0.06282281353667571,0.0004645004119083751
c-0p40__money-lognormal__income-biased__growth-random__spend-high_wealth__topo-sw_k6,money-lognormal__income-biased__growth-random__spend-high_wealth__topo-sw_k6,0.4,lognormal,biased,random,high_wealth,sw_k6,360,34,6,44,80,ok,28,8.971048926007121,0.07707860806816325,161,25,-381.28604041261303,12,12,0.07692307692307693,0.039114268508486656,0.050497081584666675,ok,0.7696709585121603,0.26179218207202576,-4.054179720718281,-4.991268375820625,5.998408403503177e-07,3.3375483550570415,0.14663261032612182,True,False,24,-9.161308950169598,-2.5372464460749664,0.011172827014422048,ok,120,28,8.970319602732916,0.07705017825342164,161,25,-381.28479869898877,12,12,0.07692307692307693,0.03200376710649325,0.04626463100854088,0.0012417136242675042
c-0p40__money-lognormal__income-biased__growth-random__spend-high_income__topo-sw_k12,money-lognormal__income-biased__growth-random__spend-high_income__topo-sw_k12,0.4,lognormal,biased,random,high_income,sw_k12,360,33,4,42,80,ok,31,11.582214438404428,0.08454399458734885,89,23,-192.1530227223857,12,12,0.07692307692307693,0.05058919143933249,0.06953021570514106,ok,0.7253086419753086,0.32115800164817043,-1.6833563357088002,-3.7774573337130213,0.00015843763669163807,3.4297127316788605,0.11336139074879277,True,False,24,-4.706770907505297,-1.8818485162224612,0.059856586337166375,ok,120,31,11.58213905885681,0.0845417912376748,89,23,-192.1529793347693,12,12,0.07692307692307693,0.04451753348573465,0.06026686062099201,4.33876164152025e-05
c-0p50__money-lognormal__income-biased__growth-random__spend-baseline__topo-sw_k24,money-lognormal__income-biased__growth-random__spend-baseline__topo-sw_k24,0.5,lognormal,biased,random,baseline,sw_k24,360,37,3,42,80,ok,31,11.876198644862592,0.07095627966566576,89,26,-189.51409545770383,12,12,0.15384615384615385,0.044366676840161795,0.06796022683623966,ok,0.720125786163522,0.32832937922593725,-0.9927314536889409,-2.2605641045656677,0.023786262637214995,3.2820248615839813,0.16425052379781377,True,False,24,-1.614722439547215,-1.2658873760618055,0.20555340663331223,ok,120,31,11.8761457036731,0.0709551753545073,89,26,-189.51406648012212,12,12,0.15384615384615385,0.045715986435949346,0.07148296844383233,2.897758170661291e-05
c-0p50__money-lognormal__income-biased__growth-random__spend-baseline__topo-ba_k24,money-lognormal__income-biased__growth-random__spend-baseline__topo-ba_k24,0.5,lognormal,biased,random,baseline,ba_k24,360,32,4,39,80,ok,30,12.017218004282714,0.09027052247957623,92,23,-191.5960199228215,12,12,0.07692307692307693,0.04153688318229979,0.06332914199052127,ok,0.7070063694267515,0.346715604035974,-1.685550211787729,-4.143606905559441,3.418855815825661e-05,3.3985129587971707,0.10769543225763535,True,False,24,-4.983922948043833,-2.062233851507466,0.03918547729816539,ok,120,30,12.017185475856424,0.0902695835605245,92,23,-191.59600282111788,12,12,0.07692307692307693,0.056984401329218816,0.07651731763291579,1.7101703633670695e-05
