scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-complete,money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-complete,0.8,120,uniform,biased,preferential_debt,high_income,0.02,0.4,complete,complete,0,3,1.0,1.0,120.0,205451.3333333333,120.0,360,120.0,1.0,1.0,91.21388888888887,0.7601157407407407,97.0,102.0,105.0,111,83.01944444444445,8.194444444444445,0.0898376831013795,0.9101623168986204,480.0,16.666666666666668,0.3428962093974867,0.9570423795341624,119.0,1.0,0.0
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.8,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,3,1.0,1.0,120.0,218998.3333333333,120.0,360,120.0,1.0,1.0,91.11944444444444,0.7593287037037038,95.0,101.0,105.0,108,82.09722222222223,9.022222222222222,0.099015333963357,0.900984666036643,480.0,24.33333333333333,0.5338058524337941,0.9415760509488624,119.0,1.0,0.0
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,0.8,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,complete,complete,0,3,1.0,1.0,120.0,187846.0,120.0,360,120.0,1.0,1.0,90.49166666666666,0.7540972222222223,95.0,101.0,104.41000000000004,107,81.79722222222222,8.694444444444445,0.0960800564815667,0.9039199435184332,480.0,22.0,0.5047545821735657,0.9515750694644004,119.0,1.0,0.0
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.8,120,uniform,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,3,1.0,1.0,120.0,215173.66666666663,120.0,360,120.0,1.0,1.0,89.94166666666666,0.749513888888889,94.0,99.0,104.0,105,80.99722222222222,8.944444444444445,0.0994471725501096,0.9005528274498904,480.0,31.33333333333333,0.338589553833775,0.9483249182726324,119.0,1.0,0.0
c-0p70__money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.7,120,uniform,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,3,1.0,1.0,120.0,157954.66666666666,120.0,360,120.0,1.0,1.0,87.47777777777777,0.7289814814814813,93.0,100.0,105.0,106,80.33888888888889,7.138888888888889,0.0816080274355391,0.9183919725644608,420.0,14.333333333333334,0.3477366724824098,0.9646183270958494,119.0,1.0,0.0
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,0.7,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,complete,complete,0,3,1.0,1.0,120.0,138676.33333333334,120.0,360,120.0,1.0,1.0,87.18888888888888,0.7265740740740739,94.0,101.0,106.0,108,80.55833333333334,6.630555555555556,0.0760481712756467,0.9239518287243532,420.0,14.333333333333334,0.5047784924269952,0.9683653111612032,119.0,1.0,0.0
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.7,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,3,1.0,1.0,120.0,141753.33333333334,120.0,360,120.0,1.0,1.0,84.80555555555556,0.7067129629629629,91.0,97.0,101.0,103,76.73055555555555,8.075,0.0952178185391418,0.9047821814608582,420.0,20.33333333333333,0.4738208561862553,0.958534317745773,119.0,1.0,0.0
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.8,120,lognormal,biased,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,3,1.0,1.0,120.0,100335.0,120.0,360,120.0,1.0,1.0,84.65,0.7054166666666667,91.0,98.0,102.41000000000004,107,79.68888888888888,4.961111111111111,0.0586073374023757,0.9413926625976242,480.0,10.333333333333334,0.4995930690678583,0.9780822861358546,119.0,1.0,0.0
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-uniform__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.8,120,uniform,biased,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,3,1.0,1.0,120.0,100713.0,120.0,360,120.0,1.0,1.0,84.53055555555555,0.7044212962962964,92.0,98.0,102.41000000000004,107,79.84722222222223,4.683333333333334,0.0554040287864348,0.9445959712135652,480.0,12.666666666666666,0.3480644669792559,0.9797695458323202,119.0,1.0,0.0
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.6,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,3,1.0,1.0,120.0,92574.0,120.0,360,120.0,1.0,1.0,80.18888888888888,0.6682407407407407,87.0,95.0,99.41000000000004,103,74.37222222222222,5.816666666666666,0.0725370652625744,0.9274629347374256,360.0,21.0,0.5056641035956481,0.9711903096813114,119.0,1.0,0.0
