money_distribution,c,metric,log_log_slope,r_squared,p_value,n_sizes
lognormal,0.3,mean_size,0.9957386704414202,0.9996875154289552,0.011254262312190528,3
lognormal,0.3,p99_size,0.8648881470566171,0.9969677576137238,0.03507371797658474,3
lognormal,0.3,max_size,0.8295366523323185,0.9262633957828394,0.17506905529574587,3
lognormal,0.3,moment_ratio_m2_m1,0.9667796908110644,0.9997209534351068,0.010635028631112396,3
lognormal,0.3,mean_size_fraction,-0.004261329558579841,0.05534861440324819,0.8488097987642254,3
lognormal,0.3,p99_fraction,-0.13511185294338304,0.8891828743751421,0.21604895843267224,3
lognormal,0.3,propagated_share_of_total_size,0.01643756474620407,0.2656630110273042,0.6552680886254574,3
lognormal,0.3,event_large_event_rate,0.02599300298821739,0.958828284481372,0.1300785690309942,3
lognormal,0.5,mean_size,0.9937820659103879,0.9995871966904476,0.012935451514029575,3
lognormal,0.5,p99_size,0.8854603644542791,0.998944670064079,0.020684768690547414,3
lognormal,0.5,max_size,0.8368524692890146,0.9942544343602016,0.04830179552331669,3
lognormal,0.5,moment_ratio_m2_m1,0.9771316871274895,0.99936520943032,0.016041364770402113,3
lognormal,0.5,mean_size_fraction,-0.006217934089611994,0.08658735112401178,0.8098554842327321,3
lognormal,0.5,p99_fraction,-0.11453963554572089,0.9406138911910173,0.15671763010707102,3
lognormal,0.5,propagated_share_of_total_size,0.011759742438542348,0.9809633377092193,0.08811770256911229,3
lognormal,0.5,event_large_event_rate,0.0051412554188445285,0.9602467330276268,0.1277870542249642,3
lognormal,0.8,mean_size,1.0019382577603013,0.9999910920693156,0.001900068167988021,3
lognormal,0.8,p99_size,0.9109451580556738,0.9999333807457036,0.005196187677917254,3
lognormal,0.8,max_size,0.8482333644708246,0.9985233716241594,0.024469363227160455,3
lognormal,0.8,moment_ratio_m2_m1,0.9920157510021875,0.999998958577452,0.0006496713072316313,3
lognormal,0.8,mean_size_fraction,0.0019382577603012877,0.2958279617391966,0.6338936369215682,3
lognormal,0.8,p99_fraction,-0.08905484194432615,0.9930772108328282,0.053030172605307346,3
lognormal,0.8,propagated_share_of_total_size,0.014056389068978561,0.7487178443148719,0.334275049745529,3
lognormal,0.8,event_large_event_rate,0.0007756557162600841,0.9062447957149132,0.1981117259983964,3
pareto,0.3,mean_size,0.9886016324798315,0.9999784544840375,0.0029550180085829983,3
pareto,0.3,p99_size,0.9010395576031233,0.9992176130352911,0.017809329673197944,3
pareto,0.3,max_size,0.8872072953276688,0.9999310824179144,0.0052850625008222935,3
pareto,0.3,moment_ratio_m2_m1,0.9887895978089151,0.9999224941458016,0.0056047079421067,3
pareto,0.3,mean_size_fraction,-0.011398367520168526,0.8605275666336908,0.24365742756424302,3
pareto,0.3,p99_fraction,-0.09896044239687693,0.9390445974928818,0.15881824298568542,3
pareto,0.3,propagated_share_of_total_size,0.06006986767935426,0.9690976108775354,0.11249642630224559,3
pareto,0.3,event_large_event_rate,0.011791440919450313,0.6583534995159881,0.397422807969682,3
pareto,0.5,mean_size,0.9968295275057788,0.9999775929861342,0.0030135176282151312,3
pareto,0.5,p99_size,0.902718761719414,0.9995516340935627,0.013481209970731621,3
pareto,0.5,max_size,0.8613830262020544,0.9999998118333047,0.0002761541127154033,3
pareto,0.5,moment_ratio_m2_m1,0.985680970988036,0.9999891451119243,0.0020974594991785447,3
pareto,0.5,mean_size_fraction,-0.0031704724942209555,0.31103518529101937,0.6233638775929282,3
pareto,0.5,p99_fraction,-0.09728123828058591,0.9628109465400251,0.12354267364286492,3
pareto,0.5,propagated_share_of_total_size,0.028566769697115513,0.9999696577942192,0.003506758787427647,3
pareto,0.5,event_large_event_rate,-0.0034142691447614907,0.21893076003526604,0.6900212070427078,3
pareto,0.8,mean_size,0.9766662308942718,0.9999989989963132,0.0006369392819344971,3
pareto,0.8,p99_size,0.9332394402203384,0.9995818784366519,0.013018521810944254,3
pareto,0.8,max_size,0.9687318097282841,0.9929644154397027,0.05346145668727868,3
pareto,0.8,moment_ratio_m2_m1,0.971958285574098,0.9999974982228912,0.0010069423603417578,3
pareto,0.8,mean_size_fraction,-0.023333769105728045,0.9982493565537658,0.026644389351327874,3
pareto,0.8,p99_fraction,-0.0667605597796616,0.924437233395414,0.17728077547248106,3
pareto,0.8,propagated_share_of_total_size,0.06162354080992743,0.9995875016052083,0.012930672626223792,3
pareto,0.8,event_large_event_rate,-0.000925928723516212,0.5713791098265302,0.4544028659730722,3
