c,n_nodes,money_distribution,runs,events,events_per_run,event_period_fraction,run_large_event_rate,event_large_event_rate,mean_size,median_size,p90_size,p99_size,max_size,mean_size_fraction,p99_fraction,max_fraction,second_moment,moment_ratio_m2_m1,mean_initial_defaults,mean_propagated_defaults,propagated_share_of_total_size,multi_initial_event_rate,mean_time_steps_per_period,mean_final_active_credit,mean_final_net_worth_gini
0.3,100,lognormal,24,5745,239.375,0.9973958333333334,1.0,0.6748476936466492,11.353698868581375,12.0,17.0,21.0,24,0.11353698868581376,0.21,0.24,149.33107049608356,13.152636178269734,8.60313315926893,2.7505657093124456,0.2422616401183559,0.9881636205395996,22.389583333333334,167.95833333333334,0.9545126570748454
0.3,200,lognormal,24,5760,240.0,1.0,1.0,0.6925347222222222,23.229166666666668,24.0,33.0,41.0,60,0.11614583333333334,0.205,0.3,611.3715277777778,26.31913303437967,17.305729166666666,5.9234375,0.255,0.9994791666666667,45.67899305555556,308.2083333333333,0.95954387603937
0.3,500,lognormal,24,5760,240.0,1.0,1.0,0.7041666666666667,56.50850694444444,61.0,76.0,85.0,94,0.11301701388888888,0.17,0.188,3530.0460069444443,62.46928467628707,42.40208333333333,14.106423611111111,0.24963362817176618,1.0,111.46770833333333,745.0833333333334,0.9617885833981606
0.5,100,lognormal,24,5760,240.0,1.0,1.0,0.9868055555555556,23.848263888888887,24.0,30.0,35.0,43,0.23848263888888888,0.35,0.43,597.9559027777777,25.073351484355662,13.34375,10.504513888888889,0.440472897223476,1.0,42.816319444444446,69.5,0.9783364596553025
0.5,200,lognormal,24,5760,240.0,1.0,1.0,0.9918402777777777,46.113194444444446,47.0,55.0,62.0,70,0.23056597222222222,0.31,0.35,2195.772916666667,47.6170203153472,25.684201388888887,20.428993055555555,0.4430183877234462,1.0,82.25555555555556,125.75,0.9825466686871142
0.5,500,lognormal,24,5760,240.0,1.0,1.0,0.9951388888888889,117.74722222222222,121.0,135.0,145.0,164,0.23549444444444445,0.29,0.328,14183.091666666667,120.45372620255256,64.9029513888889,52.84427083333333,0.44879420368491824,1.0,209.86336805555553,272.2083333333333,0.9858681824571459
0.8,100,lognormal,24,5760,240.0,1.0,1.0,0.9986111111111111,36.661458333333336,37.0,44.0,50.0,60,0.36661458333333335,0.5,0.6,1377.4659722222223,37.572590803617935,15.378993055555556,21.282465277777778,0.5805133304920207,1.0,70.97621527777778,35.041666666666664,0.9855207078899171
0.8,200,lognormal,24,5760,240.0,1.0,1.0,0.9987847222222223,73.74236111111111,74.0,85.0,93.0,103,0.36871180555555555,0.465,0.515,5518.941666666667,74.84085922270668,29.9984375,43.743923611111114,0.5931993897673017,1.0,142.3970486111111,63.625,0.9891325028893432
0.8,500,lognormal,24,5760,240.0,1.0,1.0,0.9998263888888889,183.95086805555556,185.0,203.0,216.40999999999985,234,0.3679017361111111,0.4328199999999997,0.468,34120.77447916667,185.48852114610165,74.60694444444445,109.34392361111111,0.5944191770711722,1.0,357.1779513888889,147.04166666666666,0.9923588679556444
0.3,100,pareto,24,5087,211.95833333333334,0.8831597222222223,1.0,0.6017298997444467,10.397287202673482,11.0,17.0,20.0,23,0.10397287202673482,0.2,0.23,133.99901710241792,12.887882626533814,7.687241989384706,2.710045213288775,0.26064925979845344,0.9390603499115392,22.89305555555556,175.54166666666666,0.9539462197547097
0.3,200,pareto,24,5327,221.95833333333334,0.9248263888888889,1.0,0.6142293974094237,20.49333583630561,23.0,32.0,36.0,43,0.10246667918152806,0.18,0.215,517.5310681434203,25.25362743661146,14.836868781678243,5.65646705462737,0.27601494943573207,0.9594518490707715,45.44583333333333,261.875,0.9652557984601624
0.3,500,pareto,24,5499,229.125,0.9546875,1.0,0.6139298054191671,51.011274777232224,60.0,77.0,85.0,96,0.10202254955446445,0.17,0.192,3224.741771231133,63.21625533401542,36.34533551554828,14.665939261683942,0.28750387685331413,0.9772685942898709,112.99131944444446,466.375,0.9764533195048489
0.5,100,pareto,24,5693,237.20833333333334,0.9883680555555555,1.0,0.9460741261197962,22.467943088002812,24.0,29.0,33.0,38,0.22467943088002812,0.33,0.38,543.2383629018093,24.178375420217343,12.130159845424204,10.337783242578606,0.4601125791572199,0.9920955559458985,42.59357638888889,45.041666666666664,0.9819921390714278
0.5,200,pareto,24,5708,237.83333333333334,0.9909722222222223,1.0,0.9350035038542397,44.52978276103714,47.0,55.0,60.0,69,0.2226489138051857,0.3,0.345,2121.9765241765945,47.65297274329599,23.63612473721093,20.89365802382621,0.4692063766838726,0.9947442186405046,84.76215277777779,111.79166666666667,0.9849407553126549
