seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,family,scenario_id,scenario_index,run_index,control_name,control_value
2026650000,True,240,5815,1,150,22,150,5815,150,164,23,23,2769,240,0.23,True,2163,2163,164,0.49319926028663885,0.9624179380490061,0,72,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,0,c,0.3
2026650001,True,240,4624,1,150,16,150,4624,150,138,21,21,2252,239,0.21,True,1688,1688,138,0.47058056872037923,0.9621800947867298,0,53,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,1,c,0.3
2026650002,True,240,5356,1,150,19,150,5356,150,239,23,23,2600,238,0.23,True,1958,1958,239,0.49066394279877423,0.9477936670071501,0,69,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,2,c,0.3
2026650003,True,240,6385,1,150,23,150,6385,150,148,24,24,3429,240,0.24,True,2456,2456,148,0.5738925081433224,0.9699918566775245,0,77,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,3,c,0.3
2026650004,True,240,5478,1,150,20,150,5478,150,133,21,21,2635,238,0.21,True,1994,1994,133,0.46722166499498496,0.9653660982948846,0,65,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,4,c,0.3
2026650005,True,240,4963,1,150,17,150,4963,150,146,20,20,2476,238,0.2,True,1827,1827,146,0.4985276409414341,0.9644827586206897,0,59,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,5,c,0.3
2026650006,True,240,5149,1,150,19,150,5149,150,135,24,24,2676,240,0.24,True,1887,1887,135,0.5215739268680446,0.9569634340222575,0,64,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,6,c,0.3
2026650007,True,240,5055,1,150,19,150,5055,150,236,21,21,2495,240,0.21,True,1837,1837,236,0.4771747414262384,0.9496842678279804,0,60,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,7,c,0.3
2026650008,True,240,5482,1,150,18,150,5482,150,97,23,23,3042,240,0.23,True,2088,2088,97,0.5676245210727968,0.9678735632183908,0,64,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,8,c,0.3
2026650009,True,240,5332,1,150,20,150,5332,150,103,21,21,2828,240,0.21,True,1987,1987,103,0.5275339708102667,0.9550629089079012,0,67,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,9,c,0.3
2026650010,True,240,4523,1,150,16,150,4523,150,111,21,21,2201,237,0.21,True,1629,1629,111,0.47211172498465315,0.9562246777163905,0,56,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,10,c,0.3
2026650011,True,240,5375,1,150,21,150,5375,150,190,19,19,2614,240,0.19,True,1967,1967,190,0.5161209964412812,0.9462277580071174,0,69,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,11,c,0.3
2026650012,True,240,5153,1,150,19,150,5153,150,224,22,22,2601,240,0.22,True,1890,1890,224,0.5045396825396826,0.9313862433862434,0,63,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,12,c,0.3
2026650013,True,240,6677,1,150,24,150,6677,150,58,24,24,3504,240,0.24,True,2549,2549,58,0.5710984699882307,0.9778069831306395,0,79,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,13,c,0.3
2026650014,True,240,5358,1,150,20,150,5358,150,215,23,23,2782,239,0.23,True,1989,1989,215,0.5041679235796883,0.9513474107591755,0,71,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,14,c,0.3
2026650015,True,240,5158,1,150,20,150,5158,150,164,21,21,2577,238,0.21,True,1887,1887,164,0.5054636989931107,0.9531796502384737,0,65,100,20.0,lognormal,biased,random,0.02,0.2,0.3,5.0,1.0,0.1,240,0,0.0,True,True,income,100,continue_after_avalanche,period_end,high_c_finite_income,high_c_finite__N100__c0p30__lognormal__biased__random,0,15,c,0.3
