source,scenario_id,family,c,money_distribution,runs,events,mean_events_per_run,run_large_event_rate,event_large_event_rate,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_defaults,mean_propagated_defaults,propagated_share_of_total_size,propagation_event_rate,multi_initial_event_rate,single_initial_event_rate,mean_periods_completed,mean_time_steps_per_run,mean_time_steps_per_period,median_first_cascade_period,mean_total_credit_issued,mean_final_active_credit,mean_final_net_worth_gini,total_periods,event_period_fraction,wait_equal_1_fraction,wait_median,size_lag1_correlation,early_event_period_fraction,late_event_period_fraction,late_over_early_event_rate,early_mean_event_size,late_mean_event_size,late_over_early_mean_size
old_low_c,income__c0p12__lognormal__biased__random,income,0.12,lognormal,60,16615,276.9166666666667,0.0,0.0,4.057718928678905,4.0,7.0,11.0,17,3.6421907914535057,0.4155281372253987,0.10240436672154733,0.27625639482395425,0.8451399337947638,0.15486006620523624,300.0,4434.516666666666,14.78172222222222,1.0,4434.516666666666,1037.0,0.8232791743049408,18000.0,0.9230555555555555,0.9397765025672002,1.0,0.43951526184207124,0.8551111111111112,0.991,1.1589137214137213,2.791839916839917,5.150016818028927,1.8446676641324873
old_low_c,income__c0p14__lognormal__biased__random,income,0.14,lognormal,60,17233,287.21666666666664,0.06666666666666667,0.0004061974119422039,5.686009400568676,5.0,10.0,15.0,24,5.056461440259966,0.6295479603087101,0.11071876881627155,0.3808971159983752,0.9124934718273081,0.08750652817269193,300.0,5234.066666666667,17.44688888888889,1.0,5234.066666666667,863.7666666666667,0.8587312930466517,18000.0,0.9573888888888888,0.9658184359168462,1.0,0.5809620856275848,0.9158888888888889,0.9988888888888889,1.0906223462331677,3.7407497270411256,7.469632925472747,1.9968277672992332
old_low_c,income__c0p16__lognormal__biased__random,income,0.16,lognormal,60,17525,292.0833333333333,0.38333333333333336,0.005249643366619115,7.567988587731811,7.0,13.0,18.0,29,6.637660485021398,0.9303281027104137,0.12292937442037563,0.49529243937232525,0.9492724679029957,0.05072753209700428,300.0,6150.283333333334,20.500944444444443,1.0,6150.283333333334,718.3166666666667,0.893974904786386,18000.0,0.9736111111111111,0.9791010592613799,1.0,0.6620129693607779,0.9472222222222222,1.0,1.0557184750733137,4.854428152492669,10.138333333333334,2.0884711885430765
old_low_c,income__c0p18__lognormal__biased__random,income,0.18,lognormal,60,17764,296.06666666666666,0.7333333333333333,0.024262553478946184,9.462058095023643,9.0,16.0,21.0,29,8.142535464985365,1.3195226300382796,0.13945408248256824,0.59975230803873,0.9661675298356226,0.03383247016437739,300.0,6927.183333333333,23.09061111111111,1.0,6927.183333333333,600.25,0.9133486747988815,18000.0,0.9868888888888889,0.9887596023497515,1.0,0.724375927397525,0.9737777777777777,1.0,1.0269283432222729,6.226608854404382,12.612666666666666,2.025607672103109
old_low_c,income__c0p20__lognormal__biased__random,income,0.2,lognormal,60,17897,298.28333333333336,0.9833333333333333,0.08180141923227356,11.835838408671844,12.0,19.0,24.0,33,10.009722299826787,1.826116108845058,0.15428700914901852,0.6983852042241716,0.9795496451919317,0.02045035480806839,300.0,8008.033333333334,26.69344444444444,1.0,8008.033333333334,510.8666666666667,0.9310404435539348,18000.0,0.9942777777777778,0.9945058025452711,1.0,0.7473601529610553,0.9885555555555555,1.0,1.0115769360458582,8.005844666741599,15.622,1.9513243949008816
old_low_c,income__c0p12__pareto__biased__random,income,0.12,pareto,60,10857,180.95,0.0,0.0,2.7821681864235055,2.0,5.0,10.0,16,2.4699272358846827,0.3122409505388229,0.11222935840561478,0.20180528691166988,0.6510085659021829,0.3489914340978171,300.0,4363.833333333333,14.546111111111113,40.5,4363.833333333333,1628.6666666666667,0.7398782545407729,18000.0,0.6031666666666666,0.8116143373159211,1.0,0.42047751354268625,0.3174444444444444,0.8888888888888888,2.80014000700035,1.7322366118305916,3.157125,1.8225714538290563
old_low_c,income__c0p14__pareto__biased__random,income,0.14,pareto,60,12615,210.25,0.05,0.0010305192231470472,4.137772493063813,3.0,8.0,16.0,24,3.4304399524375744,0.7073325406262386,0.17094524694432736,0.2945699564011098,0.7724137931034483,0.22758620689655173,300.0,5230.733333333334,17.43577777777778,39.0,5230.733333333334,1448.0166666666667,0.7943950685041966,18000.0,0.7008333333333333,0.8822779769016328,1.0,0.6879784799798196,0.43733333333333335,0.9643333333333334,2.205030487804878,2.7710873983739837,4.757575757575758,1.7168623986264036
old_low_c,income__c0p16__pareto__biased__random,income,0.16,pareto,60,13651,227.51666666666668,0.06666666666666667,0.0014650941322980001,5.419456450076917,5.0,10.0,17.0,24,4.661709764852392,0.7577466852245257,0.1398196834322326,0.3703025419383195,0.8414035601787415,0.1585964398212585,300.0,6137.533333333334,20.458444444444446,30.5,6137.533333333334,1180.25,0.8499276316577247,18000.0,0.7583888888888889,0.9211242734162314,1.0,0.666504112585887,0.523,0.9937777777777778,1.9001487146802634,2.8512853197365624,6.7710196779964225,2.3747254023045348
old_low_c,income__c0p18__pareto__biased__random,income,0.18,pareto,60,14457,240.95,0.5333333333333333,0.006502040533997371,7.12672061976897,7.0,13.0,19.0,26,6.1794978211247145,0.9472227986442554,0.13291145383428288,0.47167462129072424,0.8868368264508543,0.11316317354914575,300.0,7078.416666666667,23.594722222222224,26.0,7078.416666666667,918.5333333333333,0.8878060528921893,18000.0,0.8031666666666667,0.9413072167812738,1.0,0.7112143027834887,0.6075555555555555,0.9987777777777778,1.6439283101682518,3.3487564008778348,9.424852597619312,2.8144336193426027
old_low_c,income__c0p20__pareto__biased__random,income,0.2,pareto,60,15088,251.46666666666667,0.9833333333333333,0.04188759278897137,9.634080063626723,10.0,17.0,22.0,30,8.131362672322375,1.502717391304348,0.15597933392497196,0.5997481442205727,0.9159597030752916,0.08404029692470838,300.0,8076.85,26.922833333333333,24.0,8076.85,653.1833333333333,0.9197920807982675,18000.0,0.8382222222222222,0.9577455416555762,1.0,0.7745720308955328,0.6764444444444444,1.0,1.478318002628121,4.622864651773981,13.023888888888889,2.817276703935317
