family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,failed_credit_events,avalanche_count,critical_event_count,critical_event,max_collapse_size,total_default_occurrences,total_initial_default_count,total_propagated_default_count,propagated_default_share,single_initial_default_events,single_initial_default_fraction,unique_default_nodes,repeated_default_occurrences,repeated_default_share,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,initial_total_money,final_cash_total,cash_residual,final_active_credit,initial_money_gini,final_net_worth_gini,total_income_last_period,event_sequence_sha256
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,1200,49541,1,300,38,300,49541,0,1200,1147,True,48,37525,15513,22012,0.5865956029313791,0,0.0,199,37326,0.9946968687541639,1.0,1.0,0.42350719905249423,4597,4597,0,19,0.5612649554056994,0.9949673700239288,127,ed44cfb399e932c169fb2dd29f0ce5ea9f2aa3da3d66b7aad4c6807c4b249bf5
income,income__N200__c0p30__lognormal__biased__random,0,1,2026900001,200,lognormal,c,0.3,1200,41428,1,300,31,300,41428,0,1200,1097,True,39,31202,16823,14379,0.46083584385616305,1,0.0008333333333333334,198,31004,0.9936542529325043,1.0,1.0,0.5345487142303996,3600,3600,0,19,0.4980444444444445,0.9928222222222223,104,4f73a85ddb02f187001fb37b332b3c6499839f031dbcf7e6adec183595a3c9c8
income,income__N200__c0p30__lognormal__biased__random,0,2,2026900002,200,lognormal,c,0.3,1200,40536,1,300,32,300,40536,0,1200,1079,True,37,30850,16428,14422,0.4674878444084279,1,0.0008333333333333334,198,30652,0.993581847649919,1.0,1.0,0.4353361461850699,3546,3546,0,25,0.49572194021432603,0.9921404399323182,106,f1ca836c010b284cfe4cda00fa284d5575d895a32d6bb5043784156b8b0fa8bf
income,income__N200__c0p30__lognormal__biased__random,0,3,2026900003,200,lognormal,c,0.3,1200,47089,1,300,35,300,47089,0,1200,1132,True,43,35021,18319,16702,0.4769138516889866,0,0.0,198,34823,0.9943462493932212,1.0,1.0,0.4600121983465319,4142,4142,0,32,0.533319652341864,0.9925591501690005,118,ac7f0e0edb47d5e5de793fbb55ac8003c2edcd799520eca2e66b8211815b6830
income,income__N200__c0p30__lognormal__biased__random,0,4,2026900004,200,lognormal,c,0.3,1200,51014,1,300,39,300,51014,0,1200,1148,True,46,38142,17539,20603,0.5401656966074144,0,0.0,198,37944,0.9948088721094857,1.0,1.0,0.47929861250379213,4628,4628,0,36,0.5620959377700951,0.9928867761452032,133,c477b4e75d06e1ea64e7c11e7f93b6af398947a28b110c485da1db159f41078c
income,income__N200__c0p30__lognormal__biased__random,0,5,2026900005,200,lognormal,c,0.3,1200,38756,1,300,29,300,38756,0,1200,1092,True,43,30244,15158,15086,0.4988096812590927,0,0.0,199,30045,0.9934201825155403,1.0,1.0,0.366664052341766,3443,3443,0,4,0.5339747313389487,0.9949186755736277,97,63477b0d05c6b9b93f918917104d6cfd2479116dfa740dac836abf80a1aa20d9
income,income__N200__c0p30__lognormal__biased__random,0,6,2026900006,200,lognormal,c,0.3,1200,47180,1,300,35,300,47180,0,1200,1123,True,44,35266,16785,18481,0.5240458231724607,0,0.0,199,35067,0.9943571712130664,1.0,1.0,0.501857511132037,4245,4245,0,0,0.5017938751472322,0.9949858657243817,117,2d45dafebc8a065001d1e99d7358ef3e3635b7d55395eed7e4b2a6ba29bb65f3
income,income__N200__c0p30__lognormal__biased__random,0,7,2026900007,200,lognormal,c,0.3,1200,44915,1,300,32,300,44915,0,1200,1107,True,43,33253,17310,15943,0.47944546356719697,0,0.0,199,33054,0.994015577541876,1.0,1.0,0.5134780249186689,3944,3944,0,0,0.4969624746450305,0.9949847870182558,111,5151ddd64e406162b84bf95bbcb1e724c3ed01c7180e8aca9d78b8d920d63f1c
income,income__N200__c0p30__pareto__biased__random,1,0,2026910000,200,pareto,c,0.3,1200,45573,12,1065,34,300,45573,0,1173,1075,True,41,32667,16467,16200,0.49591330700707137,12,0.010230179028132993,198,32469,0.9939388373588025,0.9775,0.9957337883959044,0.6420994610069184,4007,4007,0,34,0.2876703269278764,0.9942338407786375,112,3a6b3235193d43fe6ac3d50ea355ebf922d6a91e522a885e59a34f57c555aee6
income,income__N200__c0p30__pareto__biased__random,1,1,2026910001,200,pareto,c,0.3,1200,44837,12,1059,35,300,44837,0,1179,1066,True,44,32204,15261,16943,0.5261147683517575,8,0.006785411365564037,198,32006,0.99385169544156,0.9825,0.9957555178268251,0.6650439172299092,3993,3993,0,49,0.29231029301277256,0.9912559479088405,113,b71b50996d73bdb569cb6e12f3c97967f0bd9a15b48fa9bfc03247bcd88965af
