family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,edge_window_periods,window,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.7629879469783314,26.379166666666666,28.0,36.0,40.0,47,192,0.8,18.895833333333332,7.483333333333333,0.28368346232822617,0.0,565.6416666666667,0.8957307120585887,50.208333333333336,50.208333333333336,163.75416666666666,281,246,0.6219023276049598,0.9782238416358495,184,6331,6147,0.9709366608750593
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,240,late,240,240,1.0,1.0,-0.16972846522910137,31.945833333333333,32.0,38.0,41.609999999999985,44,237,0.9875,8.975,22.970833333333335,0.7190556932307292,0.0,12.320833333333333,0.9949329182075275,37.8625,37.8625,126.025,40,19,0.994949967370024,0.9949673700239288,199,7667,7468,0.974044606756228
income,income__N200__c0p30__lognormal__biased__random,0,1,2026900001,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.7370719599856457,20.058333333333334,22.0,28.0,33.0,35,151,0.6291666666666667,15.595833333333333,4.4625,0.2224761113419194,0.004166666666666667,657.2708333333334,0.836606851851852,41.2625,41.2625,133.76666666666668,278,423,0.5721111111111112,0.9372111111111112,174,4814,4640,0.963855421686747
income,income__N200__c0p30__lognormal__biased__random,0,1,2026900001,200,lognormal,c,0.3,240,late,240,240,1.0,1.0,-0.16989678240362796,27.25,28.0,31.0,35.21999999999997,37,237,0.9875,10.566666666666666,16.683333333333334,0.6122324159021407,0.0,18.245833333333334,0.9922620833333341,31.0875,31.0875,103.37083333333334,11,19,0.9918111111111112,0.9928222222222223,198,6540,6342,0.9697247706422019
income,income__N200__c0p30__lognormal__biased__random,0,2,2026900002,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.673700027926549,20.541666666666668,21.0,29.0,33.21999999999997,35,143,0.5958333333333333,15.758333333333333,4.783333333333333,0.23286004056795132,0.004166666666666667,589.6583333333333,0.8593584437864262,40.35,40.35,130.87083333333334,282,223,0.5742949802594475,0.9495544275239707,184,4930,4746,0.9626774847870182
income,income__N200__c0p30__lognormal__biased__random,0,2,2026900002,200,lognormal,c,0.3,240,late,240,240,1.0,1.0,-0.19885118103307242,26.116666666666667,26.0,30.0,33.0,36,232,0.9666666666666667,10.104166666666666,16.0125,0.6131142310146778,0.0,27.066666666666666,0.9916142366986281,30.566666666666666,30.566666666666666,101.7375,39,25,0.991240834743373,0.9921404399323182,198,6268,6070,0.9684109763880026
income,income__N200__c0p30__lognormal__biased__random,0,3,2026900003,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.6857366742097019,22.883333333333333,24.0,31.0,35.0,39,175,0.7291666666666666,18.2625,4.620833333333334,0.20193008011653313,0.0,809.0833333333334,0.838784001287623,46.99166666666667,46.99166666666667,152.97916666666666,272,501,0.5959729599227428,0.9344302269435056,175,5492,5317,0.968135469774217
income,income__N200__c0p30__lognormal__biased__random,0,3,2026900003,200,lognormal,c,0.3,240,late,240,240,1.0,1.0,-0.15821166052621094,30.491666666666667,31.0,35.0,40.609999999999985,43,240,1.0,11.591666666666667,18.9,0.6198414867450123,0.0,54.425,0.9917664876066318,35.5625,35.5625,118.64166666666667,73,32,0.9903404152583295,0.9925591501690005,198,7318,7120,0.9729434271658923
income,income__N200__c0p30__lognormal__biased__random,0,4,2026900004,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.7432068887502524,25.583333333333332,28.0,34.0,40.0,41,189,0.7875,18.970833333333335,6.6125,0.25846905537459286,0.0,680.3,0.8779672824834337,51.05416666666667,51.05416666666667,166.68333333333334,280,343,0.6236171132238548,0.9631093344857391,182,6140,5958,0.970358306188925
income,income__N200__c0p30__lognormal__biased__random,0,4,2026900004,200,lognormal,c,0.3,240,late,240,240,1.0,1.0,-0.12972075969575833,32.7875,33.0,37.099999999999994,41.609999999999985,43,240,1.0,11.491666666666667,21.295833333333334,0.6495107383403228,0.0,32.28333333333333,0.9923907285364449,39.225,39.225,130.74166666666667,28,36,0.9919598098530684,0.9928867761452032,198,7869,7671,0.974837971788029
income,income__N200__c0p30__lognormal__biased__random,0,5,2026900005,200,lognormal,c,0.3,240,early,240,240,1.0,1.0,0.7065679913775467,21.445833333333333,23.0,28.099999999999994,33.609999999999985,35,165,0.6875,16.366666666666667,5.079166666666667,0.23683699242277054,0.0,485.17083333333335,0.8770999491722332,39.083333333333336,39.083333333333336,126.57083333333334,250,278,0.6042158001742668,0.9640270113273308,181,5147,4966,0.964833883815815
