scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol
critical__base0045__c-0p200__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.2,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,7657.375,177.91666666666666,4270,177.91666666666666,0.7413194444444444,0.24309133489461357,7.7686182669789225,0.06473848555815764,7.0,14.0,19.0,25,6.641451990632318,1.1271662763466042,0.14509224647292898,0.854907753527071,1349.2083333333333,1014.75,0.0,0.8330144675925926,119.0,1.0,0.0,period_end_critical_refined
critical__base0046__c-0p225__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.225,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,8867.458333333334,187.04166666666666,4489,187.04166666666666,0.7793402777777778,0.4038761416796614,9.941635108041881,0.08284695923368231,10.0,18.0,23.0,28,8.195589218088662,1.746045889953219,0.17562964954736937,0.8243703504526306,1385.7916666666667,804.4166666666666,0.0,0.8710842013888889,119.0,1.0,0.0,period_end_critical_refined
critical__base0047__c-0p250__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.25,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,10115.708333333334,197.16666666666666,4732,197.16666666666666,0.8215277777777777,0.5703719357565511,12.761622992392223,0.10634685826993517,13.0,23.0,27.0,35,10.046703296703297,2.7149196956889265,0.21274094190898854,0.7872590580910115,1486.4583333333333,592.4583333333334,0.0,0.9029985532407409,119.0,1.0,0.0,period_end_critical_refined
critical__base0048__c-0p275__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.275,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,11407.791666666666,203.29166666666666,4879,203.29166666666666,0.8470486111111111,0.6714490674318508,15.760401721664275,0.13133668101386894,17.0,26.0,31.0,39,11.89936462389834,3.861037097765936,0.24498341894791598,0.755016581052084,1476.2083333333333,466.1666666666667,0.0,0.925634837962963,119.0,1.0,0.0,period_end_critical_refined
critical__base0049__c-0p300__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.3,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,12712.333333333334,207.66666666666666,4984,207.66666666666666,0.8652777777777778,0.7339486356340289,18.310593900481543,0.1525882825040128,20.0,30.0,35.0,42,13.25341091492777,5.057182985553772,0.2761889108042954,0.7238110891957046,1573.25,422.6666666666667,0.0,0.9360052083333334,119.0,1.0,0.0,period_end_critical_refined
critical__base0050__c-0p325__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.325,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,14004.0,213.58333333333334,5126,213.58333333333334,0.8899305555555556,0.7906749902458057,21.338665626219274,0.17782221355182726,24.0,33.0,38.75,45,14.66991806476785,6.668747561451424,0.3125194273280796,0.6874805726719204,1527.75,300.2916666666667,0.0,0.9481501736111112,119.0,1.0,0.0,period_end_critical_refined
critical__base0051__c-0p350__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.35,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,15435.333333333334,216.70833333333334,5201,216.70833333333334,0.9029513888888889,0.8294558738704095,23.747356277638914,0.19789463564699092,27.0,36.0,41.0,47,15.943087867717747,7.804268409921169,0.3286373572990041,0.6713626427009959,1582.7083333333333,334.0833333333333,0.0,0.9484039351851852,119.0,1.0,0.0,period_end_critical_refined
critical__base0052__c-0p375__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.375,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,16750.083333333332,219.625,5271,219.625,0.9151041666666667,0.8565737051792829,26.657370517928285,0.22214475431606906,30.0,38.0,44.0,53,16.825839499146273,9.831531018782014,0.3688109827700322,0.6311890172299678,1600.9166666666667,247.625,0.0,0.9579244791666667,119.0,1.0,0.0,period_end_critical_refined
critical__base0053__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.4,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,18162.791666666668,222.83333333333334,5348,222.83333333333334,0.9284722222222223,0.881077038145101,29.12154076290202,0.2426795063575168,32.0,41.0,46.0,55,17.93362004487659,11.18792071802543,0.38418024681845614,0.6158197531815438,1721.0416666666667,219.125,0.0,0.9634438657407408,119.0,1.0,0.0,period_end_critical_refined
critical__base0036__c-0p200__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.2,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,7656.791666666667,184.20833333333334,4421,184.20833333333334,0.7675347222222222,0.24994345170775842,7.739651662519792,0.06449709718766489,7.0,15.0,20.0,24,6.667496041619543,1.0721556209002487,0.1385276324633954,0.8614723675366046,1168.4166666666667,925.1666666666666,0.0,0.8399137731481483,24.0,0.2014642446273205,0.18000861387797149,period_end_critical_refined
