scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
critical__base0062__c-0p300__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.3,pareto,biased,random,high_income,complete,5551,35,1,35,30,ok,30,23.844555331253346,0.02395775835764935,133,32,-176.3710245953054,20,20,0.5714285714285714,0.027227169485058912,0.04304087014280463,ok,0.4763779527559055,0.7415437214217955,-0.5952108432960657,-2.199813424288158,0.027820135138871303,3.275593292930972,0.0907230944880091,True,False,24,-1.4325818601870983,-1.1548195636531655,0.2481643239236193,ok,120,30,23.84455387014274,0.02395773696035619,133,32,-176.37102459530553,20,20,0.47619047619047616,0.025284636584651587,0.03775880631267938,-1.1368683772161603e-13
critical__base0026__c-0p500__money-pareto__income-biased__growth-random__spend-low__topo-er_k12,money-pareto__income-biased__growth-random__spend-low__topo-er_k12,0.5,pareto,biased,random,low,er_k12,5543,24,1,24,30,ok,21,29.129722560250404,0.01564860014861469,68,21,-54.283108026815555,20,20,0.7619047619047619,0.022109615181629915,0.037690550911725525,ok,0.2688172043010753,1.313723668285055,-0.14977473724302515,-0.9793818985526987,0.3273913176688129,2.862512510223784,0.09021467868863647,True,False,24,-0.3165017836029591,-0.524395638748006,0.6000033892841433,ok,120,21,29.129723332783048,0.015648609756584553,68,21,-54.283108026815384,20,20,0.7619047619047619,0.024104415193827066,0.04244699108409682,1.7053025658242404e-13
critical__base0061__c-0p275__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.275,pareto,biased,random,high_income,complete,5511,32,1,32,30,ok,29,31.497797085315028,0.021781546090157478,47,29,-47.66155761873331,20,20,0.7619047619047619,0.0289782650379923,0.04450864376578517,ok,0.3561643835616438,1.032362903126909,-0.12546568383204892,-1.0965409993064181,0.27284209136780435,3.235229895386736,0.07614789389173217,True,False,24,-0.324870553240312,-0.5810112795636435,0.5612328515023141,ok,120,29,31.4977909922491,0.021781493841712574,47,29,-47.66155761873421,20,20,0.6190476190476191,0.025815226787345862,0.04549892955286143,-8.952838470577262e-13
critical__base0071__c-0p300__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.3,pareto,biased,random,high_wealth,complete,5508,43,1,43,30,ok,36,21.5127449871807,0.022936266029706553,267,40,-430.49706605019645,20,20,0.2857142857142857,0.018788404557171352,0.029088126524623458,ok,0.5761904761904761,0.5513169851207277,-1.1572004682895591,-2.572612056941737,0.010093427543540654,3.395199136530848,0.11323208672911016,True,False,24,-2.141570612225399,-1.4012100734516457,0.16115126285994807,ok,120,36,21.512746758748385,0.02293629754987625,267,40,-430.4970660466878,20,20,0.47619047619047616,0.022867819352435533,0.032992614488716786,3.5086600291833747e-09
critical__base0008__c-0p700__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.7,pareto,uniform,random,high_both,complete,5505,25,1,27,30,ok,14,7.4767017930379644,0.03571134706637091,211,18,-401.20883799561744,20,20,0.14285714285714285,0.02656272135910138,0.04286815079609593,ok,0.6607717041800643,0.4143468782429449,-2.803977633250314,-2.0187515634464597,0.04351304769397985,2.2838304162516847,0.3020954206248166,True,False,24,-2.899481007501936,-1.47342081251876,0.14063760172826592,ok,120,14,7.4766359312935755,0.035708054453736815,211,18,-401.2086894262293,20,20,0.09523809523809523,0.02339431080508695,0.03301081732460297,0.00014856938815910326
critical__base0017__c-0p700__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.7,normal,uniform,random,high_both,complete,5496,23,1,27,30,ok,13,7.058068119147891,0.049815098779392275,297,18,-565.0351443589982,20,20,0.047619047619047616,0.023554493571661034,0.03516660278048866,ok,0.6597938144329897,0.415827895143711,-5.291861896260615,-2.8926866736995414,0.0038196212698902512,2.3321033190065643,0.2805013082752707,True,False,24,-6.118137698406545,-1.9703506576349652,0.048798196416731936,ok,120,13,7.05797486195135,0.04981013765065745,297,18,-565.0348162209627,20,20,0.047619047619047616,0.0186279364689688,0.02793448543032641,0.00032813803545650444
critical__base0070__c-0p275__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.275,pareto,biased,random,high_wealth,complete,5464,41,1,42,30,ok,34,20.543650750742575,0.03673861266804479,180,37,-288.9956436824947,20,20,0.14285714285714285,0.02388178376732069,0.04015953053910572,ok,0.5734597156398105,0.5560675878793253,-1.0585640494536923,-2.7245061239107247,0.006439773609214063,3.409925195938161,0.09906659120638812,True,False,24,-2.4859923756892153,-1.403543418704774,0.1604548540590529,ok,120,34,20.543653760595113,0.03673866239879481,180,37,-288.99564368000387,20,20,0.14285714285714285,0.02541417337350549,0.043436423420502315,2.4908217710617464e-09
critical__base0069__c-0p250__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.25,pareto,biased,random,high_wealth,complete,5421,40,1,40,30,ok,33,24.640524300643637,0.04177386162231056,76,34,-105.19047369077988,20,20,0.09523809523809523,0.026588000719146722,0.03972612223486615,ok,0.5,0.6931471805599453,0.16789775433180032,0.6178155477509509,0.5366969334222214,-29.243744142762303,1.1795549021805498,True,False,24,0.00294948789819216,0.2864504776614218,0.7745331180115865,ok,120,33,24.64052141373905,0.04177390426248018,76,34,-105.19047369077701,20,20,0.09523809523809523,0.028583185469025718,0.04086705526012061,2.8705926524708048e-12
critical__base0044__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.4,equal,biased,random,high_wealth,er_k24,5409,51,1,51,30,ok,46,33.85529466214781,0.0460839683961789,69,47,-95.1315731155268,20,20,0.09523809523809523,0.03161091867762428,0.04257625254224485,ok,0.4963503649635037,0.7004732206520181,-0.17405904625985058,-1.2184111271939033,0.2230677787341654,3.6859889023518924,0.07567459479967062,True,False,24,-0.4321860737725398,-0.6421941153720185,0.5207471533728573,ok,120,46,33.85529371701244,0.04608395851006353,69,47,-95.13157311552743,20,20,0.2857142857142857,0.036232175228387245,0.05645794199956406,-6.252776074688882e-13
critical__base0007__c-0p675__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.675,pareto,uniform,random,high_both,complete,5403,22,1,22,30,ok,13,7.4951413052586435,0.041857809649083144,234,17,-426.6639564497656,20,20,0.047619047619047616,0.0262677433445024,0.03572977420491457,ok,0.6383307573415765,0.4488987015398678,-3.2849007942915964,-2.468084190795262,0.013583836671894858,2.2356007922576375,0.29391767893295695,True,False,24,-3.4340415267919133,-1.7236248956714053,0.08477558122084694,ok,120,13,7.495101073386009,0.04185610191027367,234,17,-426.663860278259,20,20,0.09523809523809523,0.02776417445343613,0.040047865887844,9.617150658414175e-05
critical__base0025__c-0p475__money-pareto__income-biased__growth-random__spend-low__topo-er_k12,money-pareto__income-biased__growth-random__spend-low__topo-er_k12,0.475,pareto,biased,random,low,er_k12,5399,23,1,23,30,ok,19,18.852978648698166,0.045252644675462195,128,20,-145.07095346200964,20,20,0.047619047619047616,0.02154370305897952,0.032998930718641246,ok,0.40186915887850466,0.9116287187683437,-0.8858275068460699,-2.66711597065788,0.00765052674387678,2.858678051064283,0.09418924506070267,True,False,24,-2.3690155503526413,-1.351564266567321,0.17651474795565847,ok,120,19,18.85298044034647,0.04525268137265903,128,20,-145.0709534620099,20,20,0.09523809523809523,0.026030827397933644,0.043479514133776064,-2.5579538487363607e-13
critical__base0016__c-0p675__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.675,normal,uniform,random,high_both,complete,5396,24,1,25,30,ok,15,8.619571631059996,0.03294751167439908,107,17,-191.439310571304,20,20,0.3333333333333333,0.03012555301325124,0.05062350439047987,ok,0.629757785467128,0.46242000103563685,-0.963900042211778,-1.1773219683684617,0.23906702179272699,2.2488631111660045,0.2950321413804075,True,False,24,-0.9631921193650785,-0.8995160394022935,0.36837785633449616,ok,120,15,8.619559215309128,0.032947055273611914,107,17,-191.43929990988792,20,20,0.2857142857142857,0.029649153223929046,0.03869870682443743,1.0661416069979168e-05
critical__base0085__c-0p850__money-uniform__income-uniform__growth-random__spend-high_wealth__topo-complete,money-uniform__income-uniform__growth-random__spend-high_wealth__topo-complete,0.85,uniform,uniform,random,high_wealth,complete,5390,23,1,23,30,ok,16,9.616946688604289,0.05190512880437703,99,18,-170.17379220548054,20,20,0.14285714285714285,0.031487402498313735,0.05254019487935729,ok,0.6055776892430278,0.5015724182855077,-1.8318088153611993,-3.0586416146940043,0.002223429635381866,2.704750342983973,0.16238992000521169,True,False,24,-3.4063101958709896,-1.6495339399345175,0.0990382959198438,ok,120,16,9.616942856765029,0.05190499851182273,99,18,-170.17379008224796,20,20,0.14285714285714285,0.035323862107749036,0.054376542518009885,2.1232325764231064e-06
critical__base0060__c-0p250__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.25,pareto,biased,random,high_income,complete,5385,32,1,33,30,ok,26,18.995848183815767,0.021327746466582975,86,27,-122.70354214626633,20,20,0.6666666666666666,0.024005807357709574,0.03637643753036409,ok,0.5141242937853108,0.6652902260569791,-0.08712205153359331,-0.2568748239282328,0.7972754061932609,2.241463443815128,0.2482065657732613,True,False,24,-0.07631138471412946,-0.2649414090835312,0.791054597969769,ok,120,26,18.995849602274156,0.021327773953993878,86,27,-122.70354214620211,20,20,0.6666666666666666,0.026204025148513048,0.038397366447900275,6.421885245799785e-11
