scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
stage2__c-0p450__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.45,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.08333333333333333,240.0,58737.875,34.041666666666664,817,34.041666666666664,0.14184027777777777,0.0024479804161566705,1.5850673194614444,0.013208894328845335,1.0,3.0,8.840000000000032,16,1.0820073439412485,0.5030599755201959,0.3173745173745174,0.6826254826254826,7776.708333333333,31862.5,0.0,0.268722800925926,119.0,1.0,0.0
stage2__c-0p455__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.455,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.2916666666666667,240.0,60726.416666666664,36.75,882,36.75,0.153125,0.007936507936507936,1.6122448979591837,0.01343537414965983,1.0,3.0,8.18999999999994,32,1.09297052154195,0.5192743764172335,0.32208157524613223,0.6779184247538678,7388.833333333333,32578.666666666668,0.0,0.2645043402777778,119.0,1.0,0.0
stage2__c-0p460__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.46,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.20833333333333334,240.0,63217.916666666664,44.166666666666664,1060,44.166666666666664,0.1840277777777778,0.005660377358490566,1.639622641509434,0.01366352201257858,1.0,3.0,7.410000000000082,22,1.1084905660377358,0.5311320754716982,0.3239355581127733,0.6760644418872267,6962.875,29347.083333333332,0.0,0.26760648148148153,119.0,1.0,0.0
stage2__c-0p465__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.465,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.3333333333333333,240.0,65658.0,44.916666666666664,1078,44.916666666666664,0.18715277777777778,0.00927643784786642,1.7764378478664193,0.014803648732220126,1.0,3.0,11.0,27,1.1280148423005565,0.6484230055658627,0.36501305483028723,0.6349869451697128,5731.625,27471.791666666668,0.0,0.2664076967592593,119.0,1.0,0.0
stage2__c-0p470__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.47,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,68941.66666666667,52.208333333333336,1253,52.208333333333336,0.21753472222222223,0.008778930566640064,1.790901835594573,0.014924181963288074,1.0,3.0,9.960000000000036,38,1.1468475658419792,0.6440542697525937,0.35962566844919786,0.6403743315508021,6194.208333333333,26925.166666666668,0.0,0.272947337962963,119.0,1.0,0.0
stage2__c-0p475__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,71476.29166666667,55.083333333333336,1322,55.083333333333336,0.22951388888888888,0.009077155824508321,1.7844175491679273,0.014870146243066028,1.0,3.0,10.789999999999964,31,1.140695915279879,0.6437216338880484,0.3607460788469691,0.6392539211530309,5703.208333333333,26581.583333333332,0.0,0.27785792824074074,119.0,1.0,0.0
stage2__c-0p480__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.48,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,74813.58333333333,59.208333333333336,1421,59.208333333333336,0.2467013888888889,0.011963406052076003,1.8233638282899367,0.01519469856908277,1.0,3.0,12.0,39,1.167487684729064,0.6558761435608726,0.35970667695870323,0.6402933230412968,6109.416666666667,26806.875,0.0,0.27733391203703706,119.0,1.0,0.0
stage2__c-0p485__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.485,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,78071.25,66.70833333333333,1601,66.70833333333333,0.2779513888888889,0.008744534665833853,1.8226108682073703,0.01518842390172805,1.0,3.0,10.0,36,1.1623985009369144,0.660212367270456,0.36223440712816996,0.63776559287183,5560.5,24986.5,0.0,0.277160300925926,119.0,1.0,0.0
stage2__c-0p490__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.49,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.3333333333333333,240.0,82432.25,71.75,1722,71.75,0.2989583333333333,0.005226480836236934,1.9099883855981417,0.01591656987998448,1.0,4.0,10.0,19,1.1980255516840883,0.7119628339140535,0.37275767710550317,0.6272423228944968,5916.0,25011.791666666668,0.0,0.2792314814814815,119.0,1.0,0.0
stage2__c-0p495__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.495,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,86437.33333333333,77.79166666666667,1867,77.79166666666667,0.32413194444444443,0.008034279592929834,1.9732190680235673,0.016443492233529693,1.0,4.0,11.0,22,1.2447777182645956,0.7284413497589716,0.3691639522258415,0.6308360477741585,5802.041666666667,23704.083333333332,0.0,0.2777965856481482,119.0,1.0,0.0
stage2__c-0p500__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,89520.20833333333,81.91666666666667,1966,81.91666666666667,0.34131944444444445,0.00508646998982706,1.9150559511698881,0.015958799593082364,1.0,4.0,9.0,30,1.21617497456765,0.698880976602238,0.3649402390438247,0.6350597609561753,5423.125,23048.333333333332,0.0,0.2765402199074074,119.0,1.0,0.0
stage2__c-0p505__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.505,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,94355.25,88.95833333333333,2135,88.95833333333333,0.3706597222222222,0.006088992974238876,2.008430913348946,0.01673692427790785,1.0,4.0,10.0,29,1.2491803278688525,0.7592505854800937,0.37803171641791045,0.6219682835820896,5449.0,22578.708333333332,0.0,0.2749502314814815,119.0,1.0,0.0
stage2__c-0p510__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.51,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,99422.58333333333,96.66666666666667,2320,96.66666666666667,0.4027777777777778,0.008189655172413794,2.0668103448275863,0.017223419540229847,1.0,4.0,10.809999999999945,21,1.2991379310344828,0.7676724137931035,0.37142857142857144,0.6285714285714286,5737.666666666667,22290.708333333332,0.0,0.28495746527777777,119.0,1.0,0.0
