scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
stage2__c-0p780__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.78,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,237987.9583333333,191.08333333333331,4586,191.08333333333331,0.7961805555555556,0.0274749236807675,3.7071522023549934,0.0308929350196249,3.0,8.0,14.0,33,2.0311818578281726,1.6759703445268208,0.4520910534674431,0.547908946532557,5126.25,16051.5,0.0,0.2977719907407407,119.0,1.0,0.0,ok,6.3323083917074054,0.3333333333333333,6.332059778667165,0.2857142857142857,0.04272745033837455,-0.4937972090507774,True,True,True,True,True,True,6,True
stage2__c-0p770__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.77,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,219969.375,189.375,4545,189.375,0.7890625,0.0206820682068206,3.435863586358636,0.0286321965529885,3.0,7.0,13.0,26,1.961936193619362,1.473927392739274,0.4289830942622951,0.5710169057377049,1254.1666666666667,16802.083333333332,0.2755196951714814,0.2981955938240591,119.0,1.0,0.0,ok,7.088749603351159,0.8095238095238095,7.088694580186371,0.7619047619047619,0.7810323548326314,-0.01830746505367742,True,True,True,True,True,True,6,True
stage2__c-0p590__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.59,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,216904.7083333333,189.20833333333331,4541,189.20833333333331,0.7883680555555556,0.0204800704690596,3.573221757322176,0.0297768479776847,3.0,7.0,13.0,25,2.0251046025104604,1.5481171548117154,0.4332552693208431,0.5667447306791569,5203.25,14248.041666666666,0.0,0.2909933449074074,119.0,1.0,0.0,ok,7.667849360099413,0.3333333333333333,7.6678210757072485,0.38095238095238093,0.9614817677553369,0.003191982908660407,True,True,True,True,True,True,6,True
stage2__c-0p795__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.795,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,266015.7083333333,205.29166666666663,4927,205.29166666666663,0.8553819444444445,0.0332859752384818,4.072457885122793,0.0339371490426899,3.0,8.0,14.0,24,2.22265070022326,1.8498071848995328,0.4542237727385995,0.5457762272614004,1242.7083333333333,14792.041666666666,0.2804975263317488,0.3003752301904441,119.0,1.0,0.0,ok,7.066377222950279,0.8095238095238095,7.066318759692951,0.7142857142857143,0.2985811446689399,-0.27372423562306203,True,False,True,True,True,True,5,True
stage2__c-0p775__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9583333333333334,240.0,227612.29166666663,189.625,4551,189.625,0.7901041666666667,0.023291584267194,3.5891012964183697,0.029909177470153,3.0,7.0,14.0,22,2.004834102395078,1.5842671940232915,0.4414105546712379,0.5585894453287621,5205.5,15511.25,0.0,0.3016446759259259,119.0,1.0,0.0,ok,8.034319441199397,0.3333333333333333,8.03429633575807,0.2857142857142857,-0.5256057239597367,-0.48891624734633865,True,True,True,True,True,False,5,True
stage2__c-0p600__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,234748.04166666663,195.70833333333331,4697,195.70833333333331,0.8154513888888889,0.0217159889291036,3.8341494571002768,0.0319512454758356,3.0,8.0,14.0,25,2.140941026186928,1.693208430913349,0.4416125270697984,0.5583874729302015,5238.166666666667,13701.875,0.0,0.2890353009259259,119.0,1.0,0.0,ok,8.265191363134072,1.0,8.265176007703507,1.0,0.21047274755576795,-0.016922546311693765,True,False,True,True,True,True,5,True
stage2__c-0p765__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.765,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,208530.375,185.08333333333331,4442,185.08333333333331,0.7711805555555555,0.0166591625393966,3.333183250787933,0.0277765270898994,2.0,7.0,13.0,28,1.8905898244034216,1.4425934263845115,0.43279751452114,0.5672024854788599,2875.125,15622.958333333334,0.3135375392006465,0.2931124730116515,119.0,1.0,0.0,ok,4.7116671921527695,0.47619047619047616,4.710345170322047,0.5238095238095238,1.680044504206899,-1.5796125580167555,True,True,False,True,True,True,5,True
stage2__c-0p760__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.76,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,199294.41666666663,179.58333333333334,4310,179.58333333333334,0.7482638888888888,0.0153132250580046,3.212529002320186,0.0267710750193348,2.0,7.0,13.0,29,1.8392111368909512,1.3733178654292344,0.4274880832009244,0.5725119167990755,2680.458333333333,16201.0,0.3028083909459466,0.2976450900738069,119.0,1.0,0.0,ok,4.784500340333159,0.9047619047619048,4.78278712293163,0.9047619047619048,4.196667199260553,-0.14159000591471838,True,True,False,True,True,True,5,True
stage2__c-0p745__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.745,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9166666666666666,240.0,174597.95833333334,168.875,4053,168.875,0.7036458333333333,0.0152973106340981,2.916358253145818,0.0243029854428817,2.0,6.0,12.0,25,1.6827041697508018,1.233654083395016,0.4230118443316413,0.5769881556683587,1674.375,17517.25,0.2756271939913305,0.2982807503193988,119.0,1.0,0.0,ok,6.109093713512444,0.5714285714285714,6.108708095921334,0.8095238095238095,0.13161213952163964,-0.13539256499037577,True,True,False,True,True,True,5,True
stage2__c-0p585__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.585,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9166666666666666,240.0,207759.91666666663,184.08333333333331,4418,184.08333333333331,0.7670138888888889,0.0140334993209597,3.416930737890448,0.0284744228157537,3.0,7.0,12.0,26,1.9244001810774105,1.4925305568130376,0.4368044515103338,0.5631955484896661,5166.833333333333,15306.083333333334,0.0,0.2969510995370371,119.0,1.0,0.0,ok,5.6544864613865915,0.9047619047619048,5.6540708658666645,1.0,0.7486732030467564,-0.34567754690530883,True,True,False,True,True,True,5,True
