scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
stage2__c-0p800__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,pareto,uniform,random,high_wealth,complete,5007,24,1,24,30,ok,9,4.985671052552057,0.048285643329964656,472,17,-954.5229150181785,20,20,0.047619047619047616,0.020757752249274924,0.035091151787693294,ok,0.6927083333333334,0.36714624380602773,-6.939169534951827,-2.0548894363376604,0.039889685015507804,1.5926964531823447,0.4989936137792178,True,False,24,-6.195417168998592,-2.254088873216862,0.02419057751670543,ok,120,9,4.984554864054773,0.0482029640239241,472,17,-954.510620398774,20,20,0.047619047619047616,0.018714263038402228,0.03100146803355089,0.012294619404542573
stage2__c-0p800__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,normal,uniform,random,high_wealth,complete,4996,23,1,25,30,ok,14,7.685846044306668,0.02157372869710461,81,16,-151.11018233512237,20,20,0.9047619047619048,0.03649043252925331,0.05384640961052517,ok,0.6523605150214592,0.4271579327194242,-0.5984433514156609,-0.7130373597046932,0.47582263932119906,1.9497519964802112,0.37265958814560046,True,False,24,-0.532843179288311,-0.6821664332305046,0.49513371710854637,ok,120,14,7.685801957900009,0.021571585470204324,81,16,-151.1101462286766,20,20,1.0,0.04524678231243857,0.0643750752766702,3.610644577634048e-05
stage2__c-0p795__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.795,pareto,uniform,random,high_wealth,complete,4941,26,1,27,30,ok,14,6.461274151030028,0.026329378274697945,83,17,-174.09601577483912,20,20,0.8095238095238095,0.0334722283568327,0.04561830094412192,ok,0.7137931034482758,0.33716212971515064,-0.46710876353747155,-0.45438125869750223,0.649554439053283,1.7007053269817491,0.4764367780128829,True,False,24,-0.4820635380558205,-0.6752275378322581,0.49953121344059714,ok,120,14,6.460845119378703,0.026304966210351832,83,17,-174.09547757482906,20,20,0.9047619047619048,0.03541560529670025,0.04718284988235787,0.0005382000100553341
stage2__c-0p795__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.795,normal,uniform,random,high_wealth,complete,4927,24,1,24,30,ok,12,7.066377222950279,0.022006267097515853,164,15,-298.45695941888687,20,20,0.8095238095238095,0.0314716302705786,0.042922537382041145,ok,0.6419213973799126,0.44328941677550343,0.2985811446689399,0.19715117426817064,0.8437092379305421,0.4318822139803021,0.6203542102094418,True,False,24,-0.27372423562306203,-0.4918706271080997,0.6228108040555193,ok,120,12,7.066318759692951,0.02200344482767147,164,15,-298.4568519772295,20,20,0.7142857142857143,0.029355472770505008,0.04548851672987175,0.00010744165734877242
stage2__c-0p800__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,equal,uniform,random,high_wealth,complete,4914,23,1,23,30,ok,10,5.711139404577478,0.043196263363018184,338,16,-651.7911444688748,20,20,0.047619047619047616,0.022667870136972076,0.0319532613703163,ok,0.6669950738916256,0.4049726185636127,-5.960559055719466,-2.532027507863351,0.011340509421018904,1.923117430229347,0.3849362333679088,True,False,24,-5.783788441338983,-2.1221159204002285,0.03382800479766446,ok,120,10,5.710770443459871,0.04317577053796079,338,16,-651.788972771745,20,20,0.047619047619047616,0.022580693187408143,0.03475705595545883,0.002171697129824679
stage2__c-0p795__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.795,equal,uniform,random,high_wealth,complete,4885,21,1,21,30,ok,10,5.584641928114557,0.030117265330735887,312,16,-611.7738064018063,20,20,0.047619047619047616,0.02060184156562336,0.028681500894601288,ok,0.6763485477178424,0.3910467326838926,-4.847847369976588,-2.2648461903925794,0.02352211979776933,1.8039039557221643,0.4262389817589204,True,False,24,-4.3048856356807175,-2.0274039606460534,0.0426211172305977,ok,120,10,5.584160921933963,0.030090276131072846,312,16,-611.771043255654,20,20,0.23809523809523808,0.02328407146797779,0.0325355442086086,0.0027631461522332756
stage2__c-0p790__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.79,pareto,uniform,random,high_wealth,complete,4881,21,1,21,30,ok,10,5.725702362685427,0.04549408257235571,297,16,-571.6388251492197,20,20,0.047619047619047616,0.025011274068336968,0.038541541124925874,ok,0.6655405405405406,0.4071557255860718,-5.723628883578538,-2.8693545942941796,0.004113103992811485,1.9565297173335887,0.3741744693188445,True,False,24,-5.461350526357544,-2.227648009122129,0.025903996528463084,ok,120,10,5.725344466866634,0.04547422739445367,297,16,-571.6369860895045,20,20,0.09523809523809523,0.02688821610480562,0.041961755379354496,0.0018390597151665133
stage2__c-0p790__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.79,normal,uniform,random,high_wealth,complete,4844,24,1,31,30,ok,10,5.4107513537782665,0.03771831726648345,281,15,-564.0305434198689,20,20,0.14285714285714285,0.02891590374682613,0.038691099627100024,ok,0.6895027624309392,0.37178457533049847,-3.384911316741125,-1.1148013256527562,0.26493556828060183,1.7242449996035358,0.45920687564378865,True,False,24,-3.4958587231723492,-1.4236305604506836,0.1545534444633804,ok,120,10,5.410059356429259,0.03766944048496257,281,15,-564.0266745950024,20,20,0.14285714285714285,0.02557671079911834,0.041041068006178405,0.0038688248664584535
stage2__c-0p785__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.785,normal,uniform,random,high_wealth,complete,4817,22,1,23,30,ok,9,4.9162710348911665,0.05245983624658901,342,16,-699.0219401749146,20,20,0.047619047619047616,0.02628216293633706,0.0392316006597444,ok,0.6962699822380106,0.3620177883492279,-7.667297609255544,-2.839773718320951,0.0045145545345137705,1.8404699783675682,0.43406919646051745,True,False,24,-7.071129064169397,-2.4262840092522646,0.015254327426993165,ok,120,9,4.9149763468940435,0.052358350178763224,342,16,-699.0112331171154,20,20,0.047619047619047616,0.024680714932598498,0.047205604737253055,0.010707057799208997
stage2__c-0p600__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,normal,uniform,random,high_both,complete,4806,20,1,20,30,ok,8,5.0224675525354066,0.04837203510303112,504,14,-952.4562584404887,20,20,0.047619047619047616,0.020047110599969324,0.02976720231648306,ok,0.6547945205479452,0.4234338016509809,-11.59135896012021,-3.71004313527488,0.000207223937037111,1.7564726830471715,0.41286021804314527,True,False,24,-11.008450581918698,-3.046997719341481,0.0023113946350229973,ok,120,8,5.021810194377141,0.04832835212434755,504,14,-952.4490404749928,20,20,0.047619047619047616,0.017636399454490012,0.03258190522024368,0.0072179654958972606
