scenario_id,family,n_nodes,period_length_rule,drive_value,event_count,mean_initial_defaults,mean_propagated_defaults,mean_weighted_branching,median_weighted_branching,p95_weighted_branching,mean_duration,p95_duration
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,4468,4.666069829901522,0.5534914950760967,0.10336859748229489,0.0,0.5,1.4281557743957027,3.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,4567,5.476242610028465,0.6571053207795051,0.10406610577948436,0.0,0.4444444444444444,1.4821545872564046,3.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,4600,6.5302173913043475,0.835,0.11059891093972059,0.0,0.4,1.5795652173913044,3.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,4621,7.586236745293227,1.0374377840294309,0.11995329684068877,0.0833333333333333,0.4,1.684483877948496,3.0
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,4681,8.741935483870968,1.3791924802392652,0.13124589613825757,0.1,0.3846153846153846,1.7878658406323436,3.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,4683,9.753790305359813,1.6480888319453342,0.13953253030178608,0.1176470588235294,0.391304347826087,1.8791373051462739,3.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,4573,4.362562869013776,0.5012027115678985,0.10146460981252146,0.0,0.5,1.3958014432538814,3.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,4668,5.581833761782348,0.7007283633247644,0.10923615473535088,0.0,0.4444444444444444,1.512210796915167,3.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,4738,7.592233009708738,1.088011819333052,0.12412958590052073,0.0909090909090909,0.4,1.7026171380329254,3.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,4759,8.78756041185123,1.3843244379071233,0.134030933688261,0.1111111111111111,0.4,1.7978566925824753,3.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,4979,10.580236995380599,4.2345852580839525,0.283092856015824,0.2941176470588235,0.5555555555555556,2.649929704759992,5.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,4995,11.579379379379379,5.68968968968969,0.3335066971072879,0.35,0.6,2.9713713713713714,5.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,4952,9.904684975767367,3.8016962843295636,0.2726162582889371,0.2727272727272727,0.5833333333333334,2.5488691437802906,5.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,4980,12.823293172690763,9.123895582329316,0.4018095390991872,0.44,0.6666666666666666,3.591164658634538,6.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,4562,4.275537045155634,0.649934239368698,0.1305345380422101,0.0,0.5,1.4861902674265672,3.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,4729,7.174244026221189,0.9689152040600549,0.11933801159072473,0.0769230769230769,0.4,1.6464368788327342,3.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,4798,18.290329303876614,2.686536056690288,0.12622672704134424,0.12,0.2941176470588235,2.1248436848686953,4.0
