scenario_id,family,n_nodes,drive_value,events,log_duration_vs_log_size_slope,intercept,r_squared,pvalue,slope_stderr
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,18.0,4468,0.28635979181119603,-0.14234813168032912,0.2634429958137709,6.888932612145108e-299,0.007164939577169657
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,20.0,4567,0.29702469812324556,-0.1721605875450738,0.27179763740690666,0.0,0.0071957385513813105
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,22.0,4600,0.307245342465413,-0.18276225699991933,0.28967479443176075,0.0,0.0070953542569008425
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,24.0,4621,0.3247947207838851,-0.2031067439644143,0.3149819307801746,0.0,0.007047631268448389
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,26.0,4681,0.3625567622277195,-0.278648677039552,0.37004935717775506,0.0,0.006915489429748215
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,28.0,4683,0.3746887339055782,-0.3001597014979046,0.3917871762954318,0.0,0.006823449666706098
income_c_transition__N-200__income-c-0.14,income_c_transition,200,0.14,4573,0.2833569505799762,-0.1435050042004557,0.24512766847829348,1.8064406281801432e-281,0.007354765766101415
income_c_transition__N-200__income-c-0.16,income_c_transition,200,0.16,4668,0.3186892101401181,-0.20189444846538424,0.27461231238120337,0.0,0.0075826337560515175
income_c_transition__N-200__income-c-0.18,income_c_transition,200,0.18,4738,0.3496247213130451,-0.2509910129190299,0.3143422169560781,0.0,0.007503236500198137
income_c_transition__N-200__income-c-0.20,income_c_transition,200,0.2,4759,0.3710658147412118,-0.2983658883162728,0.34818405153993487,0.0,0.007361095025048588
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,0.18,4562,0.34318832205783023,-0.17354574799474115,0.3174143851409115,0.0,0.007452729236774974
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,0.18,4729,0.3392498412050392,-0.24028214937992243,0.3052844195795943,0.0,0.007443514714040056
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,0.18,4798,0.3847687185749062,-0.4345336370981726,0.36031967807245124,0.0,0.007402828271080288
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,20.0,4952,0.5530282927750115,-0.5489688925897543,0.4769910389359454,0.0,0.008230840875881953
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,30.0,4980,0.6669616564157005,-0.824027226509517,0.5464392270506774,0.0,0.008612321427857582
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,0.18,4979,0.5686786608002256,-0.5925563997981126,0.48235802307262904,0.0,0.0083505119515853
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,0.2,4995,0.6335797472376699,-0.7555537290357959,0.4556779825860639,0.0,0.0097998500755499
