scenario_id,family,n_nodes,period_length_rule,drive_value,runs,periods_observed,events,avalanche_period_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation,persistent_active_flag
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,4800,4468,0.9308333333333333,0.9534622302158273,0.5166345045457519,True
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,4800,4567,0.9514583333333333,0.9656916648339564,0.5929805030569454,True
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,4800,4600,0.9583333333333334,0.9724890829694323,0.6527811183619915,True
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,4800,4621,0.9627083333333334,0.9784829384916323,0.6823164697680544,True
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,4800,4681,0.9752083333333333,0.9843381248659085,0.7338509309885134,True
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,4800,4683,0.975625,0.9864893845164058,0.7420407894736272,True
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,4800,4573,0.9527083333333334,0.9606852624643093,0.47491484528283195,True
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,4800,4668,0.9725,0.9763339070567987,0.5647587818076031,True
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,4800,4738,0.9870833333333333,0.9881305637982196,0.6740397973833548,True
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,4800,4759,0.9914583333333333,0.993036505591897,0.7181811082793221,True
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,4800,4562,0.9504166666666667,0.9583883751651255,0.5416031089054971,True
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,4800,4729,0.9852083333333334,0.9874708005946061,0.6349051012299344,True
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,4800,4798,0.9995833333333334,0.9995814148179154,0.8324462014975366,True
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,5000,4952,0.9904,0.9939357186173439,0.7211578064079519,True
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,5000,4980,0.996,0.9973869346733668,0.7547356950346915,True
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,5000,4979,0.9958,0.9963811821471653,0.7283252596078095,True
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,5000,4995,0.999,0.998997995991984,0.6800570076034577,True
