scenario_id,family,n_nodes,period_length_rule,drive_value,runs,seeds,periods_observed,event_count,events_per_100_periods,avalanche_period_occupancy,one_period_wait_fraction,mean_period_wait,pooled_size_lag1_correlation,critical_run_rate,critical_event_rate,mean_event_size,p95_event_size,max_event_size,mean_duration_generations,p95_duration_generations,max_duration_generations,mean_weighted_branching_ratio,p95_weighted_branching_ratio,mean_initial_default_count,mean_propagated_default_count
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,2026061400;2026061401;2026061402;2026061403;2026061404;2026061405;2026061406;2026061407;2026061408;2026061409;2026061410;2026061411;2026061412;2026061413;2026061414;2026061415;2026061416;2026061417;2026061418;2026061419,4800,4468,93.08333333333333,0.9308333333333333,0.9534622302158273,1.0654226618705036,0.5166345045457519,0.0,0.0,5.219561324977619,11.0,17,1.4281557743957027,3.0,6,0.10336859748229489,0.5,4.666069829901522,0.5534914950760967
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,2026071400;2026071401;2026071402;2026071403;2026071404;2026071405;2026071406;2026071407;2026071408;2026071409;2026071410;2026071411;2026071412;2026071413;2026071414;2026071415;2026071416;2026071417;2026071418;2026071419,4800,4567,95.14583333333333,0.9514583333333333,0.9656916648339564,1.0457444468880581,0.5929805030569454,0.0,0.0,6.13334793080797,12.0,19,1.4821545872564046,3.0,5,0.10406610577948436,0.4444444444444444,5.476242610028465,0.6571053207795051
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,2026081400;2026081401;2026081402;2026081403;2026081404;2026081405;2026081406;2026081407;2026081408;2026081409;2026081410;2026081411;2026081412;2026081413;2026081414;2026081415;2026081416;2026081417;2026081418;2026081419,4800,4600,95.83333333333333,0.9583333333333334,0.9724890829694323,1.0366812227074236,0.6527811183619915,0.25,0.0013043478260869566,7.3652173913043475,14.0,21,1.5795652173913044,3.0,5,0.1105989109397206,0.4,6.5302173913043475,0.835
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,2026091400;2026091401;2026091402;2026091403;2026091404;2026091405;2026091406;2026091407;2026091408;2026091409;2026091410;2026091411;2026091412;2026091413;2026091414;2026091415;2026091416;2026091417;2026091418;2026091419,4800,4621,96.27083333333333,0.9627083333333334,0.9784829384916323,1.033036296457292,0.6823164697680544,0.65,0.005193681021423934,8.623674529322658,16.0,24,1.684483877948496,3.0,6,0.11995329684068877,0.4,7.586236745293227,1.0374377840294309
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,2026101400;2026101401;2026101402;2026101403;2026101404;2026101405;2026101406;2026101407;2026101408;2026101409;2026101410;2026101411;2026101412;2026101413;2026101414;2026101415;2026101416;2026101417;2026101418;2026101419,4800,4681,97.52083333333333,0.9752083333333333,0.9843381248659085,1.019952799828363,0.7338509309885134,1.0,0.03054902798547319,10.121127964110233,19.0,25,1.7878658406323436,3.0,7,0.13124589613825757,0.38461538461538464,8.741935483870968,1.3791924802392652
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,2026111400;2026111401;2026111402;2026111403;2026111404;2026111405;2026111406;2026111407;2026111408;2026111409;2026111410;2026111411;2026111412;2026111413;2026111414;2026111415;2026111416;2026111417;2026111418;2026111419,4800,4683,97.5625,0.975625,0.9864893845164058,1.0195153334763027,0.7420407894736272,1.0,0.08242579543027974,11.401879137305146,21.0,31,1.8791373051462739,3.0,10,0.1395325303017861,0.391304347826087,9.753790305359813,1.6480888319453342
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,2026121400;2026121401;2026121402;2026121403;2026121404;2026121405;2026121406;2026121407;2026121408;2026121409;2026121410;2026121411;2026121412;2026121413;2026121414;2026121415;2026121416;2026121417;2026121418;2026121419,4800,4573,95.27083333333333,0.9527083333333334,0.9606852624643093,1.0494179661761476,0.47491484528283195,0.0,0.0,4.863765580581675,10.0,19,1.3958014432538814,3.0,7,0.10146460981252146,0.5,4.362562869013776,0.5012027115678985
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,2026131400;2026131401;2026131402;2026131403;2026131404;2026131405;2026131406;2026131407;2026131408;2026131409;2026131410;2026131411;2026131412;2026131413;2026131414;2026131415;2026131416;2026131417;2026131418;2026131419,4800,4668,97.25,0.9725,0.9763339070567987,1.0283993115318417,0.5647587818076031,0.1,0.0004284490145672665,6.282562125107113,12.0,22,1.512210796915167,3.0,6,0.10923615473535088,0.4444444444444444,5.581833761782348,0.7007283633247644
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,2026141400;2026141401;2026141402;2026141403;2026141404;2026141405;2026141406;2026141407;2026141408;2026141409;2026141410;2026141411;2026141412;2026141413;2026141414;2026141415;2026141416;2026141417;2026141418;2026141419,4800,4738,98.70833333333333,0.9870833333333333,0.9881305637982196,1.012929207291225,0.6740397973833548,0.45,0.013507809202195019,8.68024482904179,16.0,28,1.7026171380329254,3.0,8,0.12412958590052073,0.4,7.592233009708738,1.088011819333052
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,2026151400;2026151401;2026151402;2026151403;2026151404;2026151405;2026151406;2026151407;2026151408;2026151409;2026151410;2026151411;2026151412;2026151413;2026151414;2026151415;2026151416;2026151417;2026151418;2026151419,4800,4759,99.14583333333333,0.9914583333333333,0.993036505591897,1.0086516142646127,0.7181811082793221,0.85,0.035511662113889474,10.171884849758353,19.0,27,1.7978566925824753,3.0,8,0.134030933688261,0.4,8.78756041185123,1.3843244379071233
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,2026161400;2026161401;2026161402;2026161403;2026161404;2026161405;2026161406;2026161407;2026161408;2026161409;2026161410;2026161411;2026161412;2026161413;2026161414;2026161415;2026161416;2026161417;2026161418;2026161419,4800,4562,95.04166666666667,0.9504166666666667,0.9583883751651255,1.0517393218846323,0.5416031089054971,0.95,0.05830775975449364,4.925471284524331,10.0,16,1.4861902674265672,3.0,6,0.1305345380422101,0.5,4.275537045155634,0.649934239368698
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,2026171400;2026171401;2026171402;2026171403;2026171404;2026171405;2026171406;2026171407;2026171408;2026171409;2026171410;2026171411;2026171412;2026171413;2026171414;2026171415;2026171416;2026171417;2026171418;2026171419,4800,4729,98.52083333333333,0.9852083333333334,0.9874708005946061,1.014865151836908,0.6349051012299344,0.4,0.002326073165574117,8.143159230281244,15.0,27,1.6464368788327342,3.0,6,0.11933801159072475,0.4,7.174244026221189,0.9689152040600549
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,2026181400;2026181401;2026181402;2026181403;2026181404;2026181405;2026181406;2026181407;2026181408;2026181409;2026181410;2026181411;2026181412;2026181413;2026181414;2026181415;2026181416;2026181417;2026181418;2026181419,4800,4798,99.95833333333333,0.9995833333333334,0.9995814148179154,1.0004185851820846,0.8324462014975366,0.15,0.0006252605252188412,20.976865360566904,37.0,55,2.1248436848686953,4.0,8,0.12622672704134427,0.29411764705882354,18.290329303876614,2.686536056690288
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,2026191400;2026191401;2026191402;2026191403;2026191404,5000,4952,99.04,0.9904,0.9939357186173439,1.0072771376591874,0.7211578064079519,1.0,0.09147819063004846,13.706381260096931,20.0,27,2.5488691437802906,5.0,11,0.27261625828893715,0.5833333333333334,9.904684975767367,3.8016962843295636
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,2026201400;2026201401;2026201402;2026201403;2026201404,5000,4980,99.6,0.996,0.9973869346733668,1.0034170854271356,0.7547356950346915,1.0,0.742570281124498,21.94718875502008,30.0,40,3.591164658634538,6.0,12,0.4018095390991872,0.6666666666666666,12.823293172690763,9.123895582329316
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,2026211400;2026211401;2026211402;2026211403;2026211404,5000,4979,99.58,0.9958,0.9963811821471653,1.004020908725372,0.7283252596078095,1.0,0.1773448483631251,14.814822253464552,22.0,29,2.649929704759992,5.0,10,0.28309285601582407,0.5555555555555556,10.580236995380599,4.2345852580839525
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,2026221400;2026221401;2026221402;2026221403;2026221404,5000,4995,99.9,0.999,0.998997995991984,1.001002004008016,0.6800570076034577,1.0,0.3913913913913914,17.26906906906907,24.0,32,2.9713713713713714,5.0,9,0.3335066971072879,0.6,11.579379379379379,5.68968968968969
