scenario_id,family,n_nodes,period_length_rule,drive_value,size_bin_left,size_bin_right,event_count,mean_size,mean_duration,median_duration,p95_duration
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,1.0,2.0,468,1.0,1.0,1.0,1.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,2.0,3.0,476,2.0,1.0609243697478992,1.0,2.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,3.0,4.0,523,3.0,1.1644359464627152,1.0,2.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,4.0,5.0,522,4.0,1.239463601532567,1.0,2.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,5.0,6.0,562,5.0,1.3469750889679715,1.0,2.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,6.0,8.0,903,6.436323366555925,1.5337763012181618,1.0,3.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,8.0,11.0,784,8.752551020408163,1.850765306122449,2.0,3.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,11.0,14.0,203,11.61576354679803,2.3497536945812807,2.0,4.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,14.0,18.0,27,14.88888888888889,3.037037037037037,3.0,5.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,1.0,2.0,362,1.0,1.0,1.0,1.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,2.0,3.0,390,2.0,1.0564102564102564,1.0,2.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,3.0,4.0,423,3.0,1.1583924349881796,1.0,2.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,4.0,5.0,439,4.0,1.2072892938496582,1.0,2.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,5.0,7.0,964,5.4896265560165975,1.3682572614107884,1.0,2.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,7.0,9.0,845,7.449704142011834,1.5846153846153845,2.0,3.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,9.0,12.0,831,9.824308062575211,1.8868832731648617,2.0,3.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,12.0,15.0,272,12.658088235294118,2.2683823529411766,2.0,4.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,15.0,20.0,41,15.853658536585366,3.2195121951219514,3.0,5.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,1.0,2.0,309,1.0,1.0,1.0,1.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,2.0,3.0,313,2.0,1.0447284345047922,1.0,1.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,3.0,4.0,297,3.0,1.1515151515151516,1.0,2.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,4.0,5.0,335,4.0,1.2388059701492538,1.0,2.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,5.0,7.0,749,5.518024032042724,1.3978638184245662,1.0,2.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,7.0,9.0,802,7.498753117206983,1.5536159600997506,1.0,3.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,9.0,13.0,1299,10.367975365665897,1.8722093918398768,2.0,3.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,13.0,17.0,454,13.980176211453745,2.2775330396475773,2.0,4.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,17.0,22.0,42,17.904761904761905,2.7142857142857144,3.0,4.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,1.0,2.0,246,1.0,1.0,1.0,1.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,2.0,3.0,252,2.0,1.0595238095238095,1.0,2.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,3.0,4.0,250,3.0,1.14,1.0,2.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,4.0,6.0,524,4.490458015267175,1.3358778625954197,1.0,2.0
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,6.0,8.0,611,6.51063829787234,1.4713584288052373,1.0,3.0
