scenario_id,family,n_nodes,period_length_rule,drive_value,runs,time_window,period_count,event_count,avalanche_period_occupancy,mean_event_size,large_event_rate,mean_duration_generations,mean_weighted_branching,mean_credit_before,mean_credit_after
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,Q1,1200,900,0.75,2.216666666666667,0.0,1.1633333333333333,0.08047486772486773,487.4866666666667,479.99555555555554
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,Q2,1200,1175,0.9791666666666666,4.097872340425532,0.0,1.3446808510638297,0.10071385588406866,907.5795744680851,893.6221276595745
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,Q3,1200,1193,0.9941666666666666,6.0050293378038555,0.0,1.4861693210393965,0.10861495773482362,1043.1282481139983,1025.191953059514
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,Q4,1200,1200,1.0,7.789166666666667,0.0,1.6508333333333334,0.1179225727975728,1004.295,985.2116666666667
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,20,post_Q1_burn_in,3600,3568,0.9911111111111112,5.977017937219731,0.0,1.4949551569506727,0.10914336115429164,985.4293721973094,968.417600896861
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,Q1,1200,981,0.8175,2.667686034658512,0.0,1.1926605504587156,0.07288238435027426,512.6340468909276,504.17125382263
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,Q2,1200,1187,0.9891666666666666,4.86267902274642,0.0,1.379949452401011,0.10262366109038393,960.2687447346251,944.3007582139849
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,Q3,1200,1199,0.9991666666666666,7.182652210175146,0.0,1.5704753961634697,0.11134690302747016,1063.8215179316096,1043.6196830692243
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,Q4,1200,1200,1.0,9.175,0.0,1.7316666666666667,0.12371088633588632,1011.1941666666667,990.0358333333334
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,20,post_Q1_burn_in,3600,3586,0.9961111111111111,7.081427774679309,0.0,1.5613496932515338,0.1125968449657797,1011.9336307863915,992.8131622978249
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,Q1,1200,1005,0.8375,2.843781094527363,0.0,1.208955223880597,0.07816591644949854,551.0417910447761,541.1562189054727
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,Q2,1200,1196,0.9966666666666667,5.94314381270903,0.0008361204013377926,1.4891304347826086,0.10666518802093267,969.7583612040133,950.8628762541806
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,Q3,1200,1199,0.9991666666666666,8.814845704753962,0.0,1.7022518765638033,0.11953897969327494,1023.9624687239366,1001.3327773144287
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,Q4,1200,1200,1.0,11.120833333333334,0.004166666666666667,1.8575,0.13274953563808053,930.5233333333333,906.0191666666667
