scenario_id,family,n_nodes,period_length_rule,drive_value,period_waiting_time,count,probability,ccdf
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,1,4241,0.9534622302158273,1.0
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,2,161,0.03619604316546762,0.046537769784172664
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,3,27,0.006070143884892087,0.010341726618705036
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,4,11,0.0024730215827338128,0.00427158273381295
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,5,3,0.0006744604316546763,0.0017985611510791368
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,7,4,0.0008992805755395684,0.0011241007194244604
fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,200,fixed,18.0,8,1,0.0002248201438848921,0.0002248201438848921
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,1,4391,0.9656916648339564,1.0
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,2,120,0.026391027050802728,0.03430833516604354
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,3,28,0.00615790631185397,0.007917308115240818
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,4,4,0.0008797009016934242,0.0017594018033868484
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,5,1,0.00021992522542335605,0.0008797009016934242
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,6,2,0.0004398504508467121,0.0006597756762700682
fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,200,fixed,20.0,7,1,0.00021992522542335605,0.00021992522542335605
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,1,4454,0.9724890829694323,1.0
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,2,96,0.02096069868995633,0.027510917030567687
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,3,21,0.004585152838427947,0.006550218340611353
