seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,sw_rewire_probability,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,factor_family,run_index
2026060400,True,240,4800,3,60,20,20,4800,60,986,15,15,1287,221,0.075,False,3973,3973,986,0.5192864334256231,0.8492461615907376,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064400,200,600,6.0,0.03015075376884422,0.04043994893994893,2.4289915602982237,0.40483192671637064,13,1,200,1.0,3.15964824120603,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,0
2026060401,True,240,4800,1,20,20,20,4800,20,875,15,15,1412,232,0.075,False,3705,3705,875,0.491804318488529,0.861628879892038,0,116,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064401,200,600,6.0,0.03015075376884422,0.037912753912753894,2.4617067250182343,0.4102844541697057,13,1,200,1.0,3.147437185929648,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,1
2026060402,True,240,4800,1,20,20,20,4800,20,716,17,17,1482,231,0.085,False,3996,3996,716,0.517802802802803,0.8518543543543544,0,120,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064402,200,600,6.0,0.03015075376884422,0.024889971139971122,2.3108440016582685,0.3851406669430448,12,1,200,1.0,3.154924623115578,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,2
2026060403,True,240,4800,4,80,20,20,4800,80,1155,16,16,1333,231,0.08,False,3943,3943,1155,0.5020174993659652,0.8008255135683491,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064403,200,600,6.0,0.03015075376884422,0.027194444444444427,2.4228082879171433,0.40380138131952387,13,1,200,1.0,3.119145728643216,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,3
2026060404,True,240,4800,2,40,20,20,4800,40,1052,17,17,1376,231,0.085,False,3706,3706,1052,0.4588559093362117,0.8066378845116029,0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064404,200,600,6.0,0.03015075376884422,0.032832001332001315,2.5865034312755126,0.43108390521258544,13,2,199,0.995,3.126541799908634,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,4
2026060405,True,240,4800,4,80,20,20,4800,80,883,16,16,1463,224,0.08,False,3144,3144,883,0.4636927480916031,0.830130407124682,0,101,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064405,200,600,6.0,0.03015075376884422,0.01954184704184704,2.085665361461421,0.3476108935769035,11,1,200,1.0,3.155829145728643,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,5
2026060406,True,240,4800,4,80,20,20,4800,80,787,15,15,1501,226,0.075,False,4252,4252,787,0.5357761053621826,0.8503551269990595,0,127,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064406,200,600,6.0,0.03015075376884422,0.030691558441558433,2.349468024894146,0.3915780041490244,12,2,199,0.995,3.128369118318867,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,6
2026060407,True,240,4800,3,60,20,20,4800,60,775,18,18,1551,229,0.09,False,3948,3948,775,0.5269554204660589,0.8749138804457954,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,6,0.1,2026064407,200,600,6.0,0.03015075376884422,0.02445127095127094,2.3727621035409343,0.3954603505901557,14,1,200,1.0,3.1326633165829145,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,7
2026060408,True,240,4800,3,60,20,20,4800,60,888,16,16,1412,224,0.08,False,3846,3846,888,0.49616484659386395,0.8545943837753511,0,122,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064408,200,1200,12.0,0.06030150753768844,0.06168380067644768,3.2295510523910287,0.26912925436591906,21,1,200,1.0,2.400854271356784,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,0
2026060409,True,240,4800,2,40,20,20,4800,40,1047,16,16,1272,229,0.08,False,4173,4173,1047,0.5144991612748624,0.827925952552121,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064409,200,1200,12.0,0.06030150753768844,0.058166750217446765,3.2093613071762426,0.2674467755980202,22,1,200,1.0,2.3976884422110554,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,1
2026060410,True,240,4800,6,120,20,20,4800,120,1225,14,14,1321,223,0.07,False,4007,4007,1225,0.4947903668579987,0.8047579236336413,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064410,200,1200,12.0,0.06030150753768844,0.059355144253751,3.1717503054307414,0.2643125254525618,21,1,200,1.0,2.4029145728643218,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,2
2026060411,True,240,4800,1,20,20,20,4800,20,649,17,17,1707,234,0.085,False,4808,4808,649,0.6194696339434278,0.9056156405990017,0,139,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064411,200,1200,12.0,0.06030150753768844,0.06247619533029743,3.40440890610984,0.28370074217582003,21,1,200,1.0,2.401256281407035,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,3
2026060412,True,240,4800,2,40,20,20,4800,40,689,19,19,1552,233,0.095,False,3700,3700,689,0.5254270270270271,0.8538945945945946,0,112,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064412,200,1200,12.0,0.06030150753768844,0.06058525638896478,3.2326459750489227,0.26938716458741024,23,1,200,1.0,2.3996482412060303,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,4
2026060413,True,240,4800,8,160,20,20,4800,160,809,15,15,1319,220,0.075,False,3877,3877,809,0.5102669589889091,0.8635375290172815,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064413,200,1200,12.0,0.06030150753768844,0.0547383599372763,3.2218007387174024,0.26848339489311684,21,1,200,1.0,2.39391959798995,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,5
2026060414,True,240,4800,2,40,20,20,4800,40,1207,15,15,1293,231,0.075,False,3563,3563,1207,0.4776831321919732,0.8207227055851811,0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064414,200,1200,12.0,0.06030150753768844,0.058126953713640975,3.420526275297414,0.2850438562747845,25,1,200,1.0,2.4007035175879397,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,6
2026060415,True,240,4800,1,20,20,20,4800,20,1099,14,14,1408,233,0.07,False,4249,4249,1099,0.4934255118851496,0.8066427394681102,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,12,0.1,2026064415,200,1200,12.0,0.06030150753768844,0.06110625219293947,3.2984845004941286,0.2748737083745107,22,1,200,1.0,2.3958291457286434,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,7
2026060416,True,240,4800,2,40,20,20,4800,40,851,14,14,1417,232,0.07,False,3807,3807,851,0.48676779616495947,0.8412910428158655,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,er,24,0.1,2026064416,200,2400,24.0,0.12060301507537688,0.11575085369088856,4.255584566190643,0.17731602359127677,36,1,200,1.0,1.9231658291457285,topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-24,topology_degree,0
