scenario_id,factor_family,money_distribution,income_distribution_rule,growth_rule,a,b,topology,target_mean_degree,runs,seeds,default_run_rate,critical_run_rate,mean_first_cascade_credit,mean_max_collapse_size,mean_avalanche_count,event_count,critical_event_rate,mean_event_size,p90_event_size,max_event_size,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,mean_topology_lcc_fraction,mean_topology_path_length
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,lognormal,biased,random,0.02,0.2,er,6,8,2026060400;2026060401;2026060402;2026060403;2026060404;2026060405;2026060406;2026060407,1.0,0.0,55.0,16.125,228.125,1825,0.0,6.249315068493151,11.0,18,0.502023904667372,0.8406990260608274,6.0,0.02974422452547451,0.3962239478346643,0.99875,3.1405698949291914
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,lognormal,biased,random,0.02,0.2,er,12,8,2026060408;2026060409;2026060410;2026060411;2026060412;2026060413;2026060414;2026060415,1.0,0.0,62.5,15.75,228.375,1827,0.0,6.176245210727969,11.0,19,0.5164658298454015,0.8422114336531603,12.0,0.05952983908884555,0.2727971777152679,1.0,2.39910175879397
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-24,topology_degree,lognormal,biased,random,0.02,0.2,er,24,8,2026060416;2026060417;2026060418;2026060419;2026060420;2026060421;2026060422;2026060423,1.0,0.0,32.5,16.125,229.875,1839,0.0,6.414355628058727,11.0,19,0.5183681454599982,0.8548406805203128,24.0,0.11867331244482968,0.1843028569894969,1.0,1.927211055276382
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-6,topology_degree,lognormal,biased,random,0.02,0.2,ba,6,8,2026060424;2026060425;2026060426;2026060427;2026060428;2026060429;2026060430;2026060431,1.0,0.0,60.0,15.0,227.75,1822,0.0,6.237102085620197,11.0,19,0.5141821309923467,0.8412767192260081,6.0,0.09343906965558395,0.9095558535324937,1.0,2.868743718592965
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-12,topology_degree,lognormal,biased,random,0.02,0.2,ba,12,8,2026060432;2026060433;2026060434;2026060435;2026060436;2026060437;2026060438;2026060439,1.0,0.0,42.5,15.0,233.25,1866,0.0,6.438906752411576,11.0,17,0.5215318624557317,0.8341478504988202,12.0,0.13823701469094735,0.7377590567099541,1.0,2.339591708542714
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-24,topology_degree,lognormal,biased,random,0.02,0.2,ba,24,8,2026060440;2026060441;2026060442;2026060443;2026060444;2026060445;2026060446;2026060447,1.0,0.125,47.5,17.375,230.375,1843,0.0005425935973955507,6.864351600651112,12.0,20,0.5152661913989287,0.8572366944019365,24.0,0.2010479839575574,0.561712089632325,1.0,1.9447675879396984
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-6,topology_degree,lognormal,biased,random,0.02,0.2,sw,6,8,2026060448;2026060449;2026060450;2026060451;2026060452;2026060453;2026060454;2026060455,1.0,0.0,70.0,14.5,228.125,1825,0.0,5.802191780821918,10.0,17,0.4949509337460508,0.8355976624986201,6.0,0.4536577380952379,0.12418224283170629,1.0,4.456312814070352
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-12,topology_degree,lognormal,biased,random,0.02,0.2,sw,12,8,2026060456;2026060457;2026060458;2026060459;2026060460;2026060461;2026060462;2026060463,1.0,0.0,47.5,15.625,227.0,1816,0.0,5.890969162995595,10.0,19,0.5044704542625281,0.8372107505020964,12.0,0.49783163537851044,0.08854956543839496,1.0,2.932242462311558
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-24,topology_degree,lognormal,biased,random,0.02,0.2,sw,24,8,2026060464;2026060465;2026060466;2026060467;2026060468;2026060469;2026060470;2026060471,1.0,0.0,92.5,16.375,228.125,1825,0.0,6.395068493150685,11.0,18,0.5175199305515111,0.860985390990196,24.0,0.5376866840079055,0.06196940341867923,1.0,2.2848304020100505
money_distribution__money-equal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,equal,biased,random,0.02,0.2,er,12,8,2026060472;2026060473;2026060474;2026060475;2026060476;2026060477;2026060478;2026060479,1.0,0.0,1392.5,7.0,98.0,784,0.0,2.1301020408163267,4.0,9,0.0,0.5266153125000002,12.0,0.06202442082892425,0.28210076184267174,1.0,2.4010804020100505
