scenario_id,factor_family,xmin,tail_n,alpha_continuous_screen,max_event_size
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.100__topo-er__k-12,ab_grid,2,1658,1.6754186172919865,18
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.200__topo-er__k-12,ab_grid,2,1717,1.6792205621226595,18
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.300__topo-er__k-12,ab_grid,2,1731,1.6720368497042486,18
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.100__topo-er__k-12,ab_grid,2,1674,1.7372932837851485,19
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,ab_grid,2,1675,1.7285879137908746,18
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.300__topo-er__k-12,ab_grid,2,1738,1.714342626584461,18
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.100__topo-er__k-12,ab_grid,2,1559,1.9431755411446956,14
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.200__topo-er__k-12,ab_grid,2,1654,1.9123262313485896,16
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.300__topo-er__k-12,ab_grid,2,1623,1.9446221648632591,13
income_rule__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,income_rule,2,1677,1.7309560011976095,18
income_rule__money-lognormal__income-uniform__growth-random__a-0.020__b-0.200__topo-er__k-12,income_rule,2,0,,1
money_distribution__money-equal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,2,454,2.6509452328653804,9
money_distribution__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,2,1674,1.7377130851044043,18
money_distribution__money-normal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,2,1236,2.2245644790092554,12
money_distribution__money-pareto__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,2,1080,1.8970460635664654,17
money_distribution__money-uniform__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,2,1491,2.0437355565087696,13
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-12,topology_degree,2,1751,1.71595275232077,17
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-24,topology_degree,2,1734,1.693016624549756,20
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-6,topology_degree,2,1688,1.73135582785476,19
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,2,1679,1.7361082470294558,19
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-24,topology_degree,2,1708,1.718638274046305,19
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,2,1700,1.734125768172711,18
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-12,topology_degree,2,1669,1.7675310064043017,19
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-24,topology_degree,2,1703,1.7274996030046859,18
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-6,topology_degree,2,1687,1.775098902256568,17
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-ba__k-12,topology_growth,2,674,3.0572305857562387,8
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-er__k-12,topology_growth,2,584,3.2203396832051,8
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-sw__k-12,topology_growth,2,620,3.112583155539949,7
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-12,topology_growth,2,1744,1.6943893197187796,23
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_growth,2,1675,1.725258709546178,17
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-12,topology_growth,2,1694,1.734413800096068,20
