scenario_id,factor_family,run_index,seed,topology_seed,topology,target_mean_degree,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,0,2026060400,2026064400,er,6,200,600,6.0,0.03015075376884422,0.04043994893994893,2.4289915602982237,0.40483192671637064,13,1,200,1.0,3.15964824120603
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,1,2026060401,2026064401,er,6,200,600,6.0,0.03015075376884422,0.037912753912753894,2.4617067250182343,0.4102844541697057,13,1,200,1.0,3.147437185929648
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,2,2026060402,2026064402,er,6,200,600,6.0,0.03015075376884422,0.024889971139971122,2.3108440016582685,0.3851406669430448,12,1,200,1.0,3.154924623115578
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,3,2026060403,2026064403,er,6,200,600,6.0,0.03015075376884422,0.027194444444444427,2.4228082879171433,0.40380138131952387,13,1,200,1.0,3.119145728643216
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,4,2026060404,2026064404,er,6,200,600,6.0,0.03015075376884422,0.032832001332001315,2.5865034312755126,0.43108390521258544,13,2,199,0.995,3.126541799908634
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,5,2026060405,2026064405,er,6,200,600,6.0,0.03015075376884422,0.01954184704184704,2.085665361461421,0.3476108935769035,11,1,200,1.0,3.155829145728643
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,6,2026060406,2026064406,er,6,200,600,6.0,0.03015075376884422,0.030691558441558433,2.349468024894146,0.3915780041490244,12,2,199,0.995,3.128369118318867
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-6,topology_degree,7,2026060407,2026064407,er,6,200,600,6.0,0.03015075376884422,0.02445127095127094,2.3727621035409343,0.3954603505901557,14,1,200,1.0,3.1326633165829145
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,0,2026060408,2026064408,er,12,200,1200,12.0,0.06030150753768844,0.06168380067644768,3.2295510523910287,0.26912925436591906,21,1,200,1.0,2.400854271356784
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,1,2026060409,2026064409,er,12,200,1200,12.0,0.06030150753768844,0.058166750217446765,3.2093613071762426,0.2674467755980202,22,1,200,1.0,2.3976884422110554
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,2,2026060410,2026064410,er,12,200,1200,12.0,0.06030150753768844,0.059355144253751,3.1717503054307414,0.2643125254525618,21,1,200,1.0,2.4029145728643218
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,3,2026060411,2026064411,er,12,200,1200,12.0,0.06030150753768844,0.06247619533029743,3.40440890610984,0.28370074217582003,21,1,200,1.0,2.401256281407035
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,4,2026060412,2026064412,er,12,200,1200,12.0,0.06030150753768844,0.06058525638896478,3.2326459750489227,0.26938716458741024,23,1,200,1.0,2.3996482412060303
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,5,2026060413,2026064413,er,12,200,1200,12.0,0.06030150753768844,0.0547383599372763,3.2218007387174024,0.26848339489311684,21,1,200,1.0,2.39391959798995
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,6,2026060414,2026064414,er,12,200,1200,12.0,0.06030150753768844,0.058126953713640975,3.420526275297414,0.2850438562747845,25,1,200,1.0,2.4007035175879397
topology_degree__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_degree,7,2026060415,2026064415,er,12,200,1200,12.0,0.06030150753768844,0.06110625219293947,3.2984845004941286,0.2748737083745107,22,1,200,1.0,2.3958291457286434
