seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,family,scenario_id,scenario_index,run_index,control_name,control_value,k_per_node
2026120000,True,300,3966,1,100,12,100,3966,100,1270,11,11,805,268,0.055,False,4518,4518,1270,0.5177467906153166,0.7767507746790616,0,126,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,0,c,0.1,
2026120001,True,300,3610,1,100,12,100,3610,100,1407,8,8,702,264,0.04,False,4079,4079,1407,0.5237447903898016,0.7707342485903408,0,117,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,1,c,0.1,
2026120002,True,300,3494,1,100,11,100,3494,100,1174,7,7,684,259,0.035,False,3934,3934,1174,0.5369674631418404,0.8055160142348756,0,110,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,2,c,0.1,
2026120003,True,300,3910,1,100,12,100,3910,100,1018,8,8,836,256,0.04,False,4481,4481,1018,0.5442590939522429,0.7994722160232093,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,3,c,0.1,
2026120004,True,300,3398,2,137,12,100,3398,137,1272,9,9,595,239,0.045,False,3833,3833,1272,0.48423036785807483,0.7215718758152885,0,101,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,4,c,0.1,
2026120005,True,300,3592,1,100,11,100,3592,100,1132,8,8,739,253,0.04,False,4049,4049,1132,0.522866139787602,0.8023697209187455,0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,5,c,0.1,
2026120006,True,300,3583,2,138,11,100,3583,138,1027,10,10,790,260,0.05,False,4034,4034,1027,0.5041199801685672,0.7859519087754092,0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,6,c,0.1,
2026120007,True,300,3944,10,250,12,100,3944,250,1212,10,10,747,259,0.05,False,4502,4502,1212,0.5288160817414485,0.8027387827632164,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,7,c,0.1,
2026120008,True,300,3273,1,100,10,100,3273,100,826,11,11,683,243,0.055,False,3716,3716,826,0.5218030139935415,0.7835495156081809,0,108,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,8,c,0.1,
2026120009,True,300,3142,1,100,9,100,3142,100,946,8,8,663,245,0.04,False,3576,3576,946,0.5213394854586131,0.7803383668903805,0,99,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,9,c,0.1,
2026120010,True,300,3254,1,100,10,100,3254,100,1335,7,7,501,225,0.035,False,3682,3682,1335,0.48653177620858234,0.7386311787072244,0,98,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,10,c,0.1,
2026120011,True,300,4141,1,100,13,100,4141,100,967,11,11,1143,286,0.055,False,4721,4721,967,0.5867835204405847,0.8542099131539929,0,135,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,11,c,0.1,
2026120012,True,300,3746,1,100,12,100,3746,100,947,10,10,920,282,0.05,False,4255,4255,947,0.5623654524089308,0.8277332549941248,0,116,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,12,c,0.1,
2026120013,True,300,3773,1,100,12,100,3773,100,1047,10,10,800,259,0.05,False,4289,4289,1047,0.5376043366752157,0.7943914665423177,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.1,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p10__lognormal__biased__random,0,13,c,0.1,
