seed,ended_by_default,macro_periods_completed,settlements_completed,checks_completed,uncapped_total_drive_steps,total_drive_steps,capped_macro_periods,time_steps_completed,total_credit_issued,failed_credit_events,avalanche_count,active_avalanche_macro_periods,avalanche_active_macro_rate,max_collapse_size,total_collapse_size,collapse_fraction,critical_event,unique_default_nodes,total_default_occurrences,repeat_default_occurrences,repeat_default_share,initial_total_money,final_cash_total,external_reset_cash_flow,final_active_credit,mean_active_credit_after_settlement,final_active_nodes,initial_money_gini,final_net_worth_gini,total_target_recovery,total_actual_recovery,total_creditor_loss,realized_recovery_share,total_income_last_macro,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_macro_periods,default_threshold,drive_rule,fixed_drive_steps,max_drive_steps_per_macro,settlement_mode,settlement_batches,default_check_every_settlements,recovery_rate,wipe_defaulted_assets,default_node_mode,validate_accounting,scenario_id,protocol_id,mechanism_id,run_index
2026086000,True,1000,1000,1000,26314,26314,0,26314,26314,0,997,997,0.997,33,18766,0.165,True,197,18766,18569,0.989502291378024,4355.0,4355.0,0.0,49.0,328.624,200,0.5284741676234215,0.9875763490241103,0.0,0.0,23064.0,0.0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,0
2026086001,True,1000,1000,1000,23984,23984,0,23984,23984,0,999,999,0.999,30,17233,0.15,True,196,17233,17037,0.9886264724656183,3931.0,3931.0,0.0,52.0,320.114,200,0.5385919613329944,0.9896069702365811,0.0,0.0,21050.0,0.0,111,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,1
2026086002,True,1000,1000,1000,22665,22665,0,22665,22665,0,997,997,0.997,28,15392,0.14,True,196,15392,15196,0.9872661122661123,3649.0,3649.0,0.0,50.0,467.002,200,0.48188133735269956,0.9875075363113184,0.0,0.0,19489.0,0.0,106,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,2
2026086003,True,1000,1000,1000,25493,25493,0,25493,25493,0,996,996,0.996,29,17919,0.145,True,195,17919,17724,0.9891176963000168,4142.0,4142.0,0.0,110.0,387.887,200,0.5174915499758572,0.9843046837276679,0.0,0.0,22211.0,0.0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,3
2026086004,True,1000,1000,1000,22252,22252,0,22252,22252,0,998,998,0.998,31,15704,0.155,True,196,15704,15508,0.9875191034131432,3602.0,3602.0,0.0,54.0,351.213,200,0.48373681288173254,0.9861604664075514,0.0,0.0,19424.0,0.0,106,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,4
2026086005,True,1000,1000,1000,23974,23974,0,23974,23974,0,999,999,0.999,29,17175,0.145,True,197,17175,16978,0.9885298398835517,3896.0,3896.0,0.0,49.0,339.699,200,0.5481493839835729,0.9915118069815196,0.0,0.0,21048.0,0.0,108,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,5
2026086006,True,1000,1000,1000,24968,24968,0,24968,24968,0,996,996,0.996,29,17225,0.145,True,195,17225,17030,0.9886792452830189,4056.0,4056.0,0.0,97.0,397.823,200,0.47638313609467464,0.9877021696252466,0.0,0.0,21642.0,0.0,118,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,6
2026086007,True,1000,1000,1000,23871,23871,0,23871,23871,0,995,995,0.995,27,17144,0.135,True,197,17144,16947,0.9885090993933737,3913.0,3913.0,0.0,46.0,331.77,200,0.5201443904932279,0.9908037311525684,0.0,0.0,21012.0,0.0,111,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,7
2026086008,True,1000,1000,1000,21841,21841,0,21841,21841,0,1000,1000,1.0,29,15739,0.145,True,196,15739,15543,0.9875468581231336,3541.0,3541.0,0.0,56.0,303.152,200,0.5471152216887887,0.9922889014402712,0.0,0.0,19202.0,0.0,102,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,8
2026086009,True,1000,1000,1000,26632,26632,0,26632,26632,0,998,998,0.998,32,18548,0.16,True,195,18548,18353,0.9894867371145137,4346.0,4346.0,0.0,120.0,416.989,200,0.5118706856879891,0.983571099861942,0.0,0.0,23162.0,0.0,126,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False,high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,9
