scenario_id,protocol_id,mechanism_id,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_macro_periods,default_threshold,drive_rule,fixed_drive_steps,max_drive_steps_per_macro,settlement_mode,settlement_batches,default_check_every_settlements,recovery_rate,wipe_defaulted_assets,default_node_mode,validate_accounting
high_risk_income_c020__reference_period_end,high_risk_income_c020,reference_period_end,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,continue,False
high_risk_income_c020__check_only_b10,high_risk_income_c020,check_only_b10,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,check_only,10,1,0.0,True,continue,False
high_risk_income_c020__flow_split_b10_check_q10,high_risk_income_c020,flow_split_b10_check_q10,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,settle_and_check,10,10,0.0,True,continue,False
high_risk_income_c020__flow_split_b10_check_q5,high_risk_income_c020,flow_split_b10_check_q5,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,settle_and_check,10,5,0.0,True,continue,False
high_risk_income_c020__flow_split_b10_check_q2,high_risk_income_c020,flow_split_b10_check_q2,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,settle_and_check,10,2,0.0,True,continue,False
high_risk_income_c020__flow_split_b10_check_q1,high_risk_income_c020,flow_split_b10_check_q1,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,settle_and_check,10,1,0.0,True,continue,False
high_risk_income_c020__recovery_50pct,high_risk_income_c020,recovery_50pct,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.5,True,continue,False
high_risk_income_c020__recovery_90pct,high_risk_income_c020,recovery_90pct,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.9,True,continue,False
high_risk_income_c020__keep_defaulted_assets,high_risk_income_c020,keep_defaulted_assets,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,False,continue,False
high_risk_income_c020__permanent_exit,high_risk_income_c020,permanent_exit,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,exit,False
high_risk_income_c020__reset_to_initial_cash,high_risk_income_c020,reset_to_initial_cash,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,income,20,500,period_end,1,1,0.0,True,reset,False
boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False
boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False
boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False
boundary_fixed_k20__flow_split_b10_check_q5,boundary_fixed_k20,flow_split_b10_check_q5,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,5,0.0,True,continue,False
boundary_fixed_k20__flow_split_b10_check_q2,boundary_fixed_k20,flow_split_b10_check_q2,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,2,0.0,True,continue,False
boundary_fixed_k20__flow_split_b10_check_q1,boundary_fixed_k20,flow_split_b10_check_q1,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,1,0.0,True,continue,False
boundary_fixed_k20__recovery_50pct,boundary_fixed_k20,recovery_50pct,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.5,True,continue,False
boundary_fixed_k20__recovery_90pct,boundary_fixed_k20,recovery_90pct,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.9,True,continue,False
boundary_fixed_k20__keep_defaulted_assets,boundary_fixed_k20,keep_defaulted_assets,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,False,continue,False
boundary_fixed_k20__permanent_exit,boundary_fixed_k20,permanent_exit,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,exit,False
boundary_fixed_k20__reset_to_initial_cash,boundary_fixed_k20,reset_to_initial_cash,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,reset,False
