protocol_id,mechanism_id,scenario_id,xmin,tail_n,alpha_continuous
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,2,11904,1.4252951150855646
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,5,11521,1.7642681404515959
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,2,11904,1.4252951150855646
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,5,11521,1.7642681404515959
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,2,11933,1.402854650487931
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,5,11592,1.6961438946025589
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,2,23390,1.5405926208271852
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,5,21830,2.1971471710224897
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,2,55073,1.9758831177524245
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,5,22335,5.500780406369998
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,2,93244,3.1698120483184202
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,5,321,6.83426986646094
high_risk_income_c020,recovery_50pct,high_risk_income_c020__recovery_50pct,2,11948,1.4216001607991842
high_risk_income_c020,recovery_50pct,high_risk_income_c020__recovery_50pct,5,11680,1.7624485844575482
high_risk_income_c020,recovery_90pct,high_risk_income_c020__recovery_90pct,2,11955,1.4224510674020385
high_risk_income_c020,recovery_90pct,high_risk_income_c020__recovery_90pct,5,11669,1.7636129835331715
high_risk_income_c020,keep_defaulted_assets,high_risk_income_c020__keep_defaulted_assets,2,8902,2.027045517002441
high_risk_income_c020,keep_defaulted_assets,high_risk_income_c020__keep_defaulted_assets,5,3477,3.2427785972945875
high_risk_income_c020,permanent_exit,high_risk_income_c020__permanent_exit,2,543,2.8054709949609458
high_risk_income_c020,permanent_exit,high_risk_income_c020__permanent_exit,5,49,5.657857964902004
high_risk_income_c020,reset_to_initial_cash,high_risk_income_c020__reset_to_initial_cash,2,10763,1.4637509434642184
high_risk_income_c020,reset_to_initial_cash,high_risk_income_c020__reset_to_initial_cash,5,8602,1.6939885737327467
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,2,11620,1.470170676587659
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,5,10894,1.88891298833616
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,2,11620,1.470170676587659
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,5,10894,1.88891298833616
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,2,11649,1.4527472919553726
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,5,11010,1.8331938541538078
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,2,22512,1.627278336900515
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,5,19815,2.6086787608785045
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,2,50474,2.2160699233162804
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,5,2316,8.09076891570432
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,2,75404,4.232304240550445
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,5,111,6.567868493961538
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,2,11713,1.4660029870116944
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,5,11098,1.8861820468118746
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,2,11718,1.4657340367438427
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,5,11118,1.8871799739818464
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,2,7890,2.0912393113180525
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,5,2693,3.2436779822438453
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,2,541,3.064061878433106
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,5,28,5.075038523910826
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,2,4661,2.6113850278317896
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,5,608,4.904091064690543
