protocol_id,mechanism_id,scenario_id,active_macro_periods,total_macro_periods,avalanche_active_macro_rate,wait_intervals,wait_one_share,macro_event_size_lag1_corr,q1_mean_macro_event_size,q4_mean_macro_event_size,q4_to_q1_mean_size_ratio,q1_macro_critical_rate,q4_macro_critical_rate,final_20pct_avalanche_active_rate,final_20pct_large_event_rate_per_macro,final_20pct_mean_macro_event_size
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,11974,12000,0.9978333333333333,11962,0.9978264504263501,0.6962785477946675,10.424680564895763,19.619666666666667,1.8820400821425884,0.03765971755211836,0.5183333333333333,1.0,0.525,19.654583333333335
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,11974,12000,0.9978333333333333,11962,0.9978264504263501,0.6962785477946675,10.424680564895763,19.619666666666667,1.8820400821425884,0.03765971755211836,0.5183333333333333,1.0,0.525,19.654583333333335
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,11991,12000,0.99925,11979,0.9992486851990984,0.8695641066209892,11.481109996656636,22.283333333333335,1.940869248689575,0.08224674022066199,0.9203333333333333,1.0,0.9179166666666667,22.249583333333334
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,11981,12000,0.9984166666666666,11969,0.9984961149636561,0.8154657270953857,7.188862797718886,13.100666666666667,1.8223559184943228,0.0,0.0,1.0,0.0,13.083333333333334
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,11983,12000,0.9985833333333334,11971,0.9988305070587252,0.668215024113267,3.9983238350653703,5.957666666666666,1.4900410553086834,0.0,0.0,1.0,0.0,5.956666666666667
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,11984,12000,0.9986666666666667,11972,0.9989141329769462,0.2804487317208918,2.6394101876675604,3.1136666666666666,1.1796827492805146,0.0,0.0,1.0,0.0,3.10875
high_risk_income_c020,recovery_50pct,high_risk_income_c020__recovery_50pct,11982,12000,0.9985,11970,0.9986633249791145,0.6787962561443525,11.005700871898055,19.742,1.7937976172339194,0.035881958417169686,0.5363333333333333,1.0,0.53625,19.758333333333333
high_risk_income_c020,recovery_90pct,high_risk_income_c020__recovery_90pct,11983,12000,0.9985833333333334,11971,0.9986634366385432,0.6667725591638821,11.023131076097888,19.591666666666665,1.7773232062121118,0.030170968823332214,0.5163333333333333,1.0,0.52125,19.611666666666668
high_risk_income_c020,keep_defaulted_assets,high_risk_income_c020__keep_defaulted_assets,10954,12000,0.9128333333333334,10942,0.914092487662219,0.0697208648902439,3.2282690854119425,4.6393034825870645,1.437086983718728,0.0011337868480725624,0.007818052594171997,0.9379166666666666,0.007083333333333333,4.687694358063083
high_risk_income_c020,permanent_exit,high_risk_income_c020__permanent_exit,1415,12000,0.11791666666666667,1403,0.3791874554526016,0.06317061343672435,1.7972858354537744,1.0,0.5563945257196791,0.0,0.0,0.0004166666666666667,0.0,1.0
