protocol_id,mechanism_id,scenario_id,threshold_fraction,threshold_nodes,runs,run_critical_rate,events,critical_events,event_critical_rate
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,0.05,10,12,1.0,11974,10662,0.890429263404042
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,0.1,20,12,1.0,11974,4057,0.3388174377818607
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,0.2,40,12,0.0,11974,0,0.0
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,0.05,10,12,1.0,11974,10662,0.890429263404042
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,0.1,20,12,1.0,11974,4057,0.3388174377818607
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,0.2,40,12,0.0,11974,0,0.0
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,0.05,10,12,1.0,11991,10859,0.90559586356434
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,0.1,20,12,1.0,11991,7701,0.6422316737553165
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,0.2,40,12,0.0,11991,0,0.0
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,0.05,10,12,1.0,23806,15203,0.6386205158363438
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,0.1,20,12,0.16666666666666666,23806,2,8.401243384020835e-05
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,0.2,40,12,0.0,23806,0,0.0
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,0.05,10,12,0.3333333333333333,58016,7,0.00012065637065637066
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,0.1,20,12,0.0,58016,0,0.0
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,0.2,40,12,0.0,58016,0,0.0
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,0.05,10,12,0.08333333333333333,110602,1,9.041427822281694e-06
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,0.1,20,12,0.0,110602,0,0.0
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,0.2,40,12,0.0,110602,0,0.0
high_risk_income_c020,recovery_50pct,high_risk_income_c020__recovery_50pct,0.05,10,12,1.0,11982,10840,0.9046903688866633
