family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,early_runs,early_period_count,early_event_count,early_runs_with_events,early_avalanche_occupancy,early_one_period_wait_fraction,early_pooled_size_lag1_correlation,early_mean_event_size,early_median_event_size,early_p90_event_size,early_p95_event_size,early_p99_event_size,early_max_event_size,early_large_event_count,early_large_event_rate,early_mean_initial_default_count,early_mean_propagated_default_count,early_propagated_default_share,early_single_initial_default_fraction,early_mean_active_credit,early_mean_final_net_worth_gini,early_mean_period_length_steps,early_mean_issued_credit,early_unique_default_nodes_within_runs,early_total_default_occurrences_within_runs,early_repeated_default_occurrences_within_runs,early_repeated_default_share,late_runs,late_period_count,late_event_count,late_runs_with_events,late_avalanche_occupancy,late_one_period_wait_fraction,late_pooled_size_lag1_correlation,late_mean_event_size,late_median_event_size,late_p90_event_size,late_p95_event_size,late_p99_event_size,late_max_event_size,late_large_event_count,late_large_event_rate,late_mean_initial_default_count,late_mean_propagated_default_count,late_propagated_default_share,late_single_initial_default_fraction,late_mean_active_credit,late_mean_final_net_worth_gini,late_mean_period_length_steps,late_mean_issued_credit,late_unique_default_nodes_within_runs,late_total_default_occurrences_within_runs,late_repeated_default_occurrences_within_runs,late_repeated_default_share,occupancy_stationary,size_stationary,active_credit_stationary,gini_stationary,propagation_stationary,single_trigger_and_propagation_ok,separation_ok,stationarity_ok,breadth_ok,soc_candidate,classification,classification_code,occupancy_absolute_drift,mean_size_relative_drift,active_credit_relative_drift,gini_absolute_drift,propagation_share_absolute_drift
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,12,4800,221,12,0.04604166666666667,0.05741626794258373,-0.029556650246305657,1.0271493212669682,1.0,1.0,1.0,2.0,2,0,0.0,1.0,0.027149321266968326,0.02643171806167401,1.0,183.65833333333333,0.5222160282697224,1.0,1.0,171,227,56,0.24669603524229075,12,4800,170,12,0.035416666666666666,0.04430379746835443,-0.057240059071277986,1.1294117647058823,1.0,1.0,2.0,3.0,3,0,0.0,1.0,0.12941176470588237,0.11458333333333333,1.0,1351.2279166666667,0.4428803283063999,1.0,1.0,152,192,40,0.20833333333333334,True,True,False,False,True,True,True,False,False,False,sparse_but_nonstationary,5,-0.010625000000000002,0.09955947136563885,6.35729161940197,-0.07933569996332246,0.08815161527165932
fixed,fixed__N200__K1__pareto__biased__random,21,200,pareto,fixed_k,1.0,12,4800,53,12,0.011041666666666667,0.04878048780487805,-0.06362847629757774,1.0566037735849056,1.0,1.0,1.3999999999999986,2.0,2,0,0.0,1.0,0.05660377358490566,0.05357142857142857,1.0,196.70541666666668,0.4148882928952595,1.0,1.0,48,56,8,0.14285714285714285,12,4800,132,12,0.0275,0.008333333333333333,-0.0414342093846098,1.2272727272727273,1.0,2.0,2.4499999999999886,3.6899999999999977,6,0,0.0,1.0,0.22727272727272727,0.18518518518518517,1.0,1410.641875,0.4520405540201485,1.0,1.0,130,162,32,0.19753086419753085,True,True,False,True,False,True,True,False,False,False,sparse_but_nonstationary,5,0.016458333333333332,0.16152597402597405,6.1713422990809015,0.03715226112488895,0.1316137566137566
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,12,4800,399,12,0.083125,0.09043927648578812,0.13882226295390787,1.0952380952380953,1.0,1.0,2.0,2.0,5,0,0.0,1.0275689223057645,0.06766917293233082,0.06178489702517163,0.9724310776942355,357.83,0.5480670403128509,2.0,2.0,274,437,163,0.37299771167048057,12,4800,417,12,0.086875,0.09876543209876543,-0.007500074935607142,1.1918465227817745,1.0,2.0,2.0,3.0,7,0,0.0,1.026378896882494,0.16546762589928057,0.13883299798792756,0.973621103117506,2089.5275,0.5029014296508362,2.0,2.0,323,497,174,0.3501006036217304,True,True,False,True,True,True,True,False,False,False,sparse_but_nonstationary,5,0.0037499999999999895,0.088207694713794,4.8394419137579305,-0.045165610662014744,0.07704810096275594
fixed,fixed__N200__K2__pareto__biased__random,23,200,pareto,fixed_k,2.0,12,4800,163,12,0.03395833333333333,0.026490066225165563,0.08092014871286766,1.0797546012269938,1.0,1.0,2.0,2.0,3,0,0.0,1.01840490797546,0.06134969325153374,0.056818181818181816,0.9815950920245399,378.2025,0.43441467955358093,2.0,2.0,126,176,50,0.2840909090909091,12,4800,440,12,0.09166666666666666,0.08878504672897196,-0.022420796054230318,1.1590909090909092,1.0,2.0,2.0,3.0,5,0,0.0,1.0318181818181817,0.12727272727272726,0.10980392156862745,0.9681818181818181,2135.118125,0.49433219625761715,2.0,2.0,319,510,191,0.37450980392156863,False,True,False,False,True,True,True,False,False,False,sparse_but_nonstationary,5,0.05770833333333333,0.07347623966942157,4.645436307269255,0.05991751670403622,0.05298573975044563
fixed,fixed__N200__K5__lognormal__biased__random,24,200,lognormal,fixed_k,5.0,12,4800,1724,12,0.3591666666666667,0.39310747663551404,-0.03135821701553878,1.3207656612529002,1.0,2.0,2.849999999999909,4.0,6,0,0.0,1.195475638051044,0.12529002320185614,0.09486166007905138,0.8248259860788864,706.2647916666666,0.6061196609543734,5.0,5.0,751,2277,1526,0.6701800614844093,12,4800,2793,12,0.581875,0.5983459187342682,0.035995960648376825,1.531686358754028,1.0,3.0,3.0,5.0,7,0,0.0,1.3594701038310062,0.17221625492302184,0.11243571762505844,0.6949516648764769,2177.036875,0.7067293783883289,5.0,5.0,1122,4278,3156,0.7377279102384292,False,True,False,False,True,True,True,False,False,False,drift_or_persistent_failure,6,0.22270833333333334,0.15969577623712966,2.082465529483011,0.10060971743395553,0.017574057546007063
fixed,fixed__N200__K5__pareto__biased__random,25,200,pareto,fixed_k,5.0,12,4800,585,12,0.121875,0.21291448516579406,0.016122326021941594,1.2205128205128206,1.0,2.0,2.0,3.0,4,0,0.0,1.0923076923076922,0.1282051282051282,0.10504201680672269,0.9111111111111111,871.6639583333333,0.45382730431629303,5.0,5.0,358,714,356,0.49859943977591037,12,4800,2429,12,0.5060416666666666,0.5196524617294166,0.01650588690132166,1.4598600247015232,1.0,2.0,3.0,4.0,10,0,0.0,1.3104158089748867,0.14944421572663646,0.10236886632825719,0.7340469328941951,2562.9802083333334,0.6585529970140203,5.0,5.0,989,3546,2557,0.7210941906373378,False,True,False,False,True,True,True,False,False,False,drift_or_persistent_failure,6,0.3841666666666666,0.1961038017512479,1.940330598541535,0.20472569269772722,-0.0026731504784655025
fixed,fixed__N200__K10__lognormal__biased__random,26,200,lognormal,fixed_k,10.0,12,4800,3822,12,0.79625,0.8456692913385827,0.17864283155640656,2.545002616431188,2.0,5.0,5.0,7.0,11,0,0.0,2.2815279958137102,0.2634746206174778,0.1035262670916007,0.32548403976975404,893.0979166666667,0.6795176080521005,10.0,10.0,1379,9727,8348,0.8582296699907475,12,4800,4800,12,1.0,1.0,0.03469152747171858,8.517708333333333,9.0,11.0,12.0,13.0,18,0,0.0,6.759166666666666,1.7585416666666667,0.20645713586890058,0.0,239.02291666666667,0.9702060196805194,10.0,10.0,2284,40885,38601,0.9441359911948147,True,False,False,False,False,False,True,False,False,False,drift_or_persistent_failure,6,0.20375,2.3468367687879095,0.7323665051657736,0.29068841162841896,0.10293086877729987
fixed,fixed__N200__K10__pareto__biased__random,27,200,pareto,fixed_k,10.0,12,4800,2247,12,0.468125,0.665324384787472,0.08052649519654574,1.7970627503337784,1.0,3.0,4.0,6.0,10,0,0.0,1.6039163328882955,0.19314641744548286,0.10747894997523527,0.579884290164664,1316.8539583333334,0.5393277951015268,10.0,10.0,897,4038,3141,0.7778603268945022,12,4800,4800,12,1.0,1.0,0.07447398338215178,8.051458333333333,8.0,10.0,11.0,13.0,17,0,0.0,6.612916666666667,1.4385416666666666,0.17866846068258857,0.00020833333333333335,381.9977083333333,0.9586955615794744,10.0,10.0,2230,38647,36417,0.9422982378968613,False,False,False,False,True,False,True,False,False,False,drift_or_persistent_failure,6,0.531875,3.480343455918771,0.7099164216988755,0.4193677664779476,0.0711895107073533
fixed,fixed__N200__K15__lognormal__biased__random,28,200,lognormal,fixed_k,15.0,12,4800,4508,12,0.9391666666666667,0.9604092526690391,0.47930930401612026,5.191659272404614,5.0,9.0,10.0,12.0,16,0,0.0,4.629547471162378,0.562111801242236,0.10827209024098444,0.09139307897071872,894.38125,0.7464650164500879,15.0,15.0,1694,23404,21710,0.9276192103913861,12,4800,4800,12,1.0,1.0,-0.153816331480039,13.620833333333334,14.0,16.0,17.0,19.0,26,29,0.0060416666666666665,8.324375,5.296458333333334,0.388849801162435,0.0,84.02208333333333,0.9871147475293375,15.0,15.0,2357,65380,63023,0.9639492199449373,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.060833333333333295,1.6235992422947645,0.9060556297067572,0.24064973107924958,0.28057771092145056
fixed,fixed__N200__K15__pareto__biased__random,29,200,pareto,fixed_k,15.0,12,4800,3416,12,0.7116666666666667,0.8921856639247944,0.44070079492581754,3.643735362997658,3.0,7.0,8.0,10.0,15,0,0.0,3.25731850117096,0.3864168618266979,0.10604965051819716,0.23214285714285715,1374.9895833333333,0.6267320348397298,15.0,15.0,1426,12447,11021,0.8854342411826143,12,4800,4800,12,1.0,1.0,-0.12319355123070866,13.647708333333334,14.0,16.0,17.0,19.0,25,30,0.00625,8.258125,5.389583333333333,0.3949075699522203,0.0,71.56145833333333,0.9880426936123208,15.0,15.0,2363,65509,63146,0.9639286204948938,False,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.28833333333333333,2.74552676682467,0.9479549087493087,0.36131065877259094,0.28885791943402317
fixed,fixed__N200__K18__lognormal__biased__random,30,200,lognormal,fixed_k,18.0,12,4800,4597,12,0.9577083333333334,0.9705561613958561,0.6459787849309062,7.224276702197085,7.0,12.0,14.0,16.0,24,1,0.00021753317380900588,6.324994561670655,0.8992821405264303,0.12448057813911473,0.07287361322601697,840.911875,0.7795049876399662,18.0,18.0,1897,33210,31313,0.9428786510087324,12,4800,4800,12,1.0,1.0,-0.19269586995745194,16.405416666666667,17.0,19.0,20.0,22.0,29,410,0.08541666666666667,8.33875,8.066666666666666,0.49170751530236456,0.00020833333333333335,45.48166666666667,0.9905543731313257,18.0,18.0,2372,78746,76374,0.9698778350646382,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.042291666666666616,1.2708732435009538,0.9459138727626284,0.21104938549135943,0.36722693716324983
fixed,fixed__N200__K18__pareto__biased__random,31,200,pareto,fixed_k,18.0,12,4800,3702,12,0.77125,0.9303523035230352,0.699433384842701,5.8741220961642355,5.0,11.0,13.0,17.0,23,4,0.0010804970286331713,5.083198271204754,0.7909238249594813,0.13464545203715625,0.13830361966504592,1255.7027083333332,0.6912210905068815,18.0,18.0,1746,21746,20000,0.919709371838499,12,4800,4800,12,1.0,1.0,-0.18813712477309702,16.375416666666666,17.0,19.0,20.0,23.0,27,416,0.08666666666666667,8.272083333333333,8.103333333333333,0.49484745935217933,0.0,56.55416666666667,0.9912173185819916,18.0,18.0,2373,78602,76229,0.969809928500547,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.22875,1.7877215349949416,0.9549621369044193,0.29999622807511006,0.36020200731502305
fixed,fixed__N200__K20__lognormal__biased__random,32,200,lognormal,fixed_k,20.0,12,4800,4638,12,0.96625,0.9801124081279723,0.7156791921686695,9.165157395429064,9.0,15.0,16.0,19.0,24,25,0.005390254420008625,7.860931435963778,1.3042259594652867,0.14230262538816224,0.04915912031047866,732.02625,0.8074954428731997,20.0,20.0,2011,42508,40497,0.9526912581161193,12,4800,4800,12,1.0,1.0,-0.23698420054382385,18.178333333333335,18.0,21.0,23.0,25.0,32,1488,0.31,7.913125,10.265208333333334,0.5646946914825342,0.0,25.766666666666666,0.9941550940273994,20.0,20.0,2381,87256,84875,0.9727124782249931,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.03374999999999995,0.983417474357768,0.9648008979641555,0.1866596511541997,0.4223920660943719
fixed,fixed__N200__K20__pareto__biased__random,33,200,pareto,fixed_k,20.0,12,4800,3842,12,0.8004166666666667,0.9389033942558747,0.6995400681853663,6.950806871421134,7.0,13.0,14.0,18.0,24,11,0.0028630921395106715,6.033055700156169,0.9177511712649662,0.13203519940086125,0.11582509109838626,1260.5754166666666,0.699687690539865,20.0,20.0,1827,26705,24878,0.9315858453473133,12,4800,4800,12,1.0,1.0,-0.22068043869568194,18.137708333333332,18.0,21.0,22.0,25.0,29,1470,0.30625,8.191458333333333,9.94625,0.5483741284846257,0.0,39.050625,0.9923639769033947,20.0,20.0,2376,87061,84685,0.9727087903883485,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.19958333333333333,1.6094392591899145,0.9690215876942441,0.2926762863635297,0.41633892908376446
fixed,fixed__N200__K22__lognormal__biased__random,34,200,lognormal,fixed_k,22.0,12,4800,4678,12,0.9745833333333334,0.9832833261894557,0.7598747242070575,10.703505771697307,11.0,17.0,19.0,21.0,28,167,0.03569901667379222,8.965369816160752,1.738135955536554,0.16238940704200036,0.0404018811457888,699.069375,0.822673249435046,22.0,22.0,2082,50071,47989,0.9584190449561623,12,4800,4800,12,1.0,1.0,-0.2311901762150101,19.83625,20.0,23.0,24.0,27.0,32,2731,0.5689583333333333,8.405,11.43125,0.5762807990421577,0.0,30.452916666666667,0.9931343752341955,22.0,22.0,2379,95214,92835,0.9750141785871825,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.025416666666666643,0.853247937928142,0.9564379191025688,0.1704611257991494,0.41389139200015734
fixed,fixed__N200__K22__pareto__biased__random,35,200,pareto,fixed_k,22.0,12,4800,3973,12,0.8277083333333334,0.953294622570058,0.7633635520538354,8.737477976340298,9.0,16.0,17.0,20.0,25,43,0.010823055625471936,7.434684117795117,1.30279385854518,0.14910410785273953,0.0948905109489051,1119.7260416666666,0.7389325590324738,22.0,22.0,1977,34714,32737,0.9430489139828311,12,4800,4800,12,1.0,1.0,-0.22684883971130101,19.88479166666667,20.0,23.0,24.050000000000182,27.0,32,2810,0.5854166666666667,8.201041666666667,11.68375,0.5875721604660178,0.0,20.764791666666667,0.9934537956581698,22.0,22.0,2382,95447,93065,0.9750437415529037,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.17229166666666662,1.2758044965047723,0.981455471343902,0.25452123662569603,0.43846805261327826
fixed,fixed__N200__K24__lognormal__biased__random,36,200,lognormal,fixed_k,24.0,12,4800,4699,12,0.9789583333333334,0.9854917857904844,0.7597818582576819,11.5754415833156,12.0,19.0,20.0,22.0,26,302,0.06426899340285167,9.735475633113428,1.8399659502021706,0.1589542772047874,0.03298574164715897,761.3579166666667,0.8156420012282839,24.0,24.0,2086,54393,52307,0.9616494769547552,12,4800,4800,12,1.0,1.0,-0.2297677158039636,21.5,22.0,25.0,26.0,29.0,34,3663,0.763125,8.703333333333333,12.796666666666667,0.5951937984496124,0.0,31.577708333333334,0.9932113542620367,24.0,24.0,2382,103200,100818,0.9769186046511628,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.021041666666666625,0.8573805452907541,0.9585244894128309,0.17756935303375276,0.436239521244825
fixed,fixed__N200__K24__pareto__biased__random,37,200,pareto,fixed_k,24.0,12,4800,4064,12,0.8466666666666667,0.9597729516288253,0.7907006042628939,10.227608267716535,10.0,18.0,20.0,23.0,29,243,0.05979330708661417,8.491141732283465,1.7364665354330708,0.16978226873571514,0.07012795275590551,1081.2647916666667,0.7501710290095859,24.0,24.0,2047,41565,39518,0.9507518344761218,12,4800,4800,12,1.0,1.0,-0.24564734571914187,21.500208333333333,22.0,25.0,26.0,29.0,34,3658,0.7620833333333333,8.784375,12.715833333333334,0.5914283776319997,0.0,35.25958333333333,0.9930507707766094,24.0,24.0,2380,103201,100821,0.9769382079631012,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.15333333333333332,1.1021736236416857,0.9673904268361647,0.24287974176702354,0.4216461088962846
fixed,fixed__N200__K26__lognormal__biased__random,38,200,lognormal,fixed_k,26.0,12,4800,4716,12,0.9825,0.9883078231292517,0.7767391491286304,13.42005937234945,14.0,21.0,22.0,25.0,30,761,0.16136556403731978,10.945080576759967,2.4749787955894824,0.18442383352557318,0.026293469041560644,694.1427083333333,0.8335531790437462,26.0,26.0,2128,63289,61161,0.9663764635244672,12,4800,4800,12,1.0,1.0,-0.25051386341545007,22.972708333333333,23.0,27.0,28.0,31.0,37,4167,0.868125,9.311666666666667,13.661041666666666,0.5946639581387334,0.0,54.40145833333333,0.9921656710741081,26.0,26.0,2375,110269,107894,0.9784617616918626,True,False,False,False,False,False,True,False,True,False,drift_or_persistent_failure,6,0.01749999999999996,0.7118186809714168,0.9216278472996516,0.15861249203036198,0.41024012461316023
