family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,time_bin,runs,period_count,event_count,avalanche_occupancy,mean_event_size,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,repeated_default_share
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,1,12,2400,98,0.04083333333333333,1.0204081632653061,0.0,1.0,0.020408163265306114,0.01999999999999999,1.0,94.93291666666667,0.528847641941029,1.0,0.14
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,2,12,2400,123,0.05125,1.032520325203252,0.0,1.0,0.032520325203252036,0.03149606299212598,1.0,272.38375,0.5155844145984156,1.0,0.1889763779527559
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,3,12,2400,107,0.044583333333333336,1.0841121495327102,0.0,1.0,0.08411214953271026,0.07758620689655171,1.0,439.8075,0.4995836918863684,1.0,0.14655172413793102
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,4,12,2400,111,0.04625,1.054054054054054,0.0,1.0,0.05405405405405406,0.051282051282051266,1.0,593.1191666666666,0.4893228418309761,1.0,0.15384615384615385
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,5,12,2400,96,0.04,1.1458333333333333,0.0,1.0,0.14583333333333334,0.12727272727272726,1.0,741.4654166666667,0.48264277756595625,1.0,0.14545454545454545
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,6,12,2400,80,0.03333333333333333,1.075,0.0,1.0,0.075,0.06976744186046512,1.0,889.8170833333334,0.47344583078071895,1.0,0.18604651162790697
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,7,12,2400,79,0.032916666666666664,1.0759493670886076,0.0,1.0,0.0759493670886076,0.07058823529411763,1.0,1039.0983333333334,0.4652988539029033,1.0,0.10588235294117647
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,8,12,2400,80,0.03333333333333333,1.1125,0.0,1.0,0.1125,0.10112359550561796,1.0,1175.4375,0.4540727939045292,1.0,0.10112359550561797
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,9,12,2400,96,0.04,1.1354166666666667,0.0,1.0,0.13541666666666666,0.11926605504587154,1.0,1293.42375,0.4468025738274213,1.0,0.13761467889908258
fixed,fixed__N200__K1__lognormal__biased__random,20,200,lognormal,fixed_k,1.0,10,12,2400,74,0.030833333333333334,1.1216216216216217,0.0,1.0,0.12162162162162163,0.10843373493975904,1.0,1409.0320833333333,0.4389580827853784,1.0,0.13253012048192772
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,1,12,2400,157,0.06541666666666666,1.0573248407643312,0.0,1.0254777070063694,0.031847133757961776,0.03012048192771084,0.9745222929936306,188.83875,0.54759358840181,2.0,0.26506024096385544
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,2,12,2400,242,0.10083333333333333,1.1198347107438016,0.0,1.0289256198347108,0.09090909090909088,0.08118081180811805,0.9710743801652892,526.82125,0.5485404922238918,2.0,0.2988929889298893
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,3,12,2400,241,0.10041666666666667,1.107883817427386,0.0,1.020746887966805,0.08713692946058091,0.07865168539325842,0.979253112033195,813.3504166666667,0.5450512719806322,2.0,0.23595505617977527
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,4,12,2400,242,0.10083333333333333,1.1115702479338843,0.0,1.024793388429752,0.0867768595041322,0.07806691449814122,0.9752066115702479,1057.8054166666666,0.5388931659854858,2.0,0.25650557620817843
fixed,fixed__N200__K2__lognormal__biased__random,22,200,lognormal,fixed_k,2.0,5,12,2400,216,0.09,1.1805555555555556,0.0,1.037037037037037,0.1435185185185185,0.12156862745098036,0.9629629629629629,1286.105,0.5320033414197761,2.0,0.23921568627450981
