family,scenario_id,control_name,control_value,n_nodes,money_distribution,events,single_initial_event_rate,multi_initial_event_rate,propagation_event_rate,total_size,total_initial_defaults,total_propagated_defaults,propagated_share_of_total_size,mean_size,mean_initial_defaults,mean_propagated_defaults,mean_size_per_node,mean_initial_defaults_per_node,mean_propagated_defaults_per_node
finite_fixed,finite_fixed__N100_K14__lognormal__biased__random,k_per_node,0.14,100,lognormal,7125,0.08196491228070175,0.9180350877192982,0.4929122807017544,43371,37044,6327,0.1458808881510687,6.087157894736842,5.199157894736842,0.888,0.06087157894736842,0.05199157894736842,0.00888
finite_fixed,finite_fixed__N200_K28__lognormal__biased__random,k_per_node,0.14,200,lognormal,7328,0.03643558951965065,0.9635644104803494,0.6577510917030568,83624,71418,12206,0.14596288146943462,11.411572052401747,9.745906113537117,1.6656659388646289,0.057057860262008736,0.048729530567685586,0.008328329694323145
finite_fixed,finite_fixed__N500_K70__lognormal__biased__random,k_per_node,0.14,500,lognormal,7473,0.009768499933092466,0.9902315000669075,0.8379499531647263,209590,178720,30870,0.1472875614294575,28.046300013381508,23.915428877291582,4.130871136089923,0.056092600026763015,0.047830857754583164,0.008261742272179847
finite_fixed,finite_fixed__N1000_K140__lognormal__biased__random,k_per_node,0.14,1000,lognormal,7492,0.002135611318739989,0.99786438868126,0.9245862253069941,426403,362293,64110,0.15035072454931134,56.91444207154298,48.35731446876668,8.557127602776294,0.056914442071542976,0.048357314468766684,0.008557127602776294
finite_income,finite_income__N100_c0p18__lognormal__biased__random,c,0.18,100,lognormal,6992,0.1375858123569794,0.8624141876430206,0.34668192219679633,30315,26623,3692,0.12178789378195613,4.33566933638444,3.807637299771167,0.5280320366132724,0.043356693363844394,0.038076372997711674,0.005280320366132724
finite_income,finite_income__N200_c0p18__lognormal__biased__random,c,0.18,200,lognormal,7408,0.034287257019438445,0.9657127429805615,0.5616900647948164,66744,58462,8282,0.12408606017020256,9.009719222462204,7.891738660907127,1.1179805615550755,0.04504859611231102,0.039458693304535636,0.005589902807775378
finite_income,finite_income__N500_c0p18__lognormal__biased__random,c,0.18,500,lognormal,7494,0.0029356818788364024,0.9970643181211636,0.8010408326661329,155727,136215,19512,0.12529619141189388,20.780224179343474,18.176541232986388,2.6036829463570856,0.04156044835868695,0.036353082465972776,0.005207365892714171
finite_income,finite_income__N1000_c0p18__lognormal__biased__random,c,0.18,1000,lognormal,7500,0.0,1.0,0.9212,321287,280142,41145,0.12806307133497466,42.83826666666667,37.352266666666665,5.486,0.042838266666666666,0.03735226666666667,0.0054859999999999996
fixed,fixed__K18__lognormal__biased__random,fixed_k,18.0,200,lognormal,17025,0.08117474302496329,0.9188252569750367,0.4101027900146843,104960,93201,11759,0.11203315548780488,6.1650513950073424,5.474361233480177,0.6906901615271659,0.030825256975036713,0.027371806167400883,0.0034534508076358296
fixed,fixed__K20__lognormal__biased__random,fixed_k,20.0,200,lognormal,17275,0.06448625180897251,0.9355137481910275,0.48793053545586107,127650,112461,15189,0.1189894242068155,7.389290882778582,6.510043415340087,0.8792474674384949,0.03694645441389291,0.03255021707670044,0.004396237337192474
