scenario_id,family,control_value,n_nodes,money_distribution,seed,events,fit_status,xmin,alpha,ks,tail_n,bounded_fit_status,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420000,250,ok,91,20.78095599811079,0.049015610032403734,30,ok,91,20.780957553052442,0.04901558798180061,30
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420001,250,ok,88,16.22191569796664,0.0707597000996032,36,ok,88,16.221917436538153,0.07075974155602549,36
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420002,250,ok,80,15.308119095377158,0.10522217102267772,47,ok,80,15.308119119547438,0.10522217163238912,47
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420003,249,ok,94,21.39828242781482,0.043184451546903535,32,ok,94,21.39828120337402,0.043184429726701556,32
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420004,250,ok,68,7.334063205690425,0.12249981748530736,83,ok,68,7.334059217113836,0.12249961723045932,83
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420005,249,ok,90,19.766260875971465,0.07902003466029806,32,ok,90,19.766260517723104,0.07902002778256312,32
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420006,250,ok,86,12.825722321653757,0.06423129654455662,33,ok,86,12.825722595510507,0.06423130308976521,33
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420007,250,ok,86,13.064040404885857,0.12212656283334308,55,ok,86,13.06404018077499,0.1221265577362208,55
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420008,250,ok,70,6.905848711064522,0.1324476400983317,105,ok,70,6.905835405792218,0.1324469031170939,105
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420009,250,ok,88,14.962292029458316,0.11361931530862007,51,ok,88,14.962291120274935,0.11361929142594424,51
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420010,250,ok,90,16.137582091816892,0.13654268432806166,33,ok,90,16.13757983845116,0.13654263054269017,33
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420011,249,ok,90,17.35062687654575,0.09402964339749015,36,ok,90,17.350625733633787,0.0940296189545306,36
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420012,249,ok,79,12.374395129268272,0.10020189683129754,59,ok,79,12.374394808699492,0.10020188700467769,59
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420013,250,ok,88,16.798551907206058,0.11434555741304087,43,ok,88,16.798551434041666,0.11434554640897876,43
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420014,250,ok,82,13.050387405967346,0.10675839032557044,59,ok,82,13.05038531376697,0.10675832830758047,59
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420015,250,ok,87,17.798048581058016,0.07596109388007488,43,ok,87,17.798047997526094,0.07596108220003728,43
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420016,250,ok,79,12.474852053714844,0.07613704739611582,57,ok,79,12.474850784686094,0.07613701044338761,57
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420017,250,ok,84,13.259976101249974,0.07030119953069502,50,ok,84,13.25997643094039,0.0703012076240862,50
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420018,250,ok,90,21.335888150114553,0.07796324949278344,44,ok,90,21.335888953773534,0.07796326395312003,44
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420019,249,ok,85,14.814632603304164,0.13229384916568676,50,ok,85,14.81463204355966,0.13229383428337071,50
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420020,250,ok,78,11.557799998153763,0.10567352806787417,62,ok,78,11.55780073378676,0.10567354982589094,62
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420021,250,ok,81,11.071227528717056,0.09697593629195311,56,ok,81,11.071228052666434,0.09697595541343751,56
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420022,248,ok,86,15.267021389697385,0.12992626018582992,47,ok,86,15.267019414722771,0.12992621030423196,47
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420023,250,ok,67,6.1275761208016535,0.13625528406499038,123,ok,67,6.127510011668243,0.1362511100538542,123
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420024,249,ok,89,15.938455819437545,0.12162566308440348,37,ok,89,15.938455921540003,0.12162566471807135,37
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420025,250,ok,82,15.913730509106655,0.10007485541755223,43,ok,82,15.913730555459125,0.10007485655298054,43
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420026,250,ok,90,18.19063535206032,0.040486838010509674,30,ok,90,18.19063620493542,0.04048685621784087,30
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420027,250,ok,85,15.286142108617861,0.04810142222798164,39,ok,85,15.286141330485806,0.04810143017705082,39
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420028,250,ok,86,15.075112329912928,0.06317439865916064,39,ok,86,15.075112015751259,0.06317439097324762,39
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,2028420029,250,ok,83,14.4191173375525,0.10487390013780817,58,ok,83,14.41911767832535,0.10487390767286242,58
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120000,242,ok,10,7.860728692376996,0.12495761970703156,46,ok,10,7.8607178320656885,0.12495712421845695,46
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120001,239,ok,11,11.57886941191078,0.06755710339026777,42,ok,11,11.578869037535368,0.06755709049923497,42
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120002,237,ok,9,8.52776186207415,0.06402506473238057,38,ok,9,8.527761041342263,0.06402503047065422,38
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120003,237,ok,10,9.676666400142242,0.05668552295432627,48,ok,10,9.6766657324701,0.056685495906161565,48
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120004,234,ok,7,5.192581525267143,0.09832432783215483,80,ok,7,5.19205798500498,0.09828836168340482,80
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120005,235,ok,8,6.529326929158163,0.08813593271803877,71,ok,8,6.5292775961086145,0.08813316958025436,71
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120006,236,ok,9,7.591791172764314,0.07532539340177202,46,ok,9,7.59178117546495,0.07532493579116228,46
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120007,236,ok,10,8.953983027694328,0.06930685093650979,31,ok,10,8.953981841365051,0.06930680717603965,31
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120008,243,ok,9,7.1123457647277695,0.08455007383385849,47,ok,9,7.1123181866204535,0.08454868340313881,47
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120009,237,ok,8,6.523701710341935,0.08844294703151756,58,ok,8,6.523651397815225,0.08844018011122379,58
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120010,241,ok,8,6.7700501235014405,0.09751028546289392,58,ok,8,6.77002128343909,0.09750871383166343,58
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120011,235,ok,9,8.180782604250673,0.027138237091839268,50,ok,9,8.180780320357474,0.027138134978537676,50
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120012,237,ok,10,8.662309242291421,0.09256347107620744,46,ok,10,8.66230686219941,0.0925633773203679,46
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120013,240,ok,7,4.707316558904279,0.08906350321859702,104,ok,7,4.705783378289969,0.0889371515731171,104
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120014,233,ok,8,5.11756641803904,0.0936908377228417,114,ok,8,5.116520063202062,0.09361708918100059,114
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120015,239,ok,9,7.355095151324098,0.07654239817811404,50,ok,9,7.355079016433609,0.07654162613568571,50
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,2028120016,239,ok,10,8.072524238547512,0.08394686522024863,57,ok,10,8.07251725833049,0.08394655304444909,57
