scenario_id,family,control_value,n_nodes,money_distribution,seeds,unbounded_valid_seed_fraction,unbounded_alpha_median,unbounded_alpha_iqr,unbounded_xmin_median,unbounded_ks_median,bounded_valid_seed_fraction,bounded_alpha_median,bounded_alpha_iqr,bounded_xmin_median,bounded_ks_median
finite_fixed__N1000_K140__lognormal__biased__random,finite_fixed,0.14,1000,lognormal,30,1.0,15.171066859805157,3.7725042621640483,86.0,0.10013837612442489,1.0,15.171065715237015,3.7725046595911635,86.0,0.10013837177882912
finite_fixed__N100_K14__lognormal__biased__random,finite_fixed,0.14,100,lognormal,30,1.0,7.2337204580259336,1.8246117325216176,9.0,0.0839623673373778,1.0,7.233698601527031,1.8247421367850372,9.0,0.08395276670155327
finite_fixed__N200_K28__lognormal__biased__random,finite_fixed,0.14,200,lognormal,30,1.0,9.09100600412253,2.3300520832351204,17.0,0.08340793727478713,1.0,9.091004398300658,2.3300540333185182,17.0,0.08340791767621134
finite_fixed__N500_K70__lognormal__biased__random,finite_fixed,0.14,500,lognormal,30,1.0,12.505315162295165,3.4017330595903257,42.5,0.08052120376465671,1.0,12.505315319948167,3.401732596611625,42.5,0.08052120243776276
finite_income__N1000_c0p18__lognormal__biased__random,finite_income,0.18,1000,lognormal,30,1.0,13.889110806364565,3.2465946129409087,63.0,0.08436931447171087,1.0,13.889111376151032,3.2465949422729494,63.0,0.08436927722054721
finite_income__N100_c0p18__lognormal__biased__random,finite_income,0.18,100,lognormal,30,1.0,6.3222725681213765,1.493210008943544,6.0,0.07127973347611116,1.0,6.322240699064425,1.4932942834286953,6.0,0.07127124874893626
finite_income__N200_c0p18__lognormal__biased__random,finite_income,0.18,200,lognormal,30,1.0,8.365098656232458,2.354230357726638,13.0,0.07877863809362096,1.0,8.365098581529946,2.35423295423113,13.0,0.07877863285143522
finite_income__N500_c0p18__lognormal__biased__random,finite_income,0.18,500,lognormal,30,1.0,11.149227586938414,2.2930992923484634,30.5,0.09103273852553576,1.0,11.149228218168124,2.2930988802387304,30.5,0.09103258538384862
fixed__K18__lognormal__biased__random,fixed,18.0,200,lognormal,60,1.0,6.69318099516201,2.2977045369072426,10.0,0.06822051070954455,1.0,6.693178425332931,2.2977329932593635,10.0,0.06822036076858212
fixed__K18__pareto__biased__random,fixed,18.0,200,pareto,60,1.0,5.280255716980538,1.7802491484030156,6.0,0.07375828805275148,1.0,5.280248707427374,1.7803629390137345,6.0,0.07373240051101715
