series_id,source,family,scenario_id,control_value,n_nodes,money_distribution,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
phase2__finite_fixed__N1000_K140__lognormal__biased__random,phase2_new,finite_fixed,finite_fixed__N1000_K140__lognormal__biased__random,0.14,1000,lognormal,7492,114,1,114,100,ok,98,27.567318786057616,0.03936503199991892,201,100,-470.56774510415966,200,200,0.17412935323383086,0.030241798245295402,0.046790111680759014,ok,0.7686996547756041,0.2630549517287464,-0.5753556908875455,-1.767627603548483,0.07712318020370637,4.377177066453473,0.10109554583962821,True,False,24,-1.0694315595206048,-0.96201757377629,0.3360407763105586,ok,1000,98,27.5673224048357,0.039365081987735584,201,100,-470.56774510415863,200,200,0.16417910447761194,0.029697763563141272,0.04743199295921698,1.0231815394945443e-12
phase2__finite_fixed__N100_K14__lognormal__biased__random,phase2_new,finite_fixed,finite_fixed__N100_K14__lognormal__biased__random,0.14,100,lognormal,7125,18,1,18,100,ok,12,11.877401446790012,0.027465684451708605,309,13,-367.76916615583116,200,200,0.08955223880597014,0.016836534994598636,0.030047329799387235,ok,0.4245810055865922,0.856652465554424,-1.6814473675866484,-1.6618548581241959,0.09654187974410083,2.053242637216626,0.228009040556149,True,False,24,-1.863827248023441,-1.1674122798782092,0.24304391437680006,ok,100,12,11.877400948071022,0.02746566780693005,309,13,-367.7691661373667,200,200,0.11442786069651742,0.016614453355526776,0.03231469302520501,1.8464447748556267e-08
phase2__finite_fixed__N200_K28__lognormal__biased__random,phase2_new,finite_fixed,finite_fixed__N200_K28__lognormal__biased__random,0.14,200,lognormal,7328,29,1,29,100,ok,23,17.599086456139496,0.022992558842347632,131,23,-182.00562881675546,200,200,0.5671641791044776,0.02661064775383566,0.04723516957878841,ok,0.5,0.6931471805599453,-0.4010675100498061,-0.9231226785649267,0.3559432773752449,2.6958894546206715,0.17920463489981997,True,False,24,-0.4643355645292857,-0.6143331396632197,0.538995207795993,ok,200,23,17.599085283637802,0.0229925345839066,131,23,-182.0056288167557,200,200,0.5074626865671642,0.024880689438616863,0.042834621638899104,-2.2737367544323206e-13
phase2__finite_fixed__N500_K70__lognormal__biased__random,phase2_new,finite_fixed,finite_fixed__N500_K70__lognormal__biased__random,0.14,500,lognormal,7473,61,1,67,100,ok,51,21.636973359773275,0.02915267026609991,165,52,-321.90628488584707,200,200,0.4975124378109453,0.02971064476335252,0.044739467284345,ok,0.6771037181996087,0.38993081514598005,-0.4702436553225371,-0.9048742338123213,0.36553201870155916,3.5932066805845926,0.14249722898969472,True,False,24,-0.6451161847172768,-0.5652873491787467,0.5718783320641361,ok,500,51,21.636974185083243,0.029152684734643608,165,52,-321.90628488584866,200,200,0.5074626865671642,0.03056533857951064,0.04573134807905611,-1.5916157281026244e-12
phase2__finite_income__N1000_c0p18__lognormal__biased__random,phase2_new,finite_income,finite_income__N1000_c0p18__lognormal__biased__random,0.18,1000,lognormal,7500,88,2,89,100,ok,71,16.902640769561447,0.035265334021793104,417,77,-1065.1848895156847,200,200,0.009950248756218905,0.021239085418896596,0.031589924531211476,ok,0.8079226163058498,0.21328899694616352,-3.0856415229665486,-4.35835304263948,1.3104487090380832e-05,4.127485502981875,0.12211912172200826,True,False,24,-6.015830510755282,-2.331710692305239,0.019715915945839046,ok,1000,71,16.902640301768727,0.035265325638248024,417,77,-1065.1848895156859,200,200,0.03482587064676617,0.022753580087325805,0.03414344935121572,-1.1368683772161603e-12
phase2__finite_income__N100_c0p18__lognormal__biased__random,phase2_new,finite_income,finite_income__N100_c0p18__lognormal__biased__random,0.18,100,lognormal,6992,15,1,15,100,ok,10,10.226190047119811,0.05519914293870409,213,10,-252.11120400630625,200,200,0.014925373134328358,0.022052460623417158,0.040962384865206994,ok,0.4196185286103542,0.8684092456409411,-2.4893378380853894,-2.853213600835267,0.004327951995074357,2.124788847073558,0.1865533567913219,True,False,24,-3.770711611276007,-1.6367118406360783,0.10169069373095187,ok,100,10,10.226189436418323,0.05519911907247077,213,10,-252.1112039277793,200,200,0.004975124378109453,0.019864401877927273,0.03775323108874699,7.85269662628707e-08
phase2__finite_income__N200_c0p18__lognormal__biased__random,phase2_new,finite_income,finite_income__N200_c0p18__lognormal__biased__random,0.18,200,lognormal,7408,25,1,25,100,ok,18,13.140092407053986,0.010470976619779138,232,19,-341.280883740654,200,200,0.9701492537313433,0.022562444833444557,0.039251016086933384,ok,0.5294117647058824,0.6359887667199967,-0.41275747541467633,-0.5188969265501677,0.6038326211552056,1.8628415913651957,0.30941977142526006,True,False,24,-0.3791516304728919,-0.6007004482418098,0.5480395204436601,ok,200,18,13.140093194704681,0.010470973529309924,232,19,-341.2808837406221,200,200,0.9303482587064676,0.02160476617321491,0.03954384100145883,3.1946001399774104e-11
phase2__finite_income__N500_c0p18__lognormal__biased__random,phase2_new,finite_income,finite_income__N500_c0p18__lognormal__biased__random,0.18,500,lognormal,7494,47,1,47,100,ok,40,21.500273368375804,0.03896368397642114,122,40,-209.4573482015586,200,200,0.4129353233830846,0.03546554787609448,0.056347591782933255,ok,0.6089743589743589,0.4959791156489963,-0.6654947729497793,-2.1897369538536777,0.02854331940680035,3.5669926646174814,0.09764195658177476,True,False,24,-1.5476280935637616,-1.1293787580229504,0.25873808978500457,ok,500,40,21.50027814802868,0.03896376195620033,122,40,-209.45734820155826,200,200,0.417910447761194,0.0363133641099462,0.053791316720938134,3.410605131648481e-13
phase2__fixed__K18__lognormal__biased__random,phase2_new,fixed,fixed__K18__lognormal__biased__random,18.0,200,lognormal,17025,20,1,21,100,ok,14,11.674560081987217,0.021756958470905974,349,15,-474.19907992313506,200,200,0.20398009950248755,0.016324290958444877,0.027795773959372543,ok,0.48751835535976507,0.7184273372330238,-2.3780599642383606,-2.2431154419731274,0.02488937114183524,2.2770203730617724,0.21643767354904708,True,False,24,-2.728870091472066,-1.4694016988903598,0.14172386680558866,ok,200,14,11.674559062630655,0.021756926305015578,349,15,-474.19907992302427,200,200,0.25870646766169153,0.016827219868039634,0.028587232221981392,1.1078782335971482e-10
phase2__fixed__K18__pareto__biased__random,phase2_new,fixed,fixed__K18__pareto__biased__random,18.0,200,pareto,12622,19,1,19,100,ok,13,10.006940690661438,0.02910898945481455,130,13,-190.41518437542382,200,200,0.34328358208955223,0.026369560083963642,0.047736176982947895,ok,0.5255474452554745,0.6433148068120695,-0.8506769232623816,-1.2637116026935231,0.20633355907873008,2.0434130030530313,0.2769235427775332,True,False,24,-0.8165193431511679,-0.9466417767938642,0.34382134827003374,ok,200,13,10.006940924001906,0.029108998389274332,130,13,-190.41518437356592,200,200,0.48756218905472637,0.028779521902452334,0.04421479081032853,1.8578987237560796e-09
