series_id,runs,total_periods,events,event_period_fraction,inter_event_waits,wait_equal_1_fraction,wait_median,wait_p90,lag1_pairs,size_lag1_correlation,source,family
phase2__finite_fixed__N1000_K140__lognormal__biased__random,30,7500,7492,0.9989333333333333,7462,0.9995979630125972,1.0,1.0,7462,0.9434190306983089,phase2_new,finite_fixed
phase2__finite_fixed__N100_K14__lognormal__biased__random,30,7500,7125,0.95,7095,0.9682875264270613,1.0,1.0,7095,0.5749125905555219,phase2_new,finite_fixed
phase2__finite_fixed__N200_K28__lognormal__biased__random,30,7500,7328,0.9770666666666666,7298,0.985612496574404,1.0,1.0,7298,0.7503816038445222,phase2_new,finite_fixed
phase2__finite_fixed__N500_K70__lognormal__biased__random,30,7500,7473,0.9964,7443,0.9973129114604327,1.0,1.0,7443,0.890955978609564,phase2_new,finite_fixed
phase2__finite_income__N1000_c0p18__lognormal__biased__random,30,7500,7500,1.0,7470,1.0,1.0,1.0,7470,0.9083705264773804,phase2_new,finite_income
phase2__finite_income__N100_c0p18__lognormal__biased__random,30,7500,6992,0.9322666666666667,6962,0.9465670784257397,1.0,1.0,6962,0.5095097509471191,phase2_new,finite_income
phase2__finite_income__N200_c0p18__lognormal__biased__random,30,7500,7408,0.9877333333333334,7378,0.9887503388452155,1.0,1.0,7378,0.6792472687415541,phase2_new,finite_income
phase2__finite_income__N500_c0p18__lognormal__biased__random,30,7500,7494,0.9992,7464,0.9993301178992497,1.0,1.0,7464,0.8304715237793752,phase2_new,finite_income
phase2__fixed__K18__lognormal__biased__random,60,18000,17025,0.9458333333333333,16965,0.9655172413793104,1.0,1.0,16965,0.5876406426754224,phase2_new,fixed
phase2__fixed__K18__pareto__biased__random,60,18000,12622,0.7012222222222222,12562,0.8966725043782837,1.0,2.0,12562,0.5271896630782912,phase2_new,fixed
phase2__fixed__K20__lognormal__biased__random,60,18000,17275,0.9597222222222223,17215,0.9743828056927099,1.0,1.0,17215,0.6437740126192728,phase2_new,fixed
phase2__fixed__K20__pareto__biased__random,60,18000,13362,0.7423333333333333,13302,0.9229439182077883,1.0,1.0,13302,0.6476911478089858,phase2_new,fixed
phase2__fixed__K22__lognormal__biased__random,60,18000,17424,0.968,17364,0.9796705828150196,1.0,1.0,17364,0.6948262129479927,phase2_new,fixed
phase2__fixed__K22__pareto__biased__random,60,18000,13910,0.7727777777777778,13850,0.9345126353790614,1.0,1.0,13850,0.7159436548508202,phase2_new,fixed
phase2__fixed__K24__lognormal__biased__random,60,18000,17525,0.9736111111111111,17465,0.9847695390781563,1.0,1.0,17465,0.7301354884529347,phase2_new,fixed
phase2__fixed__K24__pareto__biased__random,60,18000,14193,0.7885,14133,0.9438194297035307,1.0,1.0,14133,0.7448779009439341,phase2_new,fixed
phase2__fixed__K26__lognormal__biased__random,60,18000,17601,0.9778333333333333,17541,0.9854626304087566,1.0,1.0,17541,0.761152002861394,phase2_new,fixed
phase2__fixed__K26__pareto__biased__random,60,18000,14591,0.8106111111111111,14531,0.9529282224210309,1.0,1.0,14531,0.7923474108472495,phase2_new,fixed
phase2__income__c0p12__lognormal__biased__random,60,18000,16615,0.9230555555555555,16555,0.9397765025672002,1.0,1.0,16555,0.43951526184207124,phase2_new,income
phase2__income__c0p12__pareto__biased__random,60,18000,10857,0.6031666666666666,10797,0.8116143373159211,1.0,2.0,10797,0.42047751354268625,phase2_new,income
phase2__income__c0p14__lognormal__biased__random,60,18000,17233,0.9573888888888888,17173,0.9658184359168462,1.0,1.0,17173,0.5809620856275848,phase2_new,income
phase2__income__c0p14__pareto__biased__random,60,18000,12615,0.7008333333333333,12555,0.8822779769016328,1.0,2.0,12555,0.6879784799798196,phase2_new,income
phase2__income__c0p16__lognormal__biased__random,60,18000,17525,0.9736111111111111,17465,0.9791010592613799,1.0,1.0,17465,0.6620129693607779,phase2_new,income
phase2__income__c0p16__pareto__biased__random,60,18000,13651,0.7583888888888889,13591,0.9211242734162314,1.0,1.0,13591,0.666504112585887,phase2_new,income
phase2__income__c0p18__lognormal__biased__random,60,18000,17764,0.9868888888888889,17704,0.9887596023497515,1.0,1.0,17704,0.724375927397525,phase2_new,income
phase2__income__c0p18__pareto__biased__random,60,18000,14457,0.8031666666666667,14397,0.9413072167812738,1.0,1.0,14397,0.7112143027834887,phase2_new,income
phase2__income__c0p20__lognormal__biased__random,60,18000,17897,0.9942777777777778,17837,0.9945058025452711,1.0,1.0,17837,0.7473601529610553,phase2_new,income
