series_id,source,family,time_quartile,periods,events,event_period_fraction,mean_size,median_size,p90_size,large_event_rate
phase2__finite_fixed__N1000_K140__lognormal__biased__random,phase2_new,finite_fixed,1,1890,1882,0.9957671957671957,19.896918172157278,19.0,35.0,0.0
phase2__finite_fixed__N1000_K140__lognormal__biased__random,phase2_new,finite_fixed,2,1860,1860,1.0,49.17365591397849,49.0,63.0,0.0
phase2__finite_fixed__N1000_K140__lognormal__biased__random,phase2_new,finite_fixed,3,1890,1890,1.0,71.62169312169313,72.0,84.0,0.0
phase2__finite_fixed__N1000_K140__lognormal__biased__random,phase2_new,finite_fixed,4,1860,1860,1.0,87.16612903225807,87.0,98.0,0.06290322580645161
phase2__finite_fixed__N100_K14__lognormal__biased__random,phase2_new,finite_fixed,1,1890,1526,0.8074074074074075,2.551769331585845,2.0,5.0,0.001310615989515072
phase2__finite_fixed__N100_K14__lognormal__biased__random,phase2_new,finite_fixed,2,1860,1849,0.9940860215053764,5.129259058950784,5.0,8.0,0.03569497025419145
phase2__finite_fixed__N100_K14__lognormal__biased__random,phase2_new,finite_fixed,3,1890,1890,1.0,7.265079365079365,7.0,10.0,0.16984126984126985
phase2__finite_fixed__N100_K14__lognormal__biased__random,phase2_new,finite_fixed,4,1860,1860,1.0,8.743010752688171,9.0,12.0,0.36989247311827955
phase2__finite_fixed__N200_K28__lognormal__biased__random,phase2_new,finite_fixed,1,1890,1718,0.908994708994709,4.269499417927823,4.0,8.0,0.0
phase2__finite_fixed__N200_K28__lognormal__biased__random,phase2_new,finite_fixed,2,1860,1860,1.0,9.651075268817204,10.0,14.0,0.003763440860215054
phase2__finite_fixed__N200_K28__lognormal__biased__random,phase2_new,finite_fixed,3,1890,1890,1.0,14.002116402116402,14.0,18.0,0.05714285714285714
phase2__finite_fixed__N200_K28__lognormal__biased__random,phase2_new,finite_fixed,4,1860,1860,1.0,17.136559139784946,17.0,22.0,0.24516129032258063
phase2__finite_fixed__N500_K70__lognormal__biased__random,phase2_new,finite_fixed,1,1890,1863,0.9857142857142858,9.865807836822329,10.0,17.0,0.0
phase2__finite_fixed__N500_K70__lognormal__biased__random,phase2_new,finite_fixed,2,1860,1860,1.0,24.162903225806453,24.0,32.0,0.0
phase2__finite_fixed__N500_K70__lognormal__biased__random,phase2_new,finite_fixed,3,1890,1890,1.0,35.196296296296296,35.0,43.0,0.007936507936507936
phase2__finite_fixed__N500_K70__lognormal__biased__random,phase2_new,finite_fixed,4,1860,1860,1.0,42.8741935483871,43.0,50.0,0.110752688172043
phase2__finite_income__N1000_c0p18__lognormal__biased__random,phase2_new,finite_income,1,1890,1890,1.0,18.404761904761905,18.0,29.0,0.0
phase2__finite_income__N1000_c0p18__lognormal__biased__random,phase2_new,finite_income,2,1860,1860,1.0,37.395698924731185,37.0,49.0,0.0
phase2__finite_income__N1000_c0p18__lognormal__biased__random,phase2_new,finite_income,3,1890,1890,1.0,52.096825396825395,52.0,63.0,0.0
phase2__finite_income__N1000_c0p18__lognormal__biased__random,phase2_new,finite_income,4,1860,1860,1.0,63.700537634408605,64.0,74.0,0.0
phase2__finite_income__N100_c0p18__lognormal__biased__random,phase2_new,finite_income,1,1890,1468,0.7767195767195767,2.2002724795640325,2.0,4.0,0.0
phase2__finite_income__N100_c0p18__lognormal__biased__random,phase2_new,finite_income,2,1860,1787,0.960752688172043,3.5383324006715164,3.0,6.0,0.004476776720761052
phase2__finite_income__N100_c0p18__lognormal__biased__random,phase2_new,finite_income,3,1890,1878,0.9936507936507937,4.9504792332268375,5.0,8.0,0.03194888178913738
phase2__finite_income__N100_c0p18__lognormal__biased__random,phase2_new,finite_income,4,1860,1859,0.9994623655913979,6.167294244217321,6.0,9.0,0.07799892415277031
phase2__finite_income__N200_c0p18__lognormal__biased__random,phase2_new,finite_income,1,1890,1800,0.9523809523809523,4.057222222222222,4.0,7.0,0.0
phase2__finite_income__N200_c0p18__lognormal__biased__random,phase2_new,finite_income,2,1860,1858,0.9989247311827957,7.768030139935415,8.0,12.0,0.0
phase2__finite_income__N200_c0p18__lognormal__biased__random,phase2_new,finite_income,3,1890,1890,1.0,10.953439153439154,11.0,15.0,0.010052910052910053
phase2__finite_income__N200_c0p18__lognormal__biased__random,phase2_new,finite_income,4,1860,1860,1.0,13.067741935483872,13.0,17.0,0.024731182795698924
phase2__finite_income__N500_c0p18__lognormal__biased__random,phase2_new,finite_income,1,1890,1884,0.9968253968253968,8.859341825902336,8.0,14.0,0.0
phase2__finite_income__N500_c0p18__lognormal__biased__random,phase2_new,finite_income,2,1860,1860,1.0,18.07741935483871,18.0,25.0,0.0
phase2__finite_income__N500_c0p18__lognormal__biased__random,phase2_new,finite_income,3,1890,1890,1.0,25.26878306878307,25.0,32.0,0.0
phase2__finite_income__N500_c0p18__lognormal__biased__random,phase2_new,finite_income,4,1860,1860,1.0,30.996774193548386,31.0,38.0,0.0
phase2__fixed__K18__lognormal__biased__random,phase2_new,fixed,1,4500,3581,0.7957777777777778,2.5618542306618264,2.0,5.0,0.0
phase2__fixed__K18__lognormal__biased__random,phase2_new,fixed,2,4500,4446,0.988,4.9442195231668915,5.0,8.0,0.0
phase2__fixed__K18__lognormal__biased__random,phase2_new,fixed,3,4500,4499,0.9997777777777778,7.191153589686597,7.0,10.0,0.0002222716159146477
phase2__fixed__K18__lognormal__biased__random,phase2_new,fixed,4,4500,4499,0.9997777777777778,9.213380751278061,9.0,13.0,0.0002222716159146477
phase2__fixed__K18__pareto__biased__random,phase2_new,fixed,1,4500,579,0.12866666666666668,1.305699481865285,1.0,2.0,0.0
phase2__fixed__K18__pareto__biased__random,phase2_new,fixed,2,4500,3234,0.7186666666666667,2.239022881880025,2.0,4.0,0.0
phase2__fixed__K18__pareto__biased__random,phase2_new,fixed,3,4500,4330,0.9622222222222222,4.030484988452656,4.0,7.0,0.0
phase2__fixed__K18__pareto__biased__random,phase2_new,fixed,4,4500,4479,0.9953333333333333,6.103817816476893,6.0,10.0,0.0
phase2__fixed__K20__lognormal__biased__random,phase2_new,fixed,1,4500,3790,0.8422222222222222,2.9978891820580476,3.0,6.0,0.0
phase2__fixed__K20__lognormal__biased__random,phase2_new,fixed,2,4500,4485,0.9966666666666667,5.929765886287625,6.0,9.0,0.0
phase2__fixed__K20__lognormal__biased__random,phase2_new,fixed,3,4500,4500,1.0,8.798666666666668,9.0,12.0,0.00022222222222222223
phase2__fixed__K20__lognormal__biased__random,phase2_new,fixed,4,4500,4500,1.0,11.133111111111111,11.0,15.0,0.0026666666666666666
phase2__fixed__K20__pareto__biased__random,phase2_new,fixed,1,4500,751,0.1668888888888889,1.3608521970705725,1.0,2.0,0.0
phase2__fixed__K20__pareto__biased__random,phase2_new,fixed,2,4500,3663,0.814,2.805077805077805,2.0,5.0,0.0
phase2__fixed__K20__pareto__biased__random,phase2_new,fixed,3,4500,4450,0.9888888888888889,5.368539325842697,5.0,9.0,0.00022471910112359551
phase2__fixed__K20__pareto__biased__random,phase2_new,fixed,4,4500,4498,0.9995555555555555,8.428190306803023,8.0,13.0,0.0015562472209871053
phase2__fixed__K22__lognormal__biased__random,phase2_new,fixed,1,4500,3928,0.8728888888888889,3.3831466395112018,3.0,6.0,0.0
phase2__fixed__K22__lognormal__biased__random,phase2_new,fixed,2,4500,4496,0.9991111111111111,7.289590747330961,7.0,11.0,0.0
phase2__fixed__K22__lognormal__biased__random,phase2_new,fixed,3,4500,4500,1.0,10.543555555555555,10.0,15.0,0.0028888888888888888
phase2__fixed__K22__lognormal__biased__random,phase2_new,fixed,4,4500,4500,1.0,13.158666666666667,13.0,17.0,0.019777777777777776
phase2__fixed__K22__pareto__biased__random,phase2_new,fixed,1,4500,967,0.21488888888888888,1.5718717683557395,1.0,3.0,0.0
phase2__fixed__K22__pareto__biased__random,phase2_new,fixed,2,4500,3955,0.8788888888888889,3.311757269279393,3.0,6.0,0.00025284450063211124
phase2__fixed__K22__pareto__biased__random,phase2_new,fixed,3,4500,4489,0.9975555555555555,6.643127645355313,6.0,11.0,0.005569169079973268
phase2__fixed__K22__pareto__biased__random,phase2_new,fixed,4,4500,4499,0.9997777777777778,10.217381640364525,10.0,15.0,0.012669482107134918
phase2__fixed__K24__lognormal__biased__random,phase2_new,fixed,1,4500,4025,0.8944444444444445,3.856894409937888,3.0,7.0,0.0
phase2__fixed__K24__lognormal__biased__random,phase2_new,fixed,2,4500,4500,1.0,8.473333333333333,8.0,12.0,0.0006666666666666666
phase2__fixed__K24__lognormal__biased__random,phase2_new,fixed,3,4500,4500,1.0,12.395111111111111,12.0,16.0,0.013333333333333334
phase2__fixed__K24__lognormal__biased__random,phase2_new,fixed,4,4500,4500,1.0,15.212,15.0,19.0,0.08244444444444445
phase2__fixed__K24__pareto__biased__random,phase2_new,fixed,1,4500,1083,0.24066666666666667,1.6463527239150508,1.0,3.0,0.0
phase2__fixed__K24__pareto__biased__random,phase2_new,fixed,2,4500,4120,0.9155555555555556,3.7992718446601943,3.0,7.0,0.0
phase2__fixed__K24__pareto__biased__random,phase2_new,fixed,3,4500,4490,0.9977777777777778,7.924053452115813,8.0,12.0,0.005345211581291759
phase2__fixed__K24__pareto__biased__random,phase2_new,fixed,4,4500,4500,1.0,12.071333333333333,12.0,17.0,0.032
phase2__fixed__K26__lognormal__biased__random,phase2_new,fixed,1,4500,4102,0.9115555555555556,4.2983910287664555,4.0,8.0,0.0
phase2__fixed__K26__lognormal__biased__random,phase2_new,fixed,2,4500,4499,0.9997777777777778,9.603467437208268,9.0,14.0,0.004445432318292954
phase2__fixed__K26__lognormal__biased__random,phase2_new,fixed,3,4500,4500,1.0,13.804444444444444,14.0,18.0,0.04933333333333333
phase2__fixed__K26__lognormal__biased__random,phase2_new,fixed,4,4500,4500,1.0,16.785777777777778,17.0,21.0,0.19955555555555557
phase2__fixed__K26__pareto__biased__random,phase2_new,fixed,1,4500,1300,0.28888888888888886,1.793076923076923,1.0,3.0,0.0
phase2__fixed__K26__pareto__biased__random,phase2_new,fixed,2,4500,4291,0.9535555555555556,4.723374504777441,4.0,9.0,0.002563505010487066
phase2__fixed__K26__pareto__biased__random,phase2_new,fixed,3,4500,4500,1.0,10.085555555555555,10.0,15.0,0.033555555555555554
phase2__fixed__K26__pareto__biased__random,phase2_new,fixed,4,4500,4500,1.0,14.755555555555556,14.0,20.0,0.13666666666666666
phase2__income__c0p12__lognormal__biased__random,phase2_new,income,1,4500,3419,0.7597777777777778,2.103831529687043,2.0,4.0,0.0
phase2__income__c0p12__lognormal__biased__random,phase2_new,income,2,4500,4277,0.9504444444444444,3.341828384381576,3.0,6.0,0.0
phase2__income__c0p12__lognormal__biased__random,phase2_new,income,3,4500,4440,0.9866666666666667,4.544144144144144,4.0,7.0,0.0
phase2__income__c0p12__lognormal__biased__random,phase2_new,income,4,4500,4479,0.9953333333333333,5.750613976334003,6.0,9.0,0.0
phase2__income__c0p12__pareto__biased__random,phase2_new,income,1,4500,466,0.10355555555555555,1.2896995708154506,1.0,2.0,0.0
phase2__income__c0p12__pareto__biased__random,phase2_new,income,2,4500,2391,0.5313333333333333,1.8184859891258887,1.0,3.0,0.0
phase2__income__c0p12__pareto__biased__random,phase2_new,income,3,4500,3732,0.8293333333333334,2.632636655948553,2.0,5.0,0.0
phase2__income__c0p12__pareto__biased__random,phase2_new,income,4,4500,4268,0.9484444444444444,3.6157450796626054,3.0,6.0,0.0
