seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,family,scenario_id,scenario_index,run_index,control_name,control_value,k_per_node
2026120000,True,300,4901,1,120,16,120,4901,120,1101,12,12,1223,277,0.06,False,4518,4518,1101,0.5177467906153166,0.8345307658255867,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,0,c,0.12,
2026120001,True,300,4440,1,120,14,120,4440,120,956,12,12,1196,287,0.06,False,4079,4079,956,0.5237447903898016,0.8243282667320422,0,124,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,1,c,0.12,
2026120002,True,300,4271,1,120,14,120,4271,120,897,13,13,1265,291,0.065,False,3934,3934,897,0.5369674631418404,0.8377325876970005,0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,2,c,0.12,
2026120003,True,300,4839,1,120,16,120,4839,120,967,12,12,1327,270,0.06,False,4481,4481,967,0.5442590939522429,0.8374525775496542,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,3,c,0.12,
2026120004,True,300,4180,1,120,13,120,4180,120,1172,9,9,877,274,0.045,False,3833,3833,1172,0.48423036785807483,0.7752374119488652,0,97,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,4,c,0.12,
2026120005,True,300,4404,1,120,14,120,4404,120,957,13,13,1100,279,0.065,False,4049,4049,957,0.522866139787602,0.8411718942948878,0,117,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,5,c,0.12,
2026120006,True,300,4362,2,168,14,120,4362,168,1183,10,10,1044,269,0.05,False,4034,4034,1183,0.5041199801685672,0.8067327714427368,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,6,c,0.12,
2026120007,True,300,4846,1,120,15,120,4846,120,1118,11,11,1207,281,0.055,False,4502,4502,1118,0.5288160817414485,0.8337205686361617,0,126,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,7,c,0.12,
2026120008,True,300,4052,2,167,13,120,4052,167,913,12,12,1021,280,0.06,False,3716,3716,913,0.5218030139935415,0.8200430570505921,0,100,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,8,c,0.12,
2026120009,True,300,3903,1,120,12,120,3903,120,968,10,10,1045,282,0.05,False,3576,3576,968,0.5213394854586131,0.8230872483221479,0,105,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,9,c,0.12,
2026120010,True,300,3993,1,120,12,120,3993,120,1021,12,12,767,250,0.06,False,3682,3682,1021,0.48653177620858234,0.8094866920152093,0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,10,c,0.12,
2026120011,True,300,5083,1,120,17,120,5083,120,961,17,17,1663,289,0.085,False,4721,4721,961,0.5867835204405847,0.8750550730777378,0,136,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,11,c,0.12,
2026120012,True,300,4641,1,120,15,120,4641,120,800,16,16,1356,286,0.08,False,4255,4255,800,0.5623654524089308,0.8759847238542893,0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,12,c,0.12,
2026120013,True,300,4642,1,120,15,120,4642,120,780,14,14,1402,276,0.07,False,4289,4289,780,0.5376043366752157,0.8616658894847284,0,126,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,13,c,0.12,
2026120014,True,300,4664,4,214,15,120,4664,214,1035,13,13,1291,289,0.065,False,4335,4335,1035,0.5462295271049598,0.8435282583621686,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,14,c,0.12,
2026120015,True,300,4632,1,120,15,120,4632,120,1157,11,11,1129,276,0.055,False,4279,4279,1157,0.5266148632858145,0.8211766767936435,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.12,5.0,1.0,0.1,300,0,0.0,True,True,income,100,continue_after_avalanche,period_end,income,income__c0p12__lognormal__biased__random,0,15,c,0.12,
