fixed_k,growth_rule,runs,avalanche_events,event_critical_rate,critical_events_per_100_periods,mean_event_size,p90_event_size,max_event_size,mean_avalanche_count_per_run,mean_final_net_worth_gini
5,preferential_debt,60,4006,0.0,0.0,1.1647528706939592,2.0,5,66.76666666666667,0.5018805974902276
5,random,60,6377,0.0,0.0,1.251685745648424,2.0,6,106.28333333333333,0.5591177075403034
10,preferential_debt,60,7140,0.0,0.0,1.3411764705882352,2.0,7,119.0,0.4951183808441317
10,random,60,15659,0.0,0.0,2.1012836068714478,4.0,11,260.98333333333335,0.6877628707211257
20,preferential_debt,60,12178,0.0,0.0,1.6230908195105929,3.0,8,202.96666666666667,0.5094775812514728
20,random,60,21724,0.0016571533787516112,0.15,6.969895046952679,13.0,24,362.06666666666666,0.8666310724294601
30,preferential_debt,60,15951,0.0,0.0,1.8845840386182684,3.0,11,265.85,0.5278944732434666
30,random,60,22835,0.2646814101160499,25.183333333333334,13.978541712283775,24.0,35,380.5833333333333,0.9332467862509276
50,preferential_debt,90,30576,0.0,0.0,2.578787284144427,5.0,14,339.73333333333335,0.5574927015244512
50,random,90,35143,0.7608343055516035,74.27222222222223,28.077255783513074,41.0,54,390.47777777777776,0.9719631615067978
