seed,ended_by_default,periods_completed,time_steps_completed,settlements_completed,checks_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,max_period_length_steps_cap,max_uncapped_period_length_steps,capped_periods,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,avalanche_period_count,avalanche_timestep_rate,avalanche_period_occupancy,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,total_default_occurrences,unique_default_nodes,repeat_default_occurrences,repeat_default_share,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,scenario_index,run_index,protocol,spending_label,topology_label,topology_family,target_mean_degree_requested,sw_rewire_probability
2026060900,False,20,128,128,128,0,0,3,60,500,60,0,128,128,128,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,128,0.0,0.0776805555555555,0,35,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,complete,119,2026069900.0,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-complete,money-equal__income-uniform__growth-random__spend-low__topo-complete,0,0,timestep_settle_check,low,complete,complete,0,
2026060901,False,20,129,129,129,0,0,2,60,500,60,0,129,129,129,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,129,0.0,0.0760763888888889,0,31,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,6,,120,360,6.0,0.0504201680672268,0.0699897787397787,2.3202011407059806,0.3867001901176634,11,1,120,1.0,2.88515406162465,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k6,money-equal__income-uniform__growth-random__spend-low__topo-er_k6,1,0,timestep_settle_check,low,er_k6,er,6,0.1
2026060902,False,20,127,127,127,0,0,2,60,500,60,0,127,127,127,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,127,0.0,0.0805763888888888,0,23,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,12,,120,720,12.0,0.1008403361344537,0.1074705402240231,3.442382895611701,0.286865241300975,19,1,120,1.0,2.175770308123249,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k12,money-equal__income-uniform__growth-random__spend-low__topo-er_k12,2,0,timestep_settle_check,low,er_k12,er,12,0.1
2026060903,False,20,130,130,130,0,0,4,60,500,60,0,130,130,130,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,130,0.0,0.0871874999999999,0,31,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,24,,120,1440,24.0,0.2016806722689075,0.2052736241108031,4.169332480545696,0.173722186689404,37,1,120,1.0,1.804201680672269,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k24,money-equal__income-uniform__growth-random__spend-low__topo-er_k24,3,0,timestep_settle_check,low,er_k24,er,24,0.1
2026060904,False,20,129,129,129,0,0,3,60,500,60,0,129,129,129,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,129,0.0,0.090875,0,39,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,6,,120,360,6.0,0.0504201680672268,0.1201793785491541,5.157518783291051,0.8595864638818419,34,1,120,1.0,2.622829131652661,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k6,money-equal__income-uniform__growth-random__spend-low__topo-ba_k6,4,0,timestep_settle_check,low,ba_k6,ba,6,0.1
2026060905,False,20,132,132,132,0,0,3,60,500,60,0,132,132,132,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,132,0.0,0.0848958333333333,0,33,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,12,,120,720,12.0,0.1008403361344537,0.2014644570559061,7.585073060513875,0.6320894217094896,42,1,120,1.0,2.153501400560224,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k12,money-equal__income-uniform__growth-random__spend-low__topo-ba_k12,5,0,timestep_settle_check,low,ba_k12,ba,12,0.1
2026060906,False,20,135,135,135,0,0,3,60,500,60,0,135,135,135,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,135,0.0,0.0813472222222222,0,16,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,24,,120,1440,24.0,0.2016806722689075,0.2794739798812029,10.770329614269007,0.4487637339278753,63,1,120,1.0,1.8131652661064424,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k24,money-equal__income-uniform__growth-random__spend-low__topo-ba_k24,6,0,timestep_settle_check,low,ba_k24,ba,24,0.1
2026060907,False,20,131,131,131,0,0,3,60,500,60,0,131,131,131,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,131,0.0,0.0814861111111111,0,27,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,6,,120,360,6.0,0.0504201680672268,0.4901984126984128,0.6582805886043833,0.1097134314340638,8,1,120,1.0,4.018627450980392,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k6,money-equal__income-uniform__growth-random__spend-low__topo-sw_k6,7,0,timestep_settle_check,low,sw_k6,sw,6,0.1
2026060908,False,20,129,129,129,0,0,4,60,500,60,0,129,129,129,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,129,0.0,0.0901944444444444,0,30,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,12,,120,720,12.0,0.1008403361344537,0.5202649202649201,1.0488088481701516,0.0874007373475126,15,1,120,1.0,2.636134453781513,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k12,money-equal__income-uniform__growth-random__spend-low__topo-sw_k12,8,0,timestep_settle_check,low,sw_k12,sw,12,0.1
2026060909,False,20,135,135,135,0,0,3,60,500,60,0,135,135,135,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,135,0.0,0.0826180555555555,0,25,0,0,0,0.0,120,20.0,equal,uniform,random,0.01,0.1,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,24,,120,1440,24.0,0.2016806722689075,0.5545908947537477,1.5491933384829668,0.0645497224367902,28,1,120,1.0,1.984873949579832,c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k24,money-equal__income-uniform__growth-random__spend-low__topo-sw_k24,9,0,timestep_settle_check,low,sw_k24,sw,24,0.1
