scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-complete,money-equal__income-uniform__growth-random__spend-low__topo-complete,0,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,complete,complete,0,1,0.0,0.0,20.0,128.0,128.0,128.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0776805555555555,0.0,0.0,119.0,1.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k6,money-equal__income-uniform__growth-random__spend-low__topo-er_k6,1,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,er_k6,er,6,1,0.0,0.0,20.0,129.0,129.0,129.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0760763888888889,0.0,0.0,6.0,0.0699897787397787,0.3867001901176634
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k12,money-equal__income-uniform__growth-random__spend-low__topo-er_k12,2,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,er_k12,er,12,1,0.0,0.0,20.0,127.0,127.0,127.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0805763888888888,0.0,0.0,12.0,0.1074705402240231,0.286865241300975
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k24,money-equal__income-uniform__growth-random__spend-low__topo-er_k24,3,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,er_k24,er,24,1,0.0,0.0,20.0,130.0,130.0,130.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0871874999999999,0.0,0.0,24.0,0.2052736241108031,0.173722186689404
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k6,money-equal__income-uniform__growth-random__spend-low__topo-ba_k6,4,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,ba_k6,ba,6,1,0.0,0.0,20.0,129.0,129.0,129.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.090875,0.0,0.0,6.0,0.1201793785491541,0.8595864638818419
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k12,money-equal__income-uniform__growth-random__spend-low__topo-ba_k12,5,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,ba_k12,ba,12,1,0.0,0.0,20.0,132.0,132.0,132.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0848958333333333,0.0,0.0,12.0,0.2014644570559061,0.6320894217094896
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k24,money-equal__income-uniform__growth-random__spend-low__topo-ba_k24,6,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,ba_k24,ba,24,1,0.0,0.0,20.0,135.0,135.0,135.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0813472222222222,0.0,0.0,24.0,0.2794739798812029,0.4487637339278753
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k6,money-equal__income-uniform__growth-random__spend-low__topo-sw_k6,7,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,sw_k6,sw,6,1,0.0,0.0,20.0,131.0,131.0,131.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0814861111111111,0.0,0.0,6.0,0.4901984126984128,0.1097134314340638
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k12,money-equal__income-uniform__growth-random__spend-low__topo-sw_k12,8,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,sw_k12,sw,12,1,0.0,0.0,20.0,129.0,129.0,129.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0901944444444444,0.0,0.0,12.0,0.5202649202649201,0.0874007373475126
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k24,money-equal__income-uniform__growth-random__spend-low__topo-sw_k24,9,timestep_settle_check,0.1,120,equal,uniform,random,low,0.01,0.1,sw_k24,sw,24,1,0.0,0.0,20.0,135.0,135.0,135.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0826180555555555,0.0,0.0,24.0,0.5545908947537477,0.0645497224367902
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-complete,money-equal__income-uniform__growth-random__spend-baseline__topo-complete,10,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,complete,complete,0,1,0.0,0.0,20.0,204.0,204.0,204.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.1018472222222222,0.0,0.0,119.0,1.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k6,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k6,11,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,er_k6,er,6,1,0.0,0.0,20.0,210.0,210.0,210.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.1207430555555555,0.0,0.0,6.0,0.0387277999777999,0.4065436972550156
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k12,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k12,12,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,er_k12,er,12,1,0.0,0.0,20.0,210.0,210.0,210.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0993263888888889,0.0,0.0,12.0,0.0953128081069256,0.2661453237111885
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,13,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,er_k24,er,24,1,0.0,0.0,20.0,212.0,212.0,212.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.1110138888888889,0.0,0.0,24.0,0.2007537611029994,0.1627135349147219
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k6,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k6,14,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,ba_k6,ba,6,1,0.0,0.0,20.0,216.0,216.0,216.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.1153263888888889,0.0,0.0,6.0,0.1612972792458086,0.8842762263254872
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k12,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k12,15,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,ba_k12,ba,12,1,0.0,0.0,20.0,213.0,213.0,213.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.1102361111111112,0.0,0.0,12.0,0.1765873213131434,0.5897464929322819
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k24,16,timestep_settle_check,0.1,120,equal,uniform,random,baseline,0.02,0.2,ba_k24,ba,24,1,0.0,0.0,20.0,214.0,214.0,214.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.1178472222222222,0.0,0.0,24.0,0.2930129269180001,0.470575150451256
