scenario_id,c_timestep,money_distribution_timestep,income_distribution_rule_timestep,growth_rule_timestep,spending_label_timestep,topology_label_timestep,event_large_event_rate_timestep,mean_event_fraction_timestep,propagated_share_total_timestep,event_occupancy_timestep,c_period,money_distribution_period,income_distribution_rule_period,growth_rule_period,spending_label_period,topology_label_period,event_large_event_rate_period,mean_event_fraction_period,propagated_share_total_period,event_occupancy_period
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-complete,0.1,equal,uniform,random,low,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k6,0.1,equal,uniform,random,low,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k12,0.1,equal,uniform,random,low,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-er_k24,0.1,equal,uniform,random,low,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k6,0.1,equal,uniform,random,low,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,ba_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k12,0.1,equal,uniform,random,low,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,ba_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-ba_k24,0.1,equal,uniform,random,low,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k6,0.1,equal,uniform,random,low,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k12,0.1,equal,uniform,random,low,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-low__topo-sw_k24,0.1,equal,uniform,random,low,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,low,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-complete,0.1,equal,uniform,random,baseline,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k6,0.1,equal,uniform,random,baseline,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k12,0.1,equal,uniform,random,baseline,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,0.1,equal,uniform,random,baseline,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k6,0.1,equal,uniform,random,baseline,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,ba_k6,0.0,0.0083333333333333,0.0,0.0083333333333333
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k12,0.1,equal,uniform,random,baseline,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,ba_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k24,0.1,equal,uniform,random,baseline,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k6,0.1,equal,uniform,random,baseline,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k12,0.1,equal,uniform,random,baseline,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k24,0.1,equal,uniform,random,baseline,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,baseline,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-complete,0.1,equal,uniform,random,high_income,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k6,0.1,equal,uniform,random,high_income,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k12,0.1,equal,uniform,random,high_income,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k24,0.1,equal,uniform,random,high_income,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k6,0.1,equal,uniform,random,high_income,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,ba_k6,0.0,0.0083333333333333,0.0,0.0111111111111111
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k12,0.1,equal,uniform,random,high_income,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,ba_k12,0.0,0.0083333333333333,0.0,0.0055555555555555
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,0.1,equal,uniform,random,high_income,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,0.1,equal,uniform,random,high_income,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,sw_k6,0.0,0.0,0.0,0.0
