scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,event_count,max_event_size,p99_event_size,event_timestep_rate,propagated_share_total,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.4,equal,biased,preferential_debt,high_wealth,complete,42,6,5.179999999999993,0.0184049079754601,0.25,42,5,1,6,30,ok,1.0,2.98268408513397,0.013388116782286241,42.0,1.0,-28.87609882631532,10.0,8.0,0.6666666666666666,0.02305927058373436,0.04032948925870425,ok,0.25,1.3862943611198906,2.614669272337945,1.2087575213081865,0.226756015636437,-4.540803932774685,1.7579569960801678,True,False,24.0,-0.060759303633430906,-0.9609426127717969,0.3365810232465194,ok,120.0,1.0,2.9817690035472375,0.013368167400446884,42.0,1.0,-28.87478088079716,10.0,10.0,1.0,0.025289340919009296,0.034689597742420926,0.001317945518160002
c-0p50__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,0.5,equal,uniform,preferential_debt,high_wealth,complete,50,5,5.0,0.0134661998384056,0.2307692307692307,50,3,1,5,30,ok,1.0,3.0200165481677903,0.02248104963629649,50.0,1.0,-33.41273063378583,10.0,9.0,0.5,0.021391722792087058,0.036181360917753855,ok,0.23076923076923075,1.4663370687934272,1.7005386214901328,0.7800237675783914,0.43537688546541053,-1.6295718412783582,1.132687935435649,True,False,24.0,-0.14031545100475062,-0.37269030080779836,0.7093789560631633,ok,120.0,1.0,3.019224530182035,0.022520120800427534,50.0,1.0,-33.41143536924727,10.0,10.0,0.36363636363636365,0.023084354155072085,0.051457995455958194,0.0012952645385553296
c-0p40__money-pareto__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,money-pareto__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,0.4,pareto,uniform,preferential_debt,high_both,complete,64,6,4.739999999999995,0.01600400100025,0.1351351351351351,64,4,1,6,30,ok,1.0,3.9452825117391903,0.03247855379634046,64.0,1.0,-22.16412464126004,10.0,4.0,0.2,0.011475510781800424,0.018528473163731053,ok,0.13513513513513514,2.001480000210124,7.142323990889068,2.3785300538590266,0.017381819937569355,-50.0,4.567342133878004,True,True,24.0,-0.7894809001207649,-3.4312106008280634,0.0006008939007467096,ok,120.0,1.0,3.9452626474143995,0.03247956207231206,64.0,1.0,-22.164109779900265,10.0,6.0,0.14285714285714285,0.011988842996191277,0.022136146389707317,1.4861359776574545e-05
c-0p80__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,0.8,equal,uniform,random,baseline,er_k24,41,5,4.600000000000001,0.0041082164328657,0.2264150943396226,41,5,1,5,30,ok,1.0,3.087353330721815,0.019832954208982234,41.0,1.0,-26.041725203378054,10.0,9.0,0.7,0.031087274109969438,0.058572260416722984,ok,0.22641509433962262,1.4853852637641216,2.308411682551785,1.4709957056538019,0.1412922782310723,-6.660603909678877,2.0367264429348593,True,False,24.0,-0.08617085766960664,-0.8495616995645991,0.39556881342895045,ok,120.0,1.0,3.0867438255934476,0.019822581202061595,41.0,1.0,-26.040973305967523,10.0,8.0,0.6666666666666666,0.023123737978495276,0.03277777575394297,0.0007518974105309439
c-0p60__money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,0.6,lognormal,uniform,preferential_debt,high_wealth,complete,125,5,4.52000000000001,0.0221670508955488,0.1753246753246753,125,4,1,5,30,ok,1.0,3.2102378705870547,0.01023821292872118,125.0,1.0,-72.47695701920408,10.0,10.0,0.8181818181818182,0.015386247569646783,0.027148602098674108,ok,0.18831168831168832,1.6696567724271552,2.022947520099397,0.6899306467287089,0.49023780212016566,-1.3423632121061648,0.9940512624367798,True,False,24.0,-0.47038789717720986,-0.6962155090490271,0.4862938764818139,ok,120.0,1.0,3.209860996067926,0.010203586028464162,125.0,1.0,-72.47573518048543,10.0,10.0,0.7272727272727273,0.011030432784968592,0.014830432646367912,0.0012218387186493374
c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,0.5,lognormal,uniform,preferential_debt,high_wealth,complete,77,6,4.47999999999999,0.0231161813269288,0.2061855670103092,77,5,1,6,30,ok,1.0,3.120579267152432,0.016427561810934743,77.0,1.0,-47.70788735972116,10.0,9.0,0.7,0.019959359231819747,0.03212675015853678,ok,0.20618556701030924,1.578978704949392,1.65141460129349,0.5527640506354373,0.580424987942756,-1.193278617322716,0.9758588712660481,True,False,24.0,-0.334960917533877,-0.4725498632989145,0.6365343592350834,ok,120.0,1.0,3.1200438339926815,0.016374614074271543,77.0,1.0,-47.706696344999465,10.0,10.0,0.5454545454545454,0.0175651545787618,0.029904862461796314,0.001191014721698025
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.4,equal,biased,preferential_debt,high_both,complete,93,6,4.159999999999997,0.0225127087872185,0.2051282051282051,93,5,1,6,30,ok,1.0,3.1736489908979086,0.02390766126586874,93.0,1.0,-55.3960832553574,10.0,10.0,0.09090909090909091,0.014603299299102212,0.02159308032366706,ok,0.20512820512820512,1.5841201044498106,3.973222324376562,1.4132620078064515,0.15757870038793864,-4.262490641789827,1.6293624532251745,True,False,24.0,-0.15610635970561937,-1.901942262075194,0.05717870329973097,ok,120.0,1.0,3.173213933589717,0.023890451119838008,93.0,1.0,-55.39498705387566,10.0,10.0,0.2727272727272727,0.018286592058252293,0.025798389590349323,0.001096201481736614
c-0p30__money-pareto__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-pareto__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.3,pareto,biased,random,high_wealth,er_k24,30,5,4.130000000000003,0.0211714890613973,0.1666666666666666,30,3,1,5,30,ok,1.0,3.505684787089776,0.011973653794678851,30.0,1.0,-14.064709075990631,10.0,4.0,0.8,0.021755177318852015,0.032230343260955065,ok,0.16666666666666669,1.791759469228055,2.155494443196336,1.1964056646027295,0.23153829186816555,-50.0,4.953789969022196,True,True,24.0,-0.10069755849476389,-0.42105359593259184,0.6737159455766655,ok,120.0,1.0,3.505567945582138,0.011982092858992766,30.0,1.0,-14.064644146535574,10.0,5.0,0.6666666666666666,0.027646839805207324,0.04516661543154719,6.492945505698344e-05
c-0p60__money-equal__income-biased__growth-preferential_debt__spend-low__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-low__topo-ba_k24,0.6,equal,biased,preferential_debt,low,ba_k24,45,5,4.1200000000000045,0.0218023255813953,0.2105263157894736,45,4,1,5,30,ok,1.0,3.0743725016831207,0.01955689947719086,45.0,1.0,-28.862203982307793,10.0,9.0,0.6,0.025563991799207184,0.06501190695422143,ok,0.2105263157894737,1.5581446180465497,0.47302644714117426,0.24797816966331854,0.8041512974479255,-0.8985087571590463,0.8937346767306809,True,False,24.0,-0.32482240338080115,-0.4948956779091321,0.620673761742442,ok,120.0,1.0,3.07373131009687,0.01949103797264462,45.0,1.0,-28.861321937951182,10.0,9.0,0.6,0.029787231851530167,0.052098300437673245,0.0008820443566115443
c-0p40__money-pareto__income-biased__growth-random__spend-baseline__topo-sw_k24,money-pareto__income-biased__growth-random__spend-baseline__topo-sw_k24,0.4,pareto,biased,random,baseline,sw_k24,49,6,4.079999999999984,0.0346045197740113,0.1403508771929824,49,3,1,6,30,ok,1.0,3.758652660717689,0.010130985781844681,49.0,1.0,-19.266780585776818,10.0,8.0,0.7777777777777778,0.01649755911946936,0.024080416794245534,ok,0.14035087719298245,1.9636097261547143,3.852414739933149,1.1647915139148233,0.24410339473608456,-50.0,4.744944230078145,True,True,24.0,-0.17045613694364725,-0.47911013337011854,0.6318602811698629,ok,120.0,1.0,3.758610363489164,0.010133477522462297,49.0,1.0,-19.266751276072327,10.0,8.0,0.8888888888888888,0.01799346507276893,0.029048794403832044,2.9309704490998456e-05
