scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-lognormal__income-biased__growth-random__spend-low__topo-er_k12,money-lognormal__income-biased__growth-random__spend-low__topo-er_k12,702,timestep_settle_check,0.1,120,lognormal,biased,random,low,0.01,0.1,er_k12,er,12,1,1.0,0.0,20.0,131.0,131.0,131.0,0.0,60.0,60.0,1.0,1,1.0,0.05,0.0076335877862595,0.0076335877862595,0.05,0.0,2.0,0.0166666666666666,2.0,2.0,2.0,2,1.0,1.0,0.5,0.5,100.0,128.0,0.5140292028413576,0.5431333859510656,0.0,2.0,12.0,0.1011909496448969,0.2641811247357893
c-0p10__money-pareto__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,money-pareto__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,964,timestep_settle_check,0.1,120,pareto,biased,preferential_debt,baseline,0.02,0.2,ba_k6,ba,6,1,1.0,0.0,20.0,223.0,223.0,223.0,0.0,60.0,60.0,1.0,1,1.0,0.05,0.0044843049327354,0.0044843049327354,0.05,0.0,2.0,0.0166666666666666,2.0,2.0,2.0,2,1.0,1.0,0.5,0.5,215.0,189.0,0.284119889119889,0.3338565488565488,0.0,2.0,6.0,0.1550270714625929,0.9116021711901078
c-0p20__money-pareto__income-uniform__growth-preferential_debt__spend-low__topo-sw_k24,money-pareto__income-uniform__growth-preferential_debt__spend-low__topo-sw_k24,1859,timestep_settle_check,0.2,120,pareto,uniform,preferential_debt,low,0.01,0.1,sw_k24,sw,24,1,1.0,0.0,20.0,297.0,297.0,297.0,0.0,120.0,120.0,1.0,1,1.0,0.05,0.0033670033670033,0.0033670033670033,0.05,0.0,2.0,0.0166666666666666,2.0,2.0,2.0,2,1.0,1.0,0.5,0.5,148.0,273.0,0.4077909887359199,0.3801383674036991,0.0,2.0,24.0,0.5584517535066797,0.0564169333655275
c-0p20__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,1920,timestep_settle_check,0.2,120,pareto,biased,random,high_income,0.02,0.4,complete,complete,0,1,1.0,0.0,20.0,704.0,704.0,704.0,0.0,120.0,120.0,1.0,1,1.0,0.05,0.0014204545454545,0.0014204545454545,0.05,0.0,2.0,0.0166666666666666,2.0,2.0,2.0,2,1.0,1.0,0.5,0.5,587.0,678.0,0.2692964196502914,0.430217873993894,0.0,2.0,119.0,1.0,0.0
c-0p40__money-equal__income-biased__growth-random__spend-baseline__topo-sw_k6,money-equal__income-biased__growth-random__spend-baseline__topo-sw_k6,3117,timestep_settle_check,0.4,120,equal,biased,random,baseline,0.02,0.2,sw_k6,sw,6,1,1.0,0.0,20.0,1458.0,1458.0,1458.0,0.0,240.0,240.0,1.0,1,1.0,0.05,0.0006858710562414,0.0006858710562414,0.05,0.0,2.0,0.0166666666666666,2.0,2.0,2.0,2,1.0,1.0,0.5,0.5,1356.0,1406.0,0.0,0.2377916666666666,0.0,2.0,6.0,0.4588690476190479,0.1075828707279838
c-0p30__money-pareto__income-biased__growth-preferential_debt__spend-low__topo-complete,money-pareto__income-biased__growth-preferential_debt__spend-low__topo-complete,2950,timestep_settle_check,0.3,120,pareto,biased,preferential_debt,low,0.01,0.1,complete,complete,0,1,1.0,0.0,20.0,531.0,531.0,531.0,0.0,180.0,180.0,3.0,3,3.0,0.15,0.0056497175141242,0.0056497175141242,0.15,0.0,1.6666666666666667,0.0138888888888888,2.0,2.0,2.0,2,1.0,0.6666666666666666,0.4,0.6,373.0,452.0,0.2933569838619922,0.3959307178631053,0.0,5.0,119.0,1.0,0.0
c-0p60__money-equal__income-biased__growth-random__spend-low__topo-ba_k24,money-equal__income-biased__growth-random__spend-low__topo-ba_k24,5106,timestep_settle_check,0.6,120,equal,biased,random,low,0.01,0.1,ba_k24,ba,24,1,1.0,0.0,20.0,1925.0,1925.0,1925.0,0.0,360.0,360.0,11.0,11,11.0,0.55,0.0057142857142857,0.0057142857142857,0.35,0.0,1.6363636363636365,0.0136363636363636,1.0,3.0,4.800000000000001,5,1.0,0.6363636363636364,0.3888888888888889,0.6111111111111112,791.0,1311.0,0.0,0.3075555555555556,0.0555555555555555,17.0,24.0,0.3017632158585823,0.4895907209844505
c-0p10__money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,176,timestep_settle_check,0.1,120,equal,biased,preferential_debt,high_income,0.02,0.4,ba_k24,ba,24,1,1.0,0.0,20.0,299.0,299.0,299.0,0.0,60.0,60.0,2.0,2,2.0,0.1,0.0066889632107023,0.0066889632107023,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.0,0.5,0.3333333333333333,0.6666666666666666,239.0,228.0,0.0,0.1868541666666667,0.0,3.0,24.0,0.2984839970064533,0.4814859330278546
c-0p10__money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,980,timestep_settle_check,0.1,120,pareto,biased,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,330.0,330.0,330.0,0.0,60.0,60.0,2.0,2,2.0,0.1,0.006060606060606,0.006060606060606,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.0,0.5,0.3333333333333333,0.6666666666666666,232.0,305.0,0.3701151817929504,0.5009228420760479,0.0,3.0,119.0,1.0,0.0
c-0p20__money-normal__income-uniform__growth-random__spend-high_wealth__topo-ba_k6,money-normal__income-uniform__growth-random__spend-high_wealth__topo-ba_k6,1434,timestep_settle_check,0.2,120,normal,uniform,random,high_wealth,0.04,0.2,ba_k6,ba,6,1,1.0,0.0,20.0,801.0,801.0,801.0,0.0,120.0,120.0,4.0,4,4.0,0.2,0.0049937578027465,0.0049937578027465,0.2,0.0,1.5,0.0125,1.0,2.4000000000000004,2.9399999999999995,3,1.0,0.5,0.3333333333333333,0.6666666666666666,164.0,714.0,0.2846650192202087,0.184843492586491,0.5,3.0,6.0,0.1380995156096407,0.8700255424092126
c-0p20__money-lognormal__income-uniform__growth-random__spend-baseline__topo-er_k12,money-lognormal__income-uniform__growth-random__spend-baseline__topo-er_k12,1612,timestep_settle_check,0.2,120,lognormal,uniform,random,baseline,0.02,0.2,er_k12,er,12,1,1.0,0.0,20.0,507.0,507.0,507.0,0.0,120.0,120.0,2.0,2,2.0,0.1,0.0039447731755424,0.0039447731755424,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.0,0.5,0.3333333333333333,0.6666666666666666,60.0,494.0,0.5270808323329332,0.3705382152861145,0.0,3.0,12.0,0.1013309255343848,0.2828017889827641
c-0p30__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k12,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k12,2132,timestep_settle_check,0.3,120,equal,biased,random,high_wealth,0.04,0.2,er_k12,er,12,1,1.0,0.0,20.0,1415.0,1415.0,1415.0,0.0,180.0,180.0,2.0,2,2.0,0.1,0.0014134275618374,0.0014134275618374,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.0,0.5,0.3333333333333333,0.6666666666666666,994.0,1314.0,0.0,0.2722083333333334,0.0,3.0,12.0,0.1004417014014536,0.2405626121623441
c-0p10__money-lognormal__income-uniform__growth-random__spend-high_income__topo-sw_k6,money-lognormal__income-uniform__growth-random__spend-high_income__topo-sw_k6,627,timestep_settle_check,0.1,120,lognormal,uniform,random,high_income,0.02,0.4,sw_k6,sw,6,1,1.0,0.0,20.0,293.0,293.0,293.0,0.0,60.0,60.0,2.0,2,2.0,0.1,0.0068259385665529,0.0068259385665529,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.5,0.0,0.0,1.0,45.0,287.0,0.4817285549798504,0.339241508347726,0.0,3.0,6.0,0.4376190476190476,0.1272937693043289
c-0p10__money-pareto__income-biased__growth-random__spend-high_both__topo-sw_k24,money-pareto__income-biased__growth-random__spend-high_both__topo-sw_k24,949,timestep_settle_check,0.1,120,pareto,biased,random,high_both,0.04,0.4,sw_k24,sw,24,1,1.0,0.0,20.0,467.0,467.0,467.0,0.0,60.0,60.0,2.0,2,2.0,0.1,0.0042826552462526,0.0042826552462526,0.1,0.0,1.5,0.0125,1.5,1.9,1.99,2,1.5,0.0,0.0,1.0,367.0,437.0,0.4456824802330421,0.612023165487585,0.0,3.0,24.0,0.5509862384275046,0.0594145823227984
c-0p80__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,7030,timestep_settle_check,0.8,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,9980.0,9980.0,9980.0,19.0,614.0,500.0,5.0,5,5.0,0.25,0.000501002004008,0.000501002004008,0.2,0.0,1.4,0.0116666666666666,1.0,2.2,2.92,3,1.0,0.4,0.2857142857142857,0.7142857142857143,2553.0,9252.0,0.0,0.2630000000000001,0.0,7.0,119.0,1.0,0.0
c-0p10__money-uniform__income-uniform__growth-random__spend-high_income__topo-ba_k24,money-uniform__income-uniform__growth-random__spend-high_income__topo-ba_k24,226,timestep_settle_check,0.1,120,uniform,uniform,random,high_income,0.02,0.4,ba_k24,ba,24,1,1.0,0.0,20.0,284.0,284.0,284.0,0.0,60.0,60.0,3.0,3,3.0,0.15,0.0105633802816901,0.0105633802816901,0.15,0.0,1.3333333333333333,0.0111111111111111,1.0,1.8,1.98,2,1.0,0.3333333333333333,0.25,0.75,75.0,277.0,0.3295799915576192,0.2339911355002111,0.25,3.0,24.0,0.2764218741520939,0.4445854810944685
c-0p30__money-equal__income-biased__growth-random__spend-high_wealth__topo-ba_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-ba_k24,2136,timestep_settle_check,0.3,120,equal,biased,random,high_wealth,0.04,0.2,ba_k24,ba,24,1,1.0,0.0,20.0,1433.0,1433.0,1433.0,0.0,180.0,180.0,9.0,9,9.0,0.45,0.0062805303558967,0.0062805303558967,0.3,0.0,1.3333333333333333,0.0111111111111111,1.0,2.0,2.0,2,1.0,0.3333333333333333,0.25,0.75,893.0,1070.0,0.0,0.3303055555555556,0.0,12.0,24.0,0.2941221842039489,0.473456312271396
c-0p30__money-pareto__income-biased__growth-random__spend-baseline__topo-er_k12,money-pareto__income-biased__growth-random__spend-baseline__topo-er_k12,2912,timestep_settle_check,0.3,120,pareto,biased,random,baseline,0.02,0.2,er_k12,er,12,1,1.0,0.0,20.0,897.0,897.0,897.0,0.0,180.0,180.0,3.0,3,3.0,0.15,0.0033444816053511,0.0033444816053511,0.15,0.0,1.3333333333333333,0.0111111111111111,1.0,1.8,1.98,2,1.0,0.3333333333333333,0.25,0.75,538.0,821.0,0.2870443520443519,0.4456514206514206,0.0,4.0,12.0,0.1068897387299089,0.2904737509655563
c-0p30__money-pareto__income-biased__growth-preferential_debt__spend-low__topo-er_k24,money-pareto__income-biased__growth-preferential_debt__spend-low__topo-er_k24,2953,timestep_settle_check,0.3,120,pareto,biased,preferential_debt,low,0.01,0.1,er_k24,er,24,1,1.0,0.0,20.0,501.0,501.0,501.0,0.0,180.0,180.0,6.0,6,6.0,0.3,0.0119760479041916,0.0119760479041916,0.3,0.0,1.3333333333333333,0.0111111111111111,1.0,2.0,2.0,2,1.0,0.3333333333333333,0.25,0.75,246.0,373.0,0.3293004029456718,0.4262713630679451,0.0,8.0,24.0,0.2003445907858118,0.1701884848348159
c-0p40__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-er_k24,money-equal__income-uniform__growth-preferential_debt__spend-low__topo-er_k24,3053,timestep_settle_check,0.4,120,equal,uniform,preferential_debt,low,0.01,0.1,er_k24,er,24,1,1.0,0.0,20.0,831.0,831.0,831.0,0.0,240.0,240.0,3.0,3,3.0,0.15,0.003610108303249,0.003610108303249,0.1,0.0,1.3333333333333333,0.0111111111111111,1.0,1.8,1.98,2,1.0,0.3333333333333333,0.25,0.75,505.0,711.0,0.0,0.1749513888888889,0.0,4.0,24.0,0.2075500847945536,0.192525250869132
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-low__topo-sw_k6,money-equal__income-biased__growth-preferential_debt__spend-low__topo-sw_k6,3157,timestep_settle_check,0.4,120,equal,biased,preferential_debt,low,0.01,0.1,sw_k6,sw,6,1,1.0,0.0,20.0,815.0,815.0,815.0,0.0,240.0,240.0,3.0,3,3.0,0.15,0.003680981595092,0.003680981595092,0.1,0.0,1.3333333333333333,0.0111111111111111,1.0,1.8,1.98,2,1.0,0.3333333333333333,0.25,0.75,660.0,706.0,0.0,0.2222291666666667,0.0,4.0,6.0,0.4609060846560849,0.1178511301977579
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,3180,timestep_settle_check,0.4,120,equal,biased,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,2282.0,2282.0,2282.0,0.0,240.0,240.0,42.0,42,42.0,2.1,0.0184049079754601,0.0184049079754601,0.9,0.0,1.3333333333333333,0.0111111111111111,1.0,2.0,5.179999999999993,6,1.0,0.3333333333333333,0.25,0.75,419.0,675.0,0.0,0.2818750000000001,0.0,56.0,119.0,1.0,0.0
