frame_index,scene_id,protocol,stage,period,period_length_steps,micro_step_in_period,time_steps_completed,settlements_completed,checks_completed,total_credit_issued,failed_credit_events,avalanche_count_so_far,event_index,active_credit,active_directed_pairs,min_net_worth,median_net_worth,max_debt_pressure,highlight_nodes,new_default_nodes,note
0,period_end_overload,period_end,initial_state,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,0.0,,,initial balances
1,period_end_overload,period_end,period_start,1,216,0,0,0,0,0,0,0,0,0,0,1.0,7.0,0.0,,,
2,period_end_overload,period_end,credit_growth,1,216,1,1,0,0,1,0,0,0,1,1,1.0,7.0,0.2,,,credit 25->0
3,period_end_overload,period_end,credit_growth,1,216,4,4,0,0,4,0,0,0,4,4,1.0,7.0,0.3333333333333333,,,credit 31->34
4,period_end_overload,period_end,credit_growth,1,216,8,8,0,0,8,0,0,0,8,8,1.0,7.0,0.3333333333333333,,,credit 22->7
5,period_end_overload,period_end,credit_growth,1,216,12,12,0,0,12,0,0,0,12,12,1.0,7.0,0.3333333333333333,,,credit 22->34
6,period_end_overload,period_end,credit_growth,1,216,16,16,0,0,16,0,0,0,16,16,1.0,7.0,0.3333333333333333,,,credit 29->17
7,period_end_overload,period_end,credit_growth,1,216,20,20,0,0,20,0,0,0,20,20,1.0,7.0,0.3333333333333333,,,credit 21->9
8,period_end_overload,period_end,credit_growth,1,216,24,24,0,0,24,0,0,0,24,24,1.0,7.0,0.3333333333333333,,,credit 31->16
9,period_end_overload,period_end,credit_growth,1,216,28,28,0,0,28,0,0,0,28,28,1.0,7.0,0.42857142857142855,,,credit 30->14
10,period_end_overload,period_end,credit_growth,1,216,32,32,0,0,32,0,0,0,32,32,1.0,7.0,0.5,,,credit 6->15
11,period_end_overload,period_end,credit_growth,1,216,36,36,0,0,36,0,0,0,36,36,1.0,7.0,0.5,,,credit 35->7
12,period_end_overload,period_end,credit_growth,1,216,40,40,0,0,40,0,0,0,40,40,1.0,7.0,0.5,,,credit 24->26
