frame_index,scene_id,protocol,stage,period,period_length_steps,micro_step_in_period,time_steps_completed,settlements_completed,checks_completed,total_credit_issued,failed_credit_events,avalanche_count_so_far,event_index,active_credit,active_directed_pairs,min_net_worth,median_net_worth,max_debt_pressure,highlight_nodes,new_default_nodes,note
0,quiet_low_drive,period_end,initial_state,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,0.0,,,initial balances
1,quiet_low_drive,period_end,period_start,1,16,0,0,0,0,0,0,0,0,0,0,20.0,20.0,0.0,,,
2,quiet_low_drive,period_end,credit_growth,1,16,1,1,0,0,1,0,0,0,1,1,20.0,20.0,0.047619047619047616,,,credit 28->9
3,quiet_low_drive,period_end,credit_growth,1,16,2,2,0,0,2,0,0,0,2,2,20.0,20.0,0.047619047619047616,,,credit 29->3
4,quiet_low_drive,period_end,credit_growth,1,16,3,3,0,0,3,0,0,0,3,3,20.0,20.0,0.047619047619047616,,,credit 7->24
5,quiet_low_drive,period_end,credit_growth,1,16,4,4,0,0,4,0,0,0,4,4,20.0,20.0,0.047619047619047616,,,credit 37->2
6,quiet_low_drive,period_end,credit_growth,1,16,5,5,0,0,5,0,0,0,5,5,20.0,20.0,0.047619047619047616,,,credit 2->26
7,quiet_low_drive,period_end,credit_growth,1,16,6,6,0,0,6,0,0,0,6,6,20.0,20.0,0.047619047619047616,,,credit 34->29
8,quiet_low_drive,period_end,credit_growth,1,16,7,7,0,0,7,0,0,0,7,7,20.0,20.0,0.047619047619047616,,,credit 32->4
9,quiet_low_drive,period_end,credit_growth,1,16,8,8,0,0,8,0,0,0,8,8,20.0,20.0,0.047619047619047616,,,credit 22->1
10,quiet_low_drive,period_end,credit_growth,1,16,9,9,0,0,9,0,0,0,9,9,20.0,20.0,0.047619047619047616,,,credit 3->17
11,quiet_low_drive,period_end,credit_growth,1,16,10,10,0,0,10,0,0,0,10,10,20.0,20.0,0.047619047619047616,,,credit 34->39
12,quiet_low_drive,period_end,credit_growth,1,16,11,11,0,0,11,0,0,0,11,11,20.0,20.0,0.047619047619047616,,,credit 15->38
13,quiet_low_drive,period_end,credit_growth,1,16,12,12,0,0,12,0,0,0,12,12,20.0,20.0,0.047619047619047616,,,credit 0->11
14,quiet_low_drive,period_end,credit_growth,1,16,13,13,0,0,13,0,0,0,13,13,20.0,20.0,0.047619047619047616,,,credit 24->21
15,quiet_low_drive,period_end,credit_growth,1,16,14,14,0,0,14,0,0,0,14,14,20.0,20.0,0.09090909090909091,,,credit 14->9
16,quiet_low_drive,period_end,credit_growth,1,16,15,15,0,0,15,0,0,0,15,15,20.0,20.0,0.09090909090909091,,,credit 3->13
17,quiet_low_drive,period_end,credit_growth,1,16,16,16,0,0,16,0,0,0,16,16,20.0,20.0,0.09090909090909091,,,credit 12->35
18,quiet_low_drive,period_end,period_end_settlement,1,16,16,16,1,1,16,0,0,0,16,16,18.0,20.0,0.1,,,"investment=16, consumption=27, initial defaults=0"
19,quiet_low_drive,period_end,period_start,2,4,0,16,1,1,16,0,0,0,16,16,18.0,20.0,0.1,,,
20,quiet_low_drive,period_end,credit_growth,2,4,1,17,1,1,17,0,0,0,17,17,18.0,20.0,0.1,,,credit 0->30
21,quiet_low_drive,period_end,credit_growth,2,4,2,18,1,1,18,0,0,0,18,18,18.0,20.0,0.1,,,credit 10->22
22,quiet_low_drive,period_end,credit_growth,2,4,3,19,1,1,19,0,0,0,19,19,18.0,20.0,0.1,,,credit 19->16
23,quiet_low_drive,period_end,credit_growth,2,4,4,20,1,1,20,0,0,0,20,19,18.0,20.0,0.1,,,credit 0->30
24,quiet_low_drive,period_end,period_end_settlement,2,4,4,20,2,2,20,0,0,0,20,19,16.0,20.0,0.1111111111111111,,,"investment=4, consumption=13, initial defaults=0"
25,quiet_low_drive,period_end,period_start,3,2,0,20,2,2,20,0,0,0,20,19,16.0,20.0,0.1111111111111111,,,
26,quiet_low_drive,period_end,credit_growth,3,2,1,21,2,2,21,0,0,0,21,20,16.0,20.0,0.1111111111111111,,,credit 2->35
27,quiet_low_drive,period_end,credit_growth,3,2,2,22,2,2,22,0,0,0,22,21,16.0,20.0,0.1111111111111111,,,credit 33->10
28,quiet_low_drive,period_end,period_end_settlement,3,2,2,22,3,3,22,0,0,0,22,21,16.0,20.0,0.1111111111111111,,,"investment=2, consumption=10, initial defaults=0"
29,quiet_low_drive,period_end,period_start,4,1,0,22,3,3,22,0,0,0,22,21,16.0,20.0,0.1111111111111111,,,
30,quiet_low_drive,period_end,credit_growth,4,1,1,23,3,3,23,0,0,0,23,22,16.0,20.0,0.1111111111111111,,,credit 17->37
31,quiet_low_drive,period_end,period_end_settlement,4,1,1,23,4,4,23,0,0,0,23,22,17.0,20.0,0.10526315789473684,,,"investment=1, consumption=6, initial defaults=0"
32,quiet_low_drive,period_end,period_start,5,1,0,23,4,4,23,0,0,0,23,22,17.0,20.0,0.10526315789473684,,,
33,quiet_low_drive,period_end,credit_growth,5,1,1,24,4,4,24,0,0,0,24,23,17.0,20.0,0.10526315789473684,,,credit 8->36
34,quiet_low_drive,period_end,period_end_settlement,5,1,1,24,5,5,24,0,0,0,24,23,17.0,20.0,0.10526315789473684,,,"investment=1, consumption=5, initial defaults=0"
35,quiet_low_drive,period_end,period_start,6,1,0,24,5,5,24,0,0,0,24,23,17.0,20.0,0.10526315789473684,,,
36,quiet_low_drive,period_end,credit_growth,6,1,1,25,5,5,25,0,0,0,25,24,17.0,20.0,0.10526315789473684,,,credit 31->15
37,quiet_low_drive,period_end,period_end_settlement,6,1,1,25,6,6,25,0,0,0,25,24,17.0,20.0,0.10526315789473684,,,"investment=1, consumption=14, initial defaults=0"
38,quiet_low_drive,period_end,period_start,7,2,0,25,6,6,25,0,0,0,25,24,17.0,20.0,0.10526315789473684,,,
39,quiet_low_drive,period_end,credit_growth,7,2,1,26,6,6,26,0,0,0,26,25,17.0,20.0,0.10526315789473684,,,credit 3->21
40,quiet_low_drive,period_end,credit_growth,7,2,2,27,6,6,27,0,0,0,27,26,17.0,20.0,0.10526315789473684,,,credit 5->8
41,quiet_low_drive,period_end,period_end_settlement,7,2,2,27,7,7,27,0,0,0,27,26,17.0,20.0,0.1,,,"investment=2, consumption=11, initial defaults=0"
42,quiet_low_drive,period_end,period_start,8,1,0,27,7,7,27,0,0,0,27,26,17.0,20.0,0.1,,,
43,quiet_low_drive,period_end,credit_growth,8,1,1,28,7,7,28,0,0,0,28,26,17.0,20.0,0.1,,,credit 15->38
44,quiet_low_drive,period_end,period_end_settlement,8,1,1,28,8,8,28,0,0,0,28,26,17.0,20.0,0.10526315789473684,,,"investment=1, consumption=9, initial defaults=0"
45,quiet_low_drive,period_end,period_start,9,1,0,28,8,8,28,0,0,0,28,26,17.0,20.0,0.10526315789473684,,,
46,quiet_low_drive,period_end,credit_growth,9,1,1,29,8,8,29,0,0,0,29,27,17.0,20.0,0.10526315789473684,,,credit 39->20
47,quiet_low_drive,period_end,period_end_settlement,9,1,1,29,9,9,29,0,0,0,29,27,16.0,20.0,0.10526315789473684,,,"investment=1, consumption=12, initial defaults=0"
48,quiet_low_drive,period_end,period_start,10,1,0,29,9,9,29,0,0,0,29,27,16.0,20.0,0.10526315789473684,,,
49,quiet_low_drive,period_end,credit_growth,10,1,1,30,9,9,30,0,0,0,30,28,16.0,20.0,0.10526315789473684,,,credit 37->7
50,quiet_low_drive,period_end,period_end_settlement,10,1,1,30,10,10,30,0,0,0,30,28,16.0,20.0,0.10526315789473684,,,"investment=1, consumption=8, initial defaults=0"
51,quiet_low_drive,period_end,period_start,11,1,0,30,10,10,30,0,0,0,30,28,16.0,20.0,0.10526315789473684,,,
52,quiet_low_drive,period_end,credit_growth,11,1,1,31,10,10,31,0,0,0,31,29,16.0,20.0,0.1111111111111111,,,credit 2->29
53,quiet_low_drive,period_end,period_end_settlement,11,1,1,31,11,11,31,0,0,0,31,29,15.0,20.5,0.11764705882352941,,,"investment=1, consumption=8, initial defaults=0"
54,quiet_low_drive,period_end,period_start,12,1,0,31,11,11,31,0,0,0,31,29,15.0,20.5,0.11764705882352941,,,
55,quiet_low_drive,period_end,credit_growth,12,1,1,32,11,11,32,0,0,0,32,30,15.0,20.5,0.11764705882352941,,,credit 4->37
56,quiet_low_drive,period_end,period_end_settlement,12,1,1,32,12,12,32,0,0,0,32,30,16.0,20.0,0.1111111111111111,,,"investment=1, consumption=9, initial defaults=0"
57,quiet_low_drive,period_end,period_start,13,1,0,32,12,12,32,0,0,0,32,30,16.0,20.0,0.1111111111111111,,,
58,quiet_low_drive,period_end,credit_growth,13,1,1,33,12,12,33,0,0,0,33,31,16.0,20.0,0.1111111111111111,,,credit 18->10
59,quiet_low_drive,period_end,period_end_settlement,13,1,1,33,13,13,33,0,0,0,33,31,15.0,20.0,0.11764705882352941,,,"investment=1, consumption=8, initial defaults=0"
60,quiet_low_drive,period_end,period_start,14,1,0,33,13,13,33,0,0,0,33,31,15.0,20.0,0.11764705882352941,,,
61,quiet_low_drive,period_end,credit_growth,14,1,1,34,13,13,34,0,0,0,34,32,15.0,20.0,0.11764705882352941,,,credit 35->15
62,quiet_low_drive,period_end,period_end_settlement,14,1,1,34,14,14,34,0,0,0,34,32,15.0,20.0,0.11764705882352941,,,"investment=1, consumption=7, initial defaults=0"
63,quiet_low_drive,period_end,period_start,15,1,0,34,14,14,34,0,0,0,34,32,15.0,20.0,0.11764705882352941,,,
64,quiet_low_drive,period_end,credit_growth,15,1,1,35,14,14,35,0,0,0,35,33,15.0,20.0,0.11764705882352941,,,credit 23->4
65,quiet_low_drive,period_end,period_end_settlement,15,1,1,35,15,15,35,0,0,0,35,33,15.0,20.0,0.11764705882352941,,,"investment=1, consumption=7, initial defaults=0"
66,quiet_low_drive,period_end,period_start,16,1,0,35,15,15,35,0,0,0,35,33,15.0,20.0,0.11764705882352941,,,
67,quiet_low_drive,period_end,credit_growth,16,1,1,36,15,15,36,0,0,0,36,34,15.0,20.0,0.11764705882352941,,,credit 2->27
68,quiet_low_drive,period_end,period_end_settlement,16,1,1,36,16,16,36,0,0,0,36,34,15.0,20.0,0.11764705882352941,,,"investment=1, consumption=8, initial defaults=0"
69,quiet_low_drive,period_end,period_start,17,1,0,36,16,16,36,0,0,0,36,34,15.0,20.0,0.11764705882352941,,,
70,quiet_low_drive,period_end,credit_growth,17,1,1,37,16,16,37,0,0,0,37,35,15.0,20.0,0.11764705882352941,,,credit 28->34
71,quiet_low_drive,period_end,period_end_settlement,17,1,1,37,17,17,37,0,0,0,37,35,15.0,20.0,0.11764705882352941,,,"investment=1, consumption=10, initial defaults=0"
72,quiet_low_drive,period_end,period_start,18,1,0,37,17,17,37,0,0,0,37,35,15.0,20.0,0.11764705882352941,,,
73,quiet_low_drive,period_end,credit_growth,18,1,1,38,17,17,38,0,0,0,38,36,15.0,20.0,0.11764705882352941,,,credit 38->11
74,quiet_low_drive,period_end,period_end_settlement,18,1,1,38,18,18,38,0,0,0,38,36,14.0,20.0,0.125,,,"investment=1, consumption=10, initial defaults=0"
75,quiet_low_drive,period_end,period_start,19,1,0,38,18,18,38,0,0,0,38,36,14.0,20.0,0.125,,,
