frame_index,scene_id,protocol,stage,period,period_length_steps,micro_step_in_period,time_steps_completed,settlements_completed,checks_completed,total_credit_issued,failed_credit_events,avalanche_count_so_far,event_index,active_credit,active_directed_pairs,min_net_worth,median_net_worth,max_debt_pressure,highlight_nodes,new_default_nodes,note
0,timestep_micro_tail,timestep_settle_check,initial_state,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.5,0.0,,,initial balances
1,timestep_micro_tail,timestep_settle_check,initial_defaults,1,120,16,16,16,16,16,0,0,1,16,16,-1.0,7.0,2.0,51,,timestep_settle_check: initial defaults=1
2,timestep_micro_tail,timestep_settle_check,cascade_wave_start,1,120,16,16,16,16,16,0,0,1,16,16,-1.0,7.0,2.0,51,,clearing node 51
3,timestep_micro_tail,timestep_settle_check,cascade_wave_done,1,120,16,16,16,16,16,0,0,1,14,14,0.0,7.0,1.0,51,,new defaults=0
4,timestep_micro_tail,timestep_settle_check,cascade_event_done,1,120,16,16,16,16,16,0,1,1,14,14,0.0,7.0,1.0,51,,collapse size=1
5,timestep_micro_tail,timestep_settle_check,initial_defaults,1,120,31,31,31,31,31,0,1,2,29,29,-1.0,6.5,1.0,21,,timestep_settle_check: initial defaults=1
6,timestep_micro_tail,timestep_settle_check,cascade_wave_start,1,120,31,31,31,31,31,0,1,2,29,29,-1.0,6.5,1.0,21,,clearing node 21
7,timestep_micro_tail,timestep_settle_check,cascade_wave_done,1,120,31,31,31,31,31,0,1,2,28,28,0.0,6.5,1.0,21,,new defaults=0
8,timestep_micro_tail,timestep_settle_check,cascade_event_done,1,120,31,31,31,31,31,0,2,2,28,28,0.0,6.5,1.0,21,,collapse size=1
9,timestep_micro_tail,timestep_settle_check,timestep_settlement_check,1,120,33,33,33,33,33,0,2,0,30,30,-1.0,6.0,2.0,18,,credit 26->18; micro settlement
10,timestep_micro_tail,timestep_settle_check,initial_defaults,1,120,33,33,33,33,33,0,2,3,30,30,-1.0,6.0,2.0,18,,timestep_settle_check: initial defaults=1
11,timestep_micro_tail,timestep_settle_check,cascade_wave_start,1,120,33,33,33,33,33,0,2,3,30,30,-1.0,6.0,2.0,18,,clearing node 18
