frame_index,scene_id,protocol,stage,period,period_length_steps,micro_step_in_period,time_steps_completed,settlements_completed,checks_completed,total_credit_issued,failed_credit_events,avalanche_count_so_far,event_index,active_credit,active_directed_pairs,min_net_worth,median_net_worth,max_debt_pressure,highlight_nodes,new_default_nodes,note
0,same_params_period_end,period_end,initial_state,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,0.0,,,initial balances
1,same_params_period_end,period_end,period_start,1,240,0,0,0,0,0,0,0,0,0,0,1.0,11.0,0.0,,,
2,same_params_period_end,period_end,credit_growth,1,240,1,1,0,0,1,0,0,0,1,1,1.0,11.0,0.08333333333333333,,,credit 51->20
3,same_params_period_end,period_end,credit_growth,1,240,120,120,0,0,120,0,0,0,120,110,1.0,11.0,0.75,,,credit 42->52
4,same_params_period_end,period_end,credit_growth,1,240,240,240,0,0,240,0,0,0,240,209,1.0,11.0,0.8571428571428571,,,credit 50->32
5,same_params_period_end,period_end,period_end_settlement,1,240,240,240,1,1,240,0,0,0,240,209,-13.0,5.0,10.0,1 8 14 19 24 27 28 30 41 48 52 55 57,,"investment=240, consumption=164, initial defaults=13"
6,same_params_period_end,period_end,initial_defaults,1,240,240,240,1,1,240,0,0,1,240,209,-13.0,5.0,10.0,1 8 14 19 24 27 28 30 41 48 52 55 57,,period_end: initial defaults=13
7,same_params_period_end,period_end,cascade_wave_done,1,240,240,240,1,1,240,0,0,1,198,174,-13.0,5.0,6.0,24,,new defaults=0
8,same_params_period_end,period_end,cascade_wave_start,1,240,240,240,1,1,240,0,0,1,150,132,-14.0,5.0,2.1666666666666665,52,,clearing node 52
9,same_params_period_end,period_end,period_start,2,323,0,240,1,1,240,0,1,0,116,109,0.0,5.5,1.0,,,
10,same_params_period_end,period_end,credit_growth,2,323,1,241,1,1,241,0,1,0,117,109,0.0,5.5,1.0,,,credit 54->50
11,same_params_period_end,period_end,credit_growth,2,323,240,480,1,1,480,0,1,0,356,270,0.0,5.5,1.0,,,credit 37->17
12,same_params_period_end,period_end,credit_growth,2,323,323,563,1,1,563,0,1,0,439,316,0.0,5.5,1.0,,,credit 37->18
13,same_params_period_end,period_end,period_end_settlement,2,323,323,563,2,2,563,0,1,0,439,316,-20.0,4.0,4.0,4 7 9 14 16 20 25 26 28 29 33 35 36 46 50 51,,"investment=320, consumption=215, initial defaults=16"
14,same_params_period_end,period_end,cascade_wave_done,2,323,323,563,2,2,563,0,1,2,393,283,-19.0,4.0,3.6,7,,new defaults=0
15,same_params_period_end,period_end,cascade_wave_done,2,323,323,563,2,2,563,0,1,2,377,270,-19.0,4.0,3.6,14,,new defaults=0
16,same_params_period_end,period_end,cascade_wave_start,2,323,323,563,2,2,563,0,1,2,298,217,-20.0,4.5,4.333333333333333,26,,clearing node 26
