side_by_side_frame_index,left_frame_index,right_frame_index,left_protocol,right_protocol,left_period,right_period,left_micro_step,right_micro_step,left_time_steps_completed,right_time_steps_completed,left_active_credit,right_active_credit,left_avalanche_count_so_far,right_avalanche_count_so_far,left_event_index,right_event_index
0,0,0,period_end,timestep_settle_check,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,period_end,timestep_settle_check,1,1,0,0,0,0,0,0,0,0,0,0
2,2,2,period_end,timestep_settle_check,1,1,1,45,1,45,1,45,0,0,0,1
3,3,3,period_end,timestep_settle_check,1,1,120,45,120,45,120,43,0,1,0,1
4,4,4,period_end,timestep_settle_check,1,1,240,58,240,58,240,55,0,2,0,2
5,5,5,period_end,timestep_settle_check,1,1,240,97,240,97,240,86,0,2,0,3
6,6,6,period_end,timestep_settle_check,1,1,240,139,240,139,240,127,0,3,1,4
7,7,7,period_end,timestep_settle_check,1,1,240,141,240,141,198,125,0,4,1,0
8,8,8,period_end,timestep_settle_check,1,1,240,141,240,141,150,125,0,4,1,5
9,9,9,period_end,timestep_settle_check,2,1,0,141,240,141,116,120,1,5,0,5
10,10,10,period_end,timestep_settle_check,2,1,1,147,241,147,117,123,1,6,0,6
11,11,11,period_end,timestep_settle_check,2,1,240,159,480,159,356,134,1,6,0,7
12,12,12,period_end,timestep_settle_check,2,1,323,160,563,160,439,134,1,7,0,8
13,13,13,period_end,timestep_settle_check,2,1,323,174,563,174,439,142,1,8,0,9
14,14,14,period_end,timestep_settle_check,2,1,323,195,563,195,393,163,1,9,2,0
15,15,14,period_end,timestep_settle_check,2,1,323,195,563,195,377,163,1,9,2,0
16,16,15,period_end,timestep_settle_check,2,1,323,195,563,195,298,163,1,9,2,10
17,17,16,period_end,timestep_settle_check,2,1,323,202,563,202,228,167,1,10,2,0
18,18,17,period_end,timestep_settle_check,2,1,323,202,563,202,167,167,1,10,2,11
19,19,18,period_end,timestep_settle_check,3,1,0,206,563,206,162,163,2,11,0,12
20,20,19,period_end,timestep_settle_check,3,1,1,214,564,214,163,170,2,12,0,13
21,21,20,period_end,timestep_settle_check,3,1,120,215,683,215,282,161,2,13,0,14
22,22,21,period_end,timestep_settle_check,3,1,360,215,923,215,522,153,2,14,0,14
23,23,22,period_end,timestep_settle_check,3,1,428,219,991,219,590,148,2,14,0,15
24,24,23,period_end,timestep_settle_check,3,1,428,219,991,219,590,126,2,14,0,15
25,25,24,period_end,timestep_settle_check,3,1,428,227,991,227,515,133,2,15,3,16
26,26,25,period_end,timestep_settle_check,3,1,428,229,991,229,515,128,2,16,3,17
27,27,26,period_end,timestep_settle_check,3,1,428,234,991,234,457,133,2,17,3,0
28,28,27,period_end,timestep_settle_check,3,1,428,234,991,234,218,133,2,17,3,18
29,29,28,period_end,timestep_settle_check,3,2,428,23,991,263,172,158,2,18,3,0
30,30,29,period_end,timestep_settle_check,4,2,0,23,991,263,143,158,3,18,0,19
31,31,30,period_end,timestep_settle_check,4,2,1,28,992,268,144,158,3,19,0,20
32,32,31,period_end,timestep_settle_check,4,2,120,77,1111,317,263,205,3,20,0,21
33,33,32,period_end,timestep_settle_check,4,2,360,87,1351,327,503,199,3,21,0,0
34,34,33,period_end,timestep_settle_check,4,2,480,87,1471,327,623,199,3,21,0,22
35,35,34,period_end,timestep_settle_check,4,2,550,87,1541,327,693,194,3,22,0,22
36,36,35,period_end,timestep_settle_check,4,2,550,88,1541,328,693,192,3,23,0,23
37,37,36,period_end,timestep_settle_check,4,2,550,112,1541,352,693,209,3,23,4,24
38,38,37,period_end,timestep_settle_check,4,2,550,273,1541,513,654,326,3,27,4,0
39,39,38,period_end,timestep_settle_check,4,3,550,1,1541,580,605,299,3,32,4,0
40,40,39,period_end,timestep_settle_check,4,3,550,49,1541,628,418,311,3,35,4,36
41,41,40,period_end,timestep_settle_check,4,3,550,75,1541,654,305,263,3,38,4,0
42,42,41,period_end,timestep_settle_check,4,3,550,247,1541,826,219,259,3,44,4,0
43,43,42,period_end,timestep_settle_check,4,3,550,348,1541,927,214,310,3,50,4,0
44,44,42,period_end,timestep_settle_check,5,3,0,348,1541,927,214,310,4,50,0,0
45,45,43,period_end,timestep_settle_check,5,3,1,387,1542,966,215,316,4,53,0,54
46,46,44,period_end,timestep_settle_check,5,3,120,424,1661,1003,334,335,4,57,0,0
47,47,45,period_end,timestep_settle_check,5,4,360,27,1901,1068,574,366,4,61,0,0
48,48,46,period_end,timestep_settle_check,5,4,480,125,2021,1166,694,418,4,67,0,0
49,49,47,period_end,timestep_settle_check,5,4,600,219,2141,1260,814,232,4,71,0,72
50,50,48,period_end,timestep_settle_check,5,4,688,287,2229,1328,902,291,4,74,0,0
51,51,49,period_end,timestep_settle_check,5,4,688,296,2229,1337,902,266,4,76,0,0
52,52,50,period_end,timestep_settle_check,5,4,688,362,2229,1403,730,248,4,81,5,0
53,53,51,period_end,timestep_settle_check,5,4,688,437,2229,1478,612,258,4,87,5,0
54,54,52,period_end,timestep_settle_check,5,4,688,459,2229,1500,272,273,4,89,5,90
55,55,53,period_end,timestep_settle_check,5,4,688,528,2229,1569,147,176,4,94,5,0
56,56,54,period_end,timestep_settle_check,5,5,688,1,2229,1637,147,211,4,98,5,0
57,57,55,period_end,timestep_settle_check,5,5,688,148,2229,1784,52,280,4,104,5,0
58,58,56,period_end,timestep_settle_check,5,5,688,210,2229,1846,37,331,5,107,5,108
59,59,57,period_end,timestep_settle_check,6,5,0,244,2229,1880,37,326,5,110,0,0
60,60,58,period_end,timestep_settle_check,6,5,120,320,2349,1956,157,368,5,114,0,0
61,61,59,period_end,timestep_settle_check,6,5,240,346,2469,1982,277,366,5,115,0,0
62,62,60,period_end,timestep_settle_check,6,5,360,535,2589,2171,397,327,5,121,0,0
63,63,61,period_end,timestep_settle_check,6,5,480,674,2709,2310,517,393,5,125,0,126
64,64,62,period_end,timestep_settle_check,6,5,600,704,2829,2340,637,352,5,128,0,0
65,65,63,period_end,timestep_settle_check,6,6,720,18,2949,2409,757,391,5,131,0,0
66,66,64,period_end,timestep_settle_check,6,6,806,270,3035,2661,843,595,5,137,0,0
67,67,65,period_end,timestep_settle_check,6,6,806,395,3035,2786,766,454,5,143,6,0
68,68,66,period_end,timestep_settle_check,6,6,806,395,3035,2786,710,454,5,143,6,144
69,69,67,period_end,timestep_settle_check,6,6,806,395,3035,2786,607,432,5,144,6,144
70,70,68,period_end,timestep_settle_check,6,6,806,566,3035,2957,384,466,5,149,6,0
71,71,69,period_end,timestep_settle_check,6,6,806,754,3035,3145,327,578,5,155,6,0
72,72,70,period_end,timestep_settle_check,6,6,806,887,3035,3278,229,533,5,161,6,0
73,73,71,period_end,timestep_settle_check,6,6,806,887,3035,3278,194,176,5,162,6,162
74,74,71,period_end,timestep_settle_check,6,6,806,887,3035,3278,189,176,5,162,6,162
75,75,72,period_end,timestep_settle_check,6,7,806,1,3035,3344,87,228,5,166,6,0
76,76,73,period_end,timestep_settle_check,7,7,0,66,3035,3409,36,225,6,172,0,0
77,77,74,period_end,timestep_settle_check,7,7,1,162,3036,3505,37,211,6,178,0,0
78,78,75,period_end,timestep_settle_check,7,7,120,194,3155,3537,156,178,6,179,0,180
79,79,76,period_end,timestep_settle_check,7,7,240,271,3275,3614,276,251,6,184,0,0
80,80,77,period_end,timestep_settle_check,7,7,360,310,3395,3653,396,234,6,186,0,0
81,81,78,period_end,timestep_settle_check,7,7,480,372,3515,3715,516,278,6,191,0,0
82,82,79,period_end,timestep_settle_check,7,7,720,450,3755,3793,756,288,6,197,0,0
83,83,80,period_end,timestep_settle_check,7,7,840,450,3875,3793,876,278,6,197,0,198
84,84,81,period_end,timestep_settle_check,7,7,900,592,3935,3935,936,344,6,204,0,0
85,85,82,period_end,timestep_settle_check,7,7,900,651,3935,3994,936,297,6,210,0,0
86,86,83,period_end,timestep_settle_check,7,7,900,780,3935,4123,936,389,6,215,7,216
87,87,84,period_end,timestep_settle_check,7,7,900,815,3935,4158,843,424,6,216,7,0
88,88,85,period_end,timestep_settle_check,7,7,900,989,3935,4332,770,399,6,222,7,0
89,89,86,period_end,timestep_settle_check,7,7,900,1061,3935,4404,714,455,6,226,7,0
90,90,87,period_end,timestep_settle_check,7,7,900,1088,3935,4431,390,384,6,228,7,0
91,91,88,period_end,timestep_settle_check,7,7,900,1148,3935,4491,300,198,6,233,7,234
92,92,89,period_end,timestep_settle_check,7,7,900,1168,3935,4511,237,213,6,234,7,0
93,93,90,period_end,timestep_settle_check,7,8,900,15,3935,4533,180,209,6,238,7,0
94,94,91,period_end,timestep_settle_check,7,8,900,82,3935,4600,155,230,6,245,7,0
95,95,92,period_end,timestep_settle_check,7,8,900,158,3935,4676,101,218,6,251,7,252
96,96,93,period_end,timestep_settle_check,7,8,900,162,3935,4680,42,219,6,252,7,0
97,97,94,period_end,timestep_settle_check,7,8,900,287,3935,4805,18,307,6,258,7,0
98,98,95,period_end,timestep_settle_check,8,8,0,355,3935,4873,18,269,7,264,0,0
99,99,96,period_end,timestep_settle_check,8,8,1,424,3936,4942,19,318,7,269,0,270
100,100,97,period_end,timestep_settle_check,8,8,240,456,4175,4974,258,300,7,271,0,0
101,101,98,period_end,timestep_settle_check,8,8,360,553,4295,5071,378,292,7,278,0,0
102,102,99,period_end,timestep_settle_check,8,8,480,640,4415,5158,498,288,7,285,0,0
103,103,99,period_end,timestep_settle_check,8,8,600,640,4535,5158,618,288,7,285,0,0
104,104,100,period_end,timestep_settle_check,8,8,720,675,4655,5193,738,301,7,287,0,288
105,105,101,period_end,timestep_settle_check,8,8,840,737,4775,5255,858,350,7,291,0,0
106,106,102,period_end,timestep_settle_check,8,8,948,837,4883,5355,966,432,7,298,0,0
107,107,103,period_end,timestep_settle_check,8,8,948,954,4883,5472,966,401,7,304,8,0
108,108,104,period_end,timestep_settle_check,8,8,948,964,4883,5482,918,410,7,305,8,306
109,109,105,period_end,timestep_settle_check,8,8,948,964,4883,5482,793,398,7,306,8,306
110,110,106,period_end,timestep_settle_check,8,8,948,1007,4883,5525,590,257,7,311,8,0
111,111,107,period_end,timestep_settle_check,8,8,948,1097,4883,5615,451,301,7,317,8,0
