frame_index,scene_id,protocol,stage,period,period_length_steps,micro_step_in_period,time_steps_completed,settlements_completed,checks_completed,total_credit_issued,failed_credit_events,avalanche_count_so_far,event_index,active_credit,active_directed_pairs,min_net_worth,median_net_worth,max_debt_pressure,highlight_nodes,new_default_nodes,note
0,same_params_timestep,timestep_settle_check,initial_state,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,0.0,,,initial balances
1,same_params_timestep,timestep_settle_check,period_start,1,240,0,0,0,0,0,0,0,0,0,0,1.0,11.0,0.0,,,
2,same_params_timestep,timestep_settle_check,initial_defaults,1,240,45,45,45,45,45,0,0,1,45,45,-1.0,10.0,2.0,27,,timestep_settle_check: initial defaults=1
3,same_params_timestep,timestep_settle_check,cascade_event_done,1,240,45,45,45,45,45,0,1,1,43,43,0.0,10.0,1.0,27,,collapse size=1
4,same_params_timestep,timestep_settle_check,cascade_event_done,1,240,58,58,58,58,58,0,2,2,55,53,0.0,9.5,0.6,28,,collapse size=1
5,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,97,97,97,97,97,0,2,3,86,81,0.0,9.0,1.0,53,,new defaults=0
6,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,139,139,139,139,139,0,3,4,127,115,-1.0,8.5,1.5,8,,new defaults=0
7,same_params_timestep,timestep_settle_check,timestep_settlement_check,1,240,141,141,141,141,141,0,4,0,125,113,-1.0,8.5,1.3333333333333333,48,,credit 0->48; micro settlement
8,same_params_timestep,timestep_settle_check,initial_defaults,1,240,141,141,141,141,141,0,4,5,125,113,-1.0,8.5,1.3333333333333333,48,,timestep_settle_check: initial defaults=1
9,same_params_timestep,timestep_settle_check,cascade_event_done,1,240,141,141,141,141,141,0,5,5,120,109,0.0,8.5,1.0,48,,collapse size=1
10,same_params_timestep,timestep_settle_check,cascade_event_done,1,240,147,147,147,147,147,0,6,6,123,111,0.0,9.0,0.8333333333333334,35,,collapse size=1
11,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,159,159,159,159,159,0,6,7,134,120,0.0,9.0,1.0,35,,new defaults=0
12,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,160,160,160,160,160,0,7,8,134,120,0.0,9.0,1.0,4,,new defaults=0
13,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,174,174,174,174,174,0,8,9,142,127,0.0,9.0,1.0,3,,new defaults=0
14,same_params_timestep,timestep_settle_check,timestep_settlement_check,1,240,195,195,195,195,195,0,9,0,163,143,-1.0,10.0,1.5,45,,credit 53->38; micro settlement
15,same_params_timestep,timestep_settle_check,cascade_wave_start,1,240,195,195,195,195,195,0,9,10,163,143,-1.0,10.0,1.5,45,,clearing node 45
16,same_params_timestep,timestep_settle_check,timestep_settlement_check,1,240,202,202,202,202,202,0,10,0,167,146,-1.0,9.5,1.1428571428571428,55,,credit 37->55; micro settlement
17,same_params_timestep,timestep_settle_check,cascade_wave_start,1,240,202,202,202,202,202,0,10,11,167,146,-1.0,9.5,1.1428571428571428,55,,clearing node 55
18,same_params_timestep,timestep_settle_check,initial_defaults,1,240,206,206,206,206,206,0,11,12,163,143,-1.0,9.5,1.0,35,,timestep_settle_check: initial defaults=1
19,same_params_timestep,timestep_settle_check,initial_defaults,1,240,214,214,214,214,214,0,12,13,170,148,-1.0,9.5,1.125,14,,timestep_settle_check: initial defaults=1
20,same_params_timestep,timestep_settle_check,initial_defaults,1,240,215,215,215,215,215,0,13,14,161,139,-1.0,9.5,1.1666666666666667,43,,timestep_settle_check: initial defaults=1
21,same_params_timestep,timestep_settle_check,cascade_event_done,1,240,215,215,215,215,215,0,14,14,153,132,0.0,9.5,1.0,43,,collapse size=1
22,same_params_timestep,timestep_settle_check,cascade_wave_start,1,240,219,219,219,219,219,0,14,15,148,128,-1.0,9.5,1.0833333333333333,7,,clearing node 7
23,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,219,219,219,219,219,0,14,15,126,112,0.0,10.0,1.0,46,,new defaults=0
24,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,227,227,227,227,227,0,15,16,133,115,0.0,9.0,1.0,35,,new defaults=0
25,same_params_timestep,timestep_settle_check,cascade_wave_done,1,240,229,229,229,229,229,0,16,17,128,110,0.0,9.0,1.0,47,,new defaults=0
26,same_params_timestep,timestep_settle_check,timestep_settlement_check,1,240,234,234,234,234,234,0,17,0,133,115,-1.0,9.0,1.3333333333333333,33,,credit 54->0; micro settlement
27,same_params_timestep,timestep_settle_check,cascade_wave_start,1,240,234,234,234,234,234,0,17,18,133,115,-1.0,9.0,1.3333333333333333,33,,clearing node 33
28,same_params_timestep,timestep_settle_check,timestep_settlement_check,2,339,23,263,263,263,263,0,18,0,158,134,-1.0,9.0,1.3333333333333333,53,,credit 54->53; micro settlement
29,same_params_timestep,timestep_settle_check,cascade_wave_start,2,339,23,263,263,263,263,0,18,19,158,134,-1.0,9.0,1.3333333333333333,53,,clearing node 53
30,same_params_timestep,timestep_settle_check,initial_defaults,2,339,28,268,268,268,268,0,19,20,158,134,-1.0,9.0,2.0,45,,timestep_settle_check: initial defaults=1
31,same_params_timestep,timestep_settle_check,initial_defaults,2,339,77,317,317,317,317,0,20,21,205,167,-1.0,9.5,1.0909090909090908,30,,timestep_settle_check: initial defaults=1
32,same_params_timestep,timestep_settle_check,timestep_settlement_check,2,339,87,327,327,327,327,0,21,0,199,159,-1.0,8.5,1.3333333333333333,57,,credit 54->57; micro settlement
